
[00:00:00.000 --> 00:00:13.320]  各位網上崇拜的大型姐妹大家好
[00:00:13.320 --> 00:00:17.840]  今天很開心有機會跟大家分享訊息
[00:00:17.840 --> 00:00:47.040]  (教會自上次會議舉行至今發出的資料)
[00:00:47.040 --> 00:00:51.840]  親愛的恩主,多謝祢讓我們今天在祢的裡面得到力量
[00:00:51.840 --> 00:00:54.320]  讓我們雖然面對很多的挑戰、困難
[00:00:54.320 --> 00:00:56.800]  但上帝祢的恩典救用
[00:00:56.800 --> 00:00:58.200]  求主繼續幫助我們
[00:00:58.200 --> 00:01:00.920]  讓我們在我們所走的道路上
[00:01:00.920 --> 00:01:04.440]  都能夠得蒙上帝祢的看顧和保守
[00:01:04.440 --> 00:01:06.840]  願祢的恩典事實上都會伴隨
[00:01:06.840 --> 00:01:12.080]  帶領我們面對很多的困難和挑戰
[00:01:12.080 --> 00:01:14.640]  但願主繼續加能、賜力
[00:01:14.640 --> 00:01:16.880]  多謝主願意在我們面前
[00:01:16.880 --> 00:01:20.720]  獻上我們最衷心禱告、交託和感恩
[00:01:20.720 --> 00:01:23.560]  是奉耶穌基督明治祈求
[00:01:23.560 --> 00:01:29.000]  今天很想跟大家分享一個題目叫做「大踏步」
[00:01:29.000 --> 00:01:31.560]  當你看到這個題目的時候
[00:01:31.560 --> 00:01:33.240]  你知不知道很多人都覺得
[00:01:33.240 --> 00:01:36.720]  這個跟以前我的年代的卡通片很相似
[00:01:36.720 --> 00:01:38.360]  就是「大踏步」
[00:01:38.360 --> 00:01:39.360]  「神情」
[00:01:39.360 --> 00:01:40.320]  「確威武」
[00:01:40.320 --> 00:01:42.080]  如果你知道我在說什麼
[00:01:42.080 --> 00:01:46.120]  證明其實你跟我的年紀可能都差不多
[00:01:47.120 --> 00:01:49.200]  今天很想跟大家分享一個題目叫做「大踏步」
[00:01:49.200 --> 00:01:53.200]  來自菲勒比書第三章十二到第十四節
[00:01:53.200 --> 00:01:55.880]  今天跟大家分享一個系列
[00:01:55.880 --> 00:01:58.720]  就是青少年港獨的系列之一
[00:01:58.720 --> 00:01:59.920]  叫做「One Thing」
[00:01:59.920 --> 00:02:01.320]  就是一件事
[00:02:01.320 --> 00:02:05.080]  究竟今天我們要跟大家分享的一件什麼事情
[00:02:05.080 --> 00:02:08.000]  讓我們透過經文裏面我們一同學習
[00:02:08.000 --> 00:02:12.200]  如何在困難、逆境裏面能夠繼續的大踏步
[00:02:12.200 --> 00:02:15.080]  菲勒比書第三章十二到第十四節
[00:02:15.080 --> 00:02:16.520]  請大家聽我讀出
[00:02:17.520 --> 00:02:41.520]  (文字)
[00:02:41.520 --> 00:02:45.520]  今天我們面對一個充滿困難的時代
[00:02:45.520 --> 00:02:49.520]  今天在當中我們又要取消實體的崇拜
[00:02:49.520 --> 00:02:51.520]  原因大家都知道
[00:02:51.520 --> 00:02:55.520]  我們今天正面對第三波的疫情
[00:02:55.520 --> 00:02:57.520]  很多專家告訴我們
[00:02:57.520 --> 00:03:02.520]  今次的第三波來得比第一波和第二波更加嚴峻
[00:03:02.520 --> 00:03:06.520]  第一就是因為有很多本地感染的個案
[00:03:06.520 --> 00:03:08.520]  並且很多都是源頭不明
[00:03:08.520 --> 00:03:12.520]  就是說在社區裏面有很多所謂隱形的傳播料
[00:03:12.520 --> 00:03:15.520]  根本我們不能夠找到源頭是什麼
[00:03:15.520 --> 00:03:20.520]  未來幾天會不會再有更多的本地感染我們不知道
[00:03:20.520 --> 00:03:22.520]  所以很多人心裏面有很多的擔心
[00:03:22.520 --> 00:03:25.520]  而且有很多的感染群組出現
[00:03:25.520 --> 00:03:26.520]  特別是沙田區
[00:03:26.520 --> 00:03:30.520]  昨天你看到水池澳邨又有一個感染的群組
[00:03:30.520 --> 00:03:33.520]  我們有很多的擔心、有很多的憂慮
[00:03:33.520 --> 00:03:38.520]  我們面對前路、面對將來很多事情我們估計不到
