
[00:00:00.000 --> 00:00:03.080]  大家好,很久不見
[00:00:03.080 --> 00:00:05.280]  今天因為我有機身咭
[00:00:05.280 --> 00:00:07.440]  所以我帶著面膜比較好
[00:00:07.440 --> 00:00:09.360]  為了大家的著想
[00:00:09.360 --> 00:00:11.160]  現在我們先讀聖經
[00:00:11.160 --> 00:00:13.280]  1、2、3
[00:00:13.680 --> 00:00:15.680]  (廣東話)
[00:00:15.680 --> 00:00:17.680]  (廣東話)
[00:00:17.680 --> 00:00:19.680]  (廣東話)
[00:00:19.680 --> 00:00:21.680]  (廣東話)
[00:00:21.680 --> 00:00:23.680]  (廣東話)
[00:00:23.680 --> 00:00:25.680]  (廣東話)
[00:00:25.680 --> 00:00:27.680]  (廣東話)
[00:00:27.680 --> 00:00:29.680]  (廣東話)
[00:00:29.680 --> 00:00:31.680]  (廣東話)
[00:00:31.680 --> 00:00:33.680]  (廣東話)
[00:00:33.680 --> 00:00:35.680]  (廣東話)
[00:00:35.680 --> 00:00:37.680]  (廣東話)
[00:00:37.680 --> 00:00:39.680]  (廣東話)
[00:00:39.680 --> 00:00:41.680]  (廣東話)
[00:00:41.680 --> 00:00:43.680]  (廣東話)
[00:00:43.680 --> 00:00:45.680]  (廣東話)
[00:00:45.680 --> 00:00:47.680]  (廣東話)
[00:00:47.680 --> 00:00:49.680]  (廣東話)
[00:00:49.680 --> 00:00:51.680]  (廣東話)
[00:00:51.680 --> 00:01:19.920]  (廣播)
[00:01:19.920 --> 00:01:23.960]  眨眼間,我已經來了二十多年
[00:01:23.960 --> 00:01:26.760]  香港真的改變了很多
[00:01:26.760 --> 00:01:29.720]  尤其是最近的幾年
[00:01:29.720 --> 00:01:33.480]  最近大家都知道
[00:01:33.480 --> 00:01:35.480]  我們被迫在香港待了很久
[00:01:35.480 --> 00:01:36.680]  不能外出
[00:01:36.680 --> 00:01:38.680]  一開關之後
[00:01:38.680 --> 00:01:40.480]  我立即衝出去
[00:01:40.480 --> 00:01:43.280]  回到我鄉下
[00:01:43.280 --> 00:01:45.280]  不是用櫻花那種
[00:01:45.280 --> 00:01:48.040]  吉林坡
[00:01:48.040 --> 00:01:53.880]  我和太太有個朋友
[00:01:53.880 --> 00:01:57.680]  在那裏買了一間豪宅
[00:01:57.680 --> 00:01:59.960]  他住了幾天
[00:01:59.960 --> 00:02:01.480]  他跟我們說
[00:02:01.480 --> 00:02:04.120]  不如你幫我們在那裏住十天八天
[00:02:04.120 --> 00:02:05.560]  因為我們在那裏住了十天八天
[00:02:05.560 --> 00:02:07.360]  幫我們看看有哪裏漏水
[00:02:07.360 --> 00:02:08.840]  或者是甚麼
[00:02:08.840 --> 00:02:10.520]  當然好
[00:02:10.520 --> 00:02:12.720]  不用錢,有豪宅
[00:02:12.720 --> 00:02:13.760]  Yes
[00:02:13.760 --> 00:02:15.240]  回到家
[00:02:15.240 --> 00:02:19.400]  他給我們地址時
[00:02:19.400 --> 00:02:22.000]  我一看就不知道在哪裏
[00:02:22.000 --> 00:02:28.440]  那裏實在是我長大的地區
[00:02:28.440 --> 00:02:29.720]  就像沙田區
[00:02:29.720 --> 00:02:31.440]  大家在沙田區長大
[00:02:31.440 --> 00:02:34.520]  然後有間屋在沙田區
[00:02:34.520 --> 00:02:35.520]  大家不知道在哪裏
[00:02:35.520 --> 00:02:37.520]  我真的不知道在哪裏
[00:02:37.520 --> 00:02:40.000]  後來我回到家後
[00:02:40.000 --> 00:02:46.160]  發現原來那裏改變得很厲害
[00:02:46.160 --> 00:02:47.560]  所以大家不要以為
[00:02:47.560 --> 00:02:50.080]  只有香港才是改變得厲害
[00:02:50.080 --> 00:02:51.600]  其實很多地方都在改變
[00:02:51.600 --> 00:02:56.440]  甚至吉林坡都改變得很厲害
[00:02:56.440 --> 00:03:00.440]  事實上我們的城市是會改變
[00:03:00.440 --> 00:03:02.760]  我們會改變
[00:03:02.760 --> 00:03:05.120]  生命是不會停留的
[00:03:05.120 --> 00:03:08.840]  一直都會繼續改變
[00:03:08.840 --> 00:03:13.520]  這應該是傳道者所說的虛空
[00:03:13.520 --> 00:03:18.240]  首先說他甚麼不是虛空
[00:03:18.240 --> 00:03:20.600]  他一定不是說很虛空
[00:03:20.600 --> 00:03:24.600]  因為不能享受過日子
[00:03:24.600 --> 00:03:26.200]  他一定不是這樣說
[00:03:26.200 --> 00:03:29.720]  有時我們都會覺得很悶
[00:03:29.720 --> 00:03:30.840]  或者不享受
[00:03:30.840 --> 00:03:32.000]  很虛空
[00:03:32.000 --> 00:03:32.680]  他不是
[00:03:32.680 --> 00:03:33.320]  為甚麼
[00:03:33.320 --> 00:03:37.200]  因為他叫人去享受生命
[00:03:37.200 --> 00:03:39.200]  既然他叫人去享受生命
[00:03:39.200 --> 00:03:41.480]  和他自己去享受生命
[00:03:41.480 --> 00:03:44.600]  即是他覺得生命是可以享受的
[00:03:44.600 --> 00:03:46.600]  所以不是因為這樣
[00:03:46.600 --> 00:03:49.560]  亦不是我們覺得很虛空
[00:03:49.560 --> 00:03:53.040]  甚麼都沒有用的感覺
[00:03:53.040 --> 00:03:54.440]  他一定不是這樣說
[00:03:54.440 --> 00:03:54.960]  為甚麼呢?
[00:03:54.960 --> 00:03:57.160]  我們知道是因為他跟人說
[00:03:57.160 --> 00:04:00.120]  最低限度智慧是有用的
[00:04:00.120 --> 00:04:03.960]  他說智慧可以保護智者
[00:04:03.960 --> 00:04:08.280]  甚至使智者強起來
[00:04:08.280 --> 00:04:11.280]  所以他覺得最低限度智慧是有用的
[00:04:11.280 --> 00:04:15.240]  所以他不是那種甚麼都沒有用的
[00:04:15.240 --> 00:04:17.240]  智慧最低限度有用
[00:04:17.240 --> 00:04:20.920]  他最有可能說虛空的原因
[00:04:20.920 --> 00:04:23.240]  就在第十四節
[00:04:23.240 --> 00:04:25.040]  他說全是虛空
[00:04:25.040 --> 00:04:26.760]  全是暴風
[00:04:26.760 --> 00:04:28.760]  他自己解釋了一句
[00:04:28.760 --> 00:04:29.800]  甚麼叫做虛空
[00:04:29.800 --> 00:04:31.800]  是暴風
[00:04:31.800 --> 00:04:33.080]  甚麼叫做暴風
[00:04:33.080 --> 00:04:36.640]  大家現在可能感覺到是空氣
[00:04:36.640 --> 00:04:38.640]  你感覺到風
[00:04:38.640 --> 00:04:41.280]  但我們捉不住風
[00:04:41.280 --> 00:04:43.480]  生命也是這樣
[00:04:43.480 --> 00:04:45.680]  我們是經歷生命的
[00:04:45.680 --> 00:04:48.000]  我們可以享受生命的
[00:04:48.000 --> 00:04:51.400]  我們甚至可以很享受我們的生命
