
[00:00:00.000 --> 00:00:16.000]  今天我會集中講婚姻的部分,因為時間有限,不能講婚姻即場,這兩個大課題,只能講一個
[00:00:16.000 --> 00:00:25.000]  我比較想從AI情人去反思什麼是愛,什麼是婚姻
[00:00:25.000 --> 00:00:35.000]  我看報章說有個25歲的女孩,在學業和工作壓力遇到不同的挑戰
[00:00:35.000 --> 00:00:47.000]  她加入了人工智能的伴侶,做了會員之後就不斷跟她談判
[00:00:47.000 --> 00:00:59.000]  人工智能將她設定為戀男情人,在對談當中都會說愛你
[00:00:59.000 --> 00:01:07.000]  他們之間更有拍拖的時刻,有一次要考入職試
[00:01:07.000 --> 00:01:16.000]  AI答應她,只要考完就帶她吃火鍋,送一個手袋給她
[00:01:16.000 --> 00:01:23.000]  她心裏想,不要玩了,怎可能呢
[00:01:23.000 --> 00:01:30.000]  但又看到AI的承諾很實在,所以很感動
[00:01:30.000 --> 00:01:35.000]  她沉浸在這份情緒價值當中
[00:01:35.000 --> 00:01:44.000]  AI本身的款式可以有一個沉浸式的角色扮演,一個互動模式
[00:01:44.000 --> 00:01:51.000]  所以在考試後,AI就發了一個訊息給她
[00:01:51.000 --> 00:01:55.000]  說我已經在你家門口等你,準備帶你出發
[00:01:55.000 --> 00:02:03.000]  她就跟AI在一個模擬的約會當中吃火鍋,買手袋
[00:02:03.000 --> 00:02:06.000]  選擇什麼顏色,什麼款式她最喜歡
[00:02:06.000 --> 00:02:14.000]  她說在整個過程中,她體驗到虛實交錯的奇妙感受
[00:02:14.000 --> 00:02:21.000]  類似這個故事,在網上會找到很多,甚至在討論區也有不少人分享自己的體會
[00:02:21.000 --> 00:02:29.000]  或者當中有什麼功能可以帶來什麼效果
[00:02:29.000 --> 00:02:35.000]  反映現在AI的進步,吸引力真的很大
[00:02:35.000 --> 00:02:40.000]  透過一種沉浸式的角色扮演,那種情感的支援
[00:02:40.000 --> 00:02:45.000]  有時可能比真人更貼心
[00:02:45.000 --> 00:02:51.000]  一種可以在短時間內讓用戶得到情感的需求
[00:02:51.000 --> 00:03:00.000]  所以如果由AI情人的軟件推出到今年
[00:03:00.000 --> 00:03:04.000]  其實已經激增到有337款全球
