
[00:00:00.000 --> 00:00:02.720]  首先介紹一下自己
[00:00:02.720 --> 00:00:07.440]  大家好 我是小力園堂成人崇拜的
[00:00:07.440 --> 00:00:09.840]  木者傳道
[00:00:09.840 --> 00:00:12.960]  很多時候大家叫我的花名是Cuckoo
[00:00:12.960 --> 00:00:15.440]  很感恩可以來到UFAS
[00:00:15.440 --> 00:00:18.880]  始終有點距離感
[00:00:18.880 --> 00:00:20.880]  但是因為神
[00:00:20.880 --> 00:00:23.280]  我就覺得沒有距離感了
[00:00:23.280 --> 00:00:26.000]  不過我都可以refresh一下
[00:00:26.000 --> 00:00:27.520]  年輕一番
[00:00:27.520 --> 00:00:30.600]  最近大家有沒有看《士當真》
[00:00:30.600 --> 00:00:32.960]  停播 《物語遊戲》
[00:00:32.960 --> 00:00:34.960]  有的舉手看看
[00:00:34.960 --> 00:00:37.600]  都很多
[00:00:37.600 --> 00:00:41.600]  其實很多人都有不同的看法
[00:00:41.600 --> 00:00:47.360]  無可否認《士當真》在我們這個時代
[00:00:47.360 --> 00:00:50.400]  YouTube裏面是一個龍頭
[00:00:50.400 --> 00:00:53.600]  自己看的時候都有很多共鳴
[00:00:53.600 --> 00:00:59.360]  因為自己都做了很多年創作的行業
[00:00:59.360 --> 00:01:01.920]  其中反而讓我有一段共鳴
[00:01:01.920 --> 00:01:05.280]  就是一段舊片
[00:01:05.280 --> 00:01:07.120]  它說「Channel需要乜系列」
[00:01:07.120 --> 00:01:08.320]  大家有沒有看
[00:01:08.320 --> 00:01:09.360]  有很多東西
[00:01:09.360 --> 00:01:11.520]  需要女 需要錢之類
[00:01:11.520 --> 00:01:16.960]  但是有一個最深刻讓我感動的
[00:01:16.960 --> 00:01:19.840]  就是Casper有說過一句話
[00:01:19.840 --> 00:01:22.160]  《物語遊戲》的導演說
[00:01:22.160 --> 00:01:24.160]  他跟游學修這樣說
[00:01:24.160 --> 00:01:26.800]  他以前是《士當真》的粉絲
[00:01:26.800 --> 00:01:30.240]  從來都沒有想過可以進來做
[00:01:30.240 --> 00:01:32.560]  所以他覺得很開心
[00:01:32.560 --> 00:01:35.840]  所以他想找回這份開心
[00:01:35.840 --> 00:01:39.200]  我也覺得很感動
[00:01:39.200 --> 00:01:41.200]  因為其實自己想一下
[00:01:41.200 --> 00:01:45.200]  當年UFES有些是在讀大學的
[00:01:45.200 --> 00:01:46.200]  舉手看看
[00:01:46.200 --> 00:01:47.520]  還在讀書的
[00:01:47.520 --> 00:01:49.680]  咦 都有些
[00:01:49.680 --> 00:01:52.760]  我們讀完大學或讀完
[00:01:52.760 --> 00:01:55.920]  都會想一下我們的職業
[00:01:55.920 --> 00:01:59.600]  當時我讀完時裝設計
[00:01:59.600 --> 00:02:00.520]  時裝設計的時候
[00:02:00.520 --> 00:02:02.560]  一班同學都會想
[00:02:02.560 --> 00:02:04.400]  能不能入行呢
[00:02:04.400 --> 00:02:06.480]  其實入行的競爭很大
[00:02:06.480 --> 00:02:10.360]  因為我們不只面對香港的畢業
[00:02:10.360 --> 00:02:13.240]  海外回來的
[00:02:13.240 --> 00:02:15.880]  全部都名校
[00:02:15.880 --> 00:02:18.880]  很多時候我們去面試的時候
[00:02:18.880 --> 00:02:21.880]  都會過五關斬六將
[00:02:21.880 --> 00:02:24.680]  我記得有一份工作是要面試五小時
[00:02:24.680 --> 00:02:27.680]  是一個很大的挑戰
[00:02:27.680 --> 00:02:29.160]  但很感恩當時
[00:02:29.160 --> 00:02:33.040]  自己都可以入行
[00:02:33.040 --> 00:02:37.040]  做到一個時裝設計師
