
[00:00:00.000 --> 00:00:05.260]  今天跟大家思想題目,等待破曉
[00:00:05.260 --> 00:00:08.000]  我們會思想二賽書院十八章
[00:00:08.000 --> 00:00:15.980]  中秋節,有誰看到月亮?
[00:00:15.980 --> 00:00:19.980]  今年應該很清楚
[00:00:19.980 --> 00:00:25.980]  據報說是在大澳拍攝
[00:00:25.980 --> 00:00:30.980]  照片當然很美麗
[00:00:30.980 --> 00:00:35.980]  但離不開照片的背後
[00:00:35.980 --> 00:00:38.980]  因為我們經歷過很多風暴
[00:00:38.980 --> 00:00:43.980]  過了風暴後,今年的中秋節
[00:00:43.980 --> 00:00:52.980]  相當佩感,覺得月色相當美麗
[00:00:52.980 --> 00:00:57.980]  因為我們經歷了華家沙的威力
[00:00:57.980 --> 00:01:01.980]  看到風暴的勢力
[00:01:01.980 --> 00:01:04.980]  張安路有三間向海的餐廳
[00:01:04.980 --> 00:01:07.980]  當時是不敵月提浪
[00:01:07.980 --> 00:01:11.980]  海水一衝進店內
[00:01:11.980 --> 00:01:16.980]  一時之間店舖就淹沒了
[00:01:16.980 --> 00:01:19.980]  其中一間餐廳的老闆娘
[00:01:19.980 --> 00:01:22.980]  接受訪問後,眼泛淚光
[00:01:22.980 --> 00:01:25.980]  說店舖淹沒了
[00:01:25.980 --> 00:01:29.980]  記者問她,估計損失了多少?
[00:01:29.980 --> 00:01:33.980]  她說大約五百至七百萬
[00:01:33.980 --> 00:01:37.980]  她說完後,也提到
[00:01:37.980 --> 00:01:42.980]  有街坊特地去探望她,支持她
[00:01:42.980 --> 00:01:46.980]  給予很多鼓勵,她說她深受感動
[00:01:46.980 --> 00:01:50.980]  有時真正的問安
[00:01:50.980 --> 00:01:55.980]  對災民來說,是佩感的重要
[00:01:55.980 --> 00:01:59.980]  所以在此真心向大家問一句
[00:01:59.980 --> 00:02:01.980]  大家好嗎?
[00:02:01.980 --> 00:02:03.980]  不如我借大家的口
[00:02:03.980 --> 00:02:06.980]  幫我問問你旁邊的那個好嗎?
[00:02:06.980 --> 00:02:13.980]  無事無幹,被人問候
[00:02:13.980 --> 00:02:17.980]  心裏已經覺得很好
[00:02:17.980 --> 00:02:22.980]  如果是經過很大災難的時候
[00:02:22.980 --> 00:02:24.980]  特別被人問一句
[00:02:24.980 --> 00:02:26.980]  其實心裏特別窩心
[00:02:26.980 --> 00:02:28.980]  不單這樣一個簡單的舉動
[00:02:28.980 --> 00:02:30.980]  其實也是這麼窩心
[00:02:30.980 --> 00:02:32.980]  大家在螢幕上看到
[00:02:32.980 --> 00:02:34.980]  那位相片當中的人
[00:02:34.980 --> 00:02:36.980]  其實不是清潔工
[00:02:36.980 --> 00:02:38.980]  他只是路過的市民
[00:02:38.980 --> 00:02:42.980]  他看到樹枝倒下來
[00:02:42.980 --> 00:02:44.980]  他就主動去整理
[00:02:44.980 --> 00:02:46.980]  被途人拍下了
[00:02:46.980 --> 00:02:50.980]  我看過時間,沒有記錯
[00:02:50.980 --> 00:02:53.980]  當時還掛著風球
[00:02:53.980 --> 00:02:57.980]  但是一個災後的狀況
[00:02:57.980 --> 00:03:00.980]  一個簡單的舉手之勞
[00:03:00.980 --> 00:03:04.980]  其實能夠展現出一份溫柔的善意
[00:03:04.980 --> 00:03:08.980]  我們閱讀到《倚坐書》的時候
[00:03:08.980 --> 00:03:10.980]  在當時的背景
[00:03:10.980 --> 00:03:12.980]  他們也經歷了很多災難
[00:03:12.980 --> 00:03:14.980]  尤其是亡國被擄
[00:03:14.980 --> 00:03:18.980]  當時猶太人的舉動
[00:03:18.980 --> 00:03:21.980]  是很熱心去守安息日
[00:03:21.980 --> 00:03:24.980]  更加在那個日子裏面禁食
[00:03:24.980 --> 00:03:31.980]  但是上帝卻說他們忽略了社會裏面的壓迫和不義
[00:03:31.980 --> 00:03:35.980]  在日常生活,尤其是他們禁食的期間
[00:03:35.980 --> 00:03:37.980]  繼續去追求私利
