
[00:00:00.000 --> 00:00:05.400]  大家好,再一次歡迎能夠在小聯堂跟大家分享訊息
[00:00:05.400 --> 00:00:08.600]  這個題目也有些難度
[00:00:08.600 --> 00:00:11.800]  由Kim叔Kim哥設計
[00:00:11.800 --> 00:00:15.200]  設計給每一個清晨的童工系列
[00:00:15.200 --> 00:00:17.000]  叫做大逆不道
[00:00:17.000 --> 00:00:21.000]  我問他原創作者的時候Designer有什麼期望
[00:00:21.000 --> 00:00:23.000]  他說了一句
[00:00:23.000 --> 00:00:26.000]  重點就是信仰如何顛覆我們的價值觀
[00:00:26.000 --> 00:00:29.000]  在他的角度解讀來說
[00:00:29.000 --> 00:00:32.000]  任何一個相信主耶穌的人
[00:00:32.000 --> 00:00:34.000]  無論是教會子弟
[00:00:34.000 --> 00:00:38.000]  又或者是首次接觸耶穌基督的福音
[00:00:38.000 --> 00:00:42.000]  當整個人的言能舉止、思想、生活形態
[00:00:42.000 --> 00:00:46.000]  都會被聖經所挑戰、更新、改變
[00:00:46.000 --> 00:00:49.000]  當我理解到他的原創的時候
[00:00:49.000 --> 00:00:51.000]  他還給了我題目
[00:00:51.000 --> 00:00:55.000]  你應該有看過那套電影也知道答案
[00:00:55.000 --> 00:00:57.000]  是什麼呢?哈利
[00:00:57.000 --> 00:00:59.000]  在那套電影的時候
[00:00:59.000 --> 00:01:01.000]  有一個智慧的老人
[00:01:01.000 --> 00:01:02.000]  智者
[00:01:02.000 --> 00:01:05.000]  他跟一個少年人說
[00:01:05.000 --> 00:01:11.000]  你知不知道自己為什麼會逃過了剛才的難題
[00:01:11.000 --> 00:01:13.000]  難關沒有被消滅
[00:01:13.000 --> 00:01:16.000]  能夠打贏一個Big Boss
[00:01:16.000 --> 00:01:18.000]  少年人就很驚訝
[00:01:18.000 --> 00:01:19.000]  驚魂未靈
[00:01:19.000 --> 00:01:24.000]  我也不知道為什麼剛才竟然可以逃出生天
[00:01:24.000 --> 00:01:26.000]  智者就跟少年人說
[00:01:26.000 --> 00:01:30.000]  因為你的皮膚上有一個印記
