
[00:00:00.000 --> 00:00:02.680]  好,介紹一下自己吧
[00:00:02.680 --> 00:00:05.240]  可能大家都對我有些陌生
[00:00:05.240 --> 00:00:08.560]  我中文名叫尤群英
[00:00:08.560 --> 00:00:11.400]  教會裏面很多人都叫我Cuckoo
[00:00:11.400 --> 00:00:14.760]  就是小力園堂的傳道人
[00:00:14.760 --> 00:00:17.720]  也是沙田浸水會的福音講師
[00:00:17.720 --> 00:00:20.400]  今天我想跟大家分享
[00:00:20.400 --> 00:00:26.320]  與因典同行系列的在耶穌基督律的充足
[00:00:26.320 --> 00:00:30.360]  經文系裏面是《肥拿比書》四章十九節
[00:00:30.360 --> 00:00:38.880]  大家有沒有聽過小器事件簿
[00:00:38.880 --> 00:00:41.240]  也有些人點頭笑我
[00:00:41.240 --> 00:00:45.120]  我聽到有個hashtag
[00:00:45.120 --> 00:00:48.720]  我的小器事件簿是一尺那麼厚
[00:00:48.720 --> 00:00:53.360]  是因為我要記得所有得罪我的人
[00:00:53.360 --> 00:00:58.680]  有時很負面,記住所有不好的事
[00:00:58.680 --> 00:01:04.120]  但原來有個美國心臟協會JAHA說
[00:01:04.120 --> 00:01:07.840]  生氣會很傷害人的血管
[00:01:07.840 --> 00:01:12.080]  令我們增加死亡率23%
[00:01:12.080 --> 00:01:17.200]  但反過來,將生氣寫下
[00:01:17.200 --> 00:01:21.920]  我們消掉,將情緒具體化
[00:01:21.920 --> 00:01:24.840]  將腦海中的黑化
[00:01:24.840 --> 00:01:26.840]  也是有好處的
[00:01:26.840 --> 00:01:30.240]  我們不要看這些事
[00:01:30.240 --> 00:01:33.000]  記錄這些無論惹你生氣的人
[00:01:33.000 --> 00:01:36.840]  或感恩的事,也是有益處的
[00:01:36.840 --> 00:01:42.680]  我們再讀一次經文
[00:01:42.680 --> 00:01:46.720]  我的上帝,必朝他榮耀的豐富
[00:01:46.720 --> 00:01:48.720]  在基督耶穌裏
[00:01:48.720 --> 00:01:52.480]  使你們一切所需用的都充足
[00:01:52.480 --> 00:01:55.920]  菲勒比書四章十九節
[00:01:55.920 --> 00:01:57.920]  如果說背景
[00:01:57.920 --> 00:02:02.720]  這是一封書信,也是保羅監獄的書信
[00:02:02.720 --> 00:02:10.720]  裏面寫了一封給他所建立的歐洲第一間教會
[00:02:10.720 --> 00:02:13.400]  裏面我覺得很像一本
[00:02:13.400 --> 00:02:18.120]  不是小器事件簿,可能是一個保羅感恩的事件簿
[00:02:18.120 --> 00:02:22.440]  這個教會是他領受了議長
[00:02:22.440 --> 00:02:24.200]  在馬來西亞領受了議長
[00:02:24.200 --> 00:02:28.840]  去到菲勒比建設的一個教會
[00:02:28.840 --> 00:02:34.680]  在經文裏面不斷說
[00:02:34.680 --> 00:02:39.160]  很多感恩的事,與菲勒比教會的關係
[00:02:39.160 --> 00:02:43.480]  他說我們一起見到同心合意的興旺的福音
[00:02:43.480 --> 00:02:45.800]  理常在我心裏面
[00:02:45.800 --> 00:02:48.600]  你們供應我的需要
[00:02:48.600 --> 00:02:51.600]  你們是我的喜樂,是我的冠冕
[00:02:51.600 --> 00:02:54.600]  你們為我分擔的憂患
[00:02:54.600 --> 00:02:59.200]  同時也為保羅分擔的羞恥
[00:02:59.200 --> 00:03:03.200]  這些都是保羅記在心裏面
[00:03:03.200 --> 00:03:07.000]  菲勒比教會對保羅的恩情
[00:03:07.000 --> 00:03:10.800]  而保羅亦對菲勒比教會的栽培
[00:03:10.800 --> 00:03:15.280]  看到兩者之間充滿著愛
[00:03:15.280 --> 00:03:18.800]  充滿著感恩的事件
[00:03:18.800 --> 00:03:23.320]  今天我會分三部份跟大家看
[00:03:23.320 --> 00:03:29.200]  這四章十九節一節的經文
[00:03:29.200 --> 00:03:31.880]  叫我分享這個系列的時候
[00:03:31.880 --> 00:03:38.600]  我看到保羅對菲勒比信徒
[00:03:38.600 --> 00:03:43.000]  這個經文裏的信心宣告和認許
[00:03:43.000 --> 00:03:44.200]  我會分三部份
