
[00:00:00.000 --> 00:00:03.000]  很開心能夠回到小力園堂
[00:00:03.000 --> 00:00:06.400]  不是回到,是每天都在18樓
[00:00:06.400 --> 00:00:09.800]  來到小力園堂跟大家分享
[00:00:09.800 --> 00:00:11.800]  我介紹一下自己,我叫蘇平欣
[00:00:11.800 --> 00:00:13.800]  大家可以叫我Benny就OK了
[00:00:13.800 --> 00:00:16.300]  今天的題目是
[00:00:16.300 --> 00:00:19.300]  基督內注讓心靈堅強
[00:00:19.300 --> 00:00:22.800]  以忽所書三章十四至二十一節
[00:00:22.800 --> 00:00:26.300]  大家怎麼看堅強這件事
[00:00:26.300 --> 00:00:29.800]  在在沒有哪些弟兄有個強字或堅字的中文名字
[00:00:29.800 --> 00:00:35.800]  有的,證明上一代有些東西是期望的
[00:00:35.800 --> 00:00:39.800]  有的,猶太人也好,中國人也好,都會有期望
[00:00:39.800 --> 00:00:45.800]  希望你結實、強壯、堅固、強硬
[00:00:45.800 --> 00:00:48.800]  有東西打過來,我都能擋住
[00:00:48.800 --> 00:00:52.800]  這是堅強的看法,或者堅強的期望
[00:00:52.800 --> 00:00:54.800]  但最近我自己再上網看看
[00:00:54.800 --> 00:00:57.800]  堅強,現在是否還是這樣解釋呢
[00:00:57.800 --> 00:01:03.800]  有時多了些東西,堅強未必只是結實、堅固、強硬
[00:01:03.800 --> 00:01:08.800]  而堅強,新譯可以解作可進可退
[00:01:08.800 --> 00:01:11.800]  不是硬食就代表堅強
[00:01:11.800 --> 00:01:14.800]  而是打過來,我可以退,我都是堅強
[00:01:14.800 --> 00:01:16.800]  而是情傷高,你的情緒自傷高
[00:01:16.800 --> 00:01:19.800]  不是一下子激到你,就激怒激爆你
[00:01:19.800 --> 00:01:23.800]  而是我情傷可以高,我可以調節得到我自己
[00:01:23.800 --> 00:01:25.800]  這個亦都是堅強
[00:01:25.800 --> 00:01:29.800]  所以不要想著單單是硬食、堅固、結實,這才是堅強
[00:01:29.800 --> 00:01:33.800]  要先看看這段經文的背景
[00:01:33.800 --> 00:01:38.800]  《伊弗所書》三章,其實是講保羅當時為主被囚
[00:01:38.800 --> 00:01:42.800]  為主被囚是指沒有做過傷天害理事,沒有做錯事
[00:01:42.800 --> 00:01:45.800]  被人抓去坐牢
[00:01:45.800 --> 00:01:48.800]  處境是怎樣呢?其實這是一個冤獄
[00:01:48.800 --> 00:01:53.800]  是一個不公平、不公義、沒有經審訊,被抓去坐牢
[00:01:53.800 --> 00:01:56.800]  保羅的心情可以是怎樣呢?
[00:01:56.800 --> 00:02:00.800]  如果反過來放在你的冤獄裏,你可以是怎樣呢?
[00:02:00.800 --> 00:02:02.800]  你可以是憤怒,你可以投訴
[00:02:02.800 --> 00:02:05.800]  沒有做錯事,你為甚麼抓了我?
