
[00:00:00.000 --> 00:00:03.000]  我們常說聖經最有權威性
[00:00:03.000 --> 00:00:06.000]  那麼聖經到底何時和如何成書呢?
[00:00:06.000 --> 00:00:10.000]  又是用什麼準則去決定某些書卷成為聖經?
[00:00:10.000 --> 00:00:14.000]  今時今日,聖經又可否再次進行成書的過程
[00:00:14.000 --> 00:00:16.000]  當中再作加減呢?
[00:00:28.000 --> 00:00:32.000]  Dr. Wong,今日想向你請教聖經成書的一些問題
[00:00:32.000 --> 00:00:37.000]  聖經包括很多問題,又有書信、歷史書、詩歌等等
[00:00:37.000 --> 00:00:40.000]  那麼不同的書卷是如何變成我們現在看到的聖經呢?
[00:00:40.000 --> 00:00:43.000]  好,那就看看舊約還是新約
[00:00:43.000 --> 00:00:45.000]  先說舊約吧
[00:00:45.000 --> 00:00:54.000]  舊約現在還是很多人接受的過程是這樣的
[00:00:54.000 --> 00:00:59.000]  最初入正典的應該是《五經》
[00:00:59.000 --> 00:01:02.000]  以色列的時候已經入正典了
[00:01:02.000 --> 00:01:06.000]  很可能以色列帶回來的那本書
[00:01:06.000 --> 00:01:09.000]  要教授那些人的就是《五經》
[00:01:09.000 --> 00:01:12.000]  或者是《五經》的一個版本
[00:01:12.000 --> 00:01:15.000]  接著就是那些先知書
[00:01:15.000 --> 00:01:20.000]  不過猶太人的先知書和我們所說的先知書有少少不同
[00:01:20.000 --> 00:01:22.000]  他們是前後先知書
[00:01:22.000 --> 00:01:29.000]  最後入正典的應該是所謂的文獻
[00:01:29.000 --> 00:01:32.000]  實際上就是詩歌、智慧書等等
[00:01:32.000 --> 00:01:34.000]  即是說到了耶穌的時候
[00:01:34.000 --> 00:01:39.000]  實際上某些詩篇是未入正典的
[00:01:39.000 --> 00:01:45.000]  或者詩篇已經入正典,但其他那些是未入正典的
[00:01:45.000 --> 00:01:50.000]  一直到主後90年
[00:01:50.000 --> 00:01:54.000]  差不多就舊約正典形成了
[00:01:54.000 --> 00:01:56.000]  新約有些不同
[00:01:56.000 --> 00:02:00.000]  基督教接受的舊約正典
[00:02:00.000 --> 00:02:07.000]  和他們接受新約的正典都是大公教會決定的
[00:02:07.000 --> 00:02:09.000]  是主後390多的
[00:02:09.000 --> 00:02:13.000]  一個397,一個393左右
[00:02:13.000 --> 00:02:20.000]  他們就接受了猶太人的正典入正典
[00:02:20.000 --> 00:02:23.000]  再加上我們的新約
[00:02:23.000 --> 00:02:28.000]  當時到底是用什麼準則去決定某些書卷成為聖經呢?
[00:02:28.000 --> 00:02:30.000]  又分開新舊約
[00:02:30.000 --> 00:02:35.000]  舊約就是多數舊約和新約都差不多
[00:02:35.000 --> 00:02:38.000]  因為好像新約就看是不是使徒寫的
[00:02:38.000 --> 00:02:40.000]  保羅書信就很快入
[00:02:40.000 --> 00:02:42.000]  福音書就很快入
[00:02:42.000 --> 00:02:47.000]  所以彼得前書、約翰一書就很快入
[00:02:47.000 --> 00:02:51.000]  最明顯最多人接受的就最快入
[00:02:51.000 --> 00:02:53.000]  猶太人的正典也是
[00:02:53.000 --> 00:02:56.000]  所以你看摩西五經摩西寫
[00:02:56.000 --> 00:02:58.000]  就很快入
[00:02:58.000 --> 00:03:03.000]  歷史書就好像撒木爾
[00:03:03.000 --> 00:03:09.000]  他們認識的先知或者偉人寫的
[00:03:09.000 --> 00:03:11.000]  就最快入正典
[00:03:11.000 --> 00:03:13.000]  這是第一點
[00:03:13.000 --> 00:03:14.000]  另外一件事
[00:03:14.000 --> 00:03:18.000]  尤其是新約就看有多少人接受
[00:03:18.000 --> 00:03:23.000]  大多數教會都會接受的就入正典
[00:03:23.000 --> 00:03:29.000]  所以最早期新約來說
