
[00:00:00.000 --> 00:00:05.000]  好,在新的年頭開始
[00:00:05.000 --> 00:00:08.720]  剛剛唱了《敬拜》中有幾首歌
[00:00:08.720 --> 00:00:14.200]  幫助我們找回方向向著神
[00:00:14.200 --> 00:00:17.200]  是很輕鬆的歌曲
[00:00:17.200 --> 00:00:19.680]  告訴你神日與夜都在
[00:00:19.680 --> 00:00:24.720]  今年我們用舊約書卷
[00:00:24.720 --> 00:00:27.840]  看先知書很多時候一個人看
[00:00:27.840 --> 00:00:29.640]  很難看得明白
[00:00:29.640 --> 00:00:31.640]  一群人願意一起看
[00:00:31.640 --> 00:00:32.640]  互相鼓勵
[00:00:32.640 --> 00:00:36.480]  認自己不懂和不明白的地方
[00:00:36.480 --> 00:00:37.680]  重新學習
[00:00:37.680 --> 00:00:39.440]  讓神幫助我們
[00:00:39.440 --> 00:00:41.120]  我覺得這個很寶貴
[00:00:41.120 --> 00:00:42.960]  所以很鼓勵大家一起
[00:00:42.960 --> 00:00:44.880]  在今年不同的系列
[00:00:44.880 --> 00:00:47.760]  特別是去一些小店的書卷
[00:00:47.760 --> 00:00:49.960]  多些載
[00:00:49.960 --> 00:00:52.160]  載的是將神給你
[00:00:52.160 --> 00:00:55.920]  一兩個你不明白或過去沒有想過的事情
[00:00:55.920 --> 00:00:59.320]  能夠在生活中嘗試應用
[00:00:59.320 --> 00:01:00.880]  我今天說了很多
[00:01:00.880 --> 00:01:03.920]  這個題目緊接著麥仔傳
[00:01:03.920 --> 00:01:05.720]  他上次也說了
[00:01:05.720 --> 00:01:07.000]  世界這麼爛
[00:01:07.000 --> 00:01:08.520]  關我什麼事呢
[00:01:08.520 --> 00:01:10.520]  今天再盡心一點
[00:01:10.520 --> 00:01:12.440]  很快過年了
[00:01:12.440 --> 00:01:14.920]  過年我會給這些題目
[00:01:14.920 --> 00:01:18.280]  這次說我這麼爛關你什麼事
[00:01:18.280 --> 00:01:22.800]  我們從這個開始
[00:01:22.800 --> 00:01:26.480]  我知道很多年輕人
[00:01:26.480 --> 00:01:29.040]  或者做一些行業很專業
[00:01:29.040 --> 00:01:33.320]  在辦公室可能也會戴一個很巨大的耳機
[00:01:33.320 --> 00:01:35.800]  一方面可能在潮流中
[00:01:35.800 --> 00:01:37.120]  你戴著它
[00:01:37.120 --> 00:01:39.680]  你可以很清楚讓人知道
[00:01:39.680 --> 00:01:41.280]  我在聽歌
[00:01:41.280 --> 00:01:43.280]  我在做我想做的事情
[00:01:43.280 --> 00:01:45.280]  你不會打擾他
[00:01:45.280 --> 00:01:48.680]  甚至如果你在職場做一些很專業的事情
[00:01:48.680 --> 00:01:49.560]  我聽過
[00:01:49.560 --> 00:01:51.480]  有一些很專業
[00:01:51.480 --> 00:01:55.320]  自己有一個房間做一些計數的人
[00:01:55.320 --> 00:01:57.200]  他反而很想專心
[00:01:57.200 --> 00:01:59.200]  不讓外界騷擾
[00:01:59.200 --> 00:02:01.600]  他也戴著很大的耳機
[00:02:01.600 --> 00:02:03.400]  讓同事不要打擾他
[00:02:03.400 --> 00:02:05.000]  他正在做事
[00:02:05.000 --> 00:02:08.160]  我想也不用戴這麼大的耳機
[00:02:08.160 --> 00:02:11.680]  其實我們經常配了一個
[00:02:11.680 --> 00:02:13.880]  外出可以聽歌
[00:02:13.880 --> 00:02:15.200]  小時候也好
[00:02:15.200 --> 00:02:17.200]  你會發現
[00:02:17.200 --> 00:02:18.800]  作用就是
[00:02:18.800 --> 00:02:20.800]  我選擇我喜歡的歌
[00:02:20.800 --> 00:02:23.480]  我可以選擇我喜歡看的影片去看
[00:02:23.480 --> 00:02:26.280]  但很奇妙的是
[00:02:26.280 --> 00:02:28.280]  它不是你的耳朵
[00:02:28.280 --> 00:02:31.280]  所以當你脫下來的時候
[00:02:31.280 --> 00:02:33.280]  你是沒有辦法去避免
[00:02:33.280 --> 00:02:35.280]  世界有很多不同的聲音
[00:02:35.280 --> 00:02:37.280]  可以是好的
[00:02:37.280 --> 00:02:39.280]  稱讚你、欣賞你
[00:02:39.280 --> 00:02:41.280]  也可以是不好的
[00:02:41.280 --> 00:02:42.280]  是你不願意聽
[00:02:42.280 --> 00:02:44.280]  但聽到和看到的
[00:02:44.280 --> 00:02:46.280]  今天我們來看看
[00:02:46.280 --> 00:02:48.280]  阿摩斯書
[00:02:48.280 --> 00:02:50.280]  一直在說先知是什麼呢?
[00:02:50.280 --> 00:02:53.280]  先知裡面有一個說法
[00:02:53.280 --> 00:02:54.280]  就是先見
[00:02:54.280 --> 00:02:57.280]  不是說他經歷多一點
[00:02:57.280 --> 00:02:58.280]  他比較厲害
[00:02:58.280 --> 00:03:00.280]  而是在神裡面
[00:03:00.280 --> 00:03:02.280]  他選了某些人
[00:03:02.280 --> 00:03:04.280]  在那個群體裡面
[00:03:04.280 --> 00:03:05.280]  要負責傳話
[00:03:05.280 --> 00:03:07.280]  而當他傳話的時候
[00:03:07.280 --> 00:03:09.280]  他會有一種看法
[00:03:09.280 --> 00:03:12.280]  可能英文我們叫insight
[00:03:12.280 --> 00:03:14.280]  這個看法是什麼呢?
[00:03:14.280 --> 00:03:16.280]  不是他自己的標準
[00:03:16.280 --> 00:03:19.280]  而是要將上帝的標準
[00:03:19.280 --> 00:03:21.280]  放到他所愛的人裡面
[00:03:21.280 --> 00:03:23.280]  做很多調配
[00:03:23.280 --> 00:03:25.280]  所以很多時候
[00:03:25.280 --> 00:03:28.280]  先見他走到一個群體裡
[00:03:28.280 --> 00:03:31.280]  當他要說一些所謂預言的東西
[00:03:31.280 --> 00:03:34.280]  也不一定是說他很厲害
[00:03:34.280 --> 00:03:36.280]  他可以預知未來
[00:03:36.280 --> 00:03:39.280]  只是他看見神的國度
[00:03:39.280 --> 00:03:41.280]  神也讓他有這樣
[00:03:41.280 --> 00:03:43.280]  能夠看到不單是表面
[00:03:43.280 --> 00:03:46.280]  是可以看到一些人隱藏
[00:03:46.280 --> 00:03:48.280]  或者自己也不知道的問題
