
[00:00:00.000 --> 00:00:05.000]  我們給點掌聲敬拜隊好不好
[00:00:05.000 --> 00:00:09.000]  多謝敬拜隊代表我們好好敬拜
[00:00:09.000 --> 00:00:15.000]  我們在當中能夠親近神
[00:00:15.000 --> 00:00:23.000]  多謝William的預備
[00:00:23.000 --> 00:00:31.000]  今天我們看的訊息 我所被編排要講的訊息
[00:00:31.000 --> 00:00:34.000]  我不知道William在預備的時候有沒有看過
[00:00:34.000 --> 00:00:37.000]  我們看的經文 先不看題目
[00:00:37.000 --> 00:00:40.000]  今天的經文是來自約翰福音一章
[00:00:40.000 --> 00:00:46.000]  我想問大家在當中有誰看過約翰福音一章頭一至十八節
[00:00:46.000 --> 00:00:50.000]  有沒有人看過 舉手 看過的舉手
[00:00:50.000 --> 00:00:53.000]  看過的也不少
[00:00:53.000 --> 00:00:56.000]  如果大家看過這一段經文
[00:00:56.000 --> 00:01:01.000]  我不知道大家明白的有多少
[00:01:01.000 --> 00:01:04.000]  因為那段經文是很難明白的經文
[00:01:04.000 --> 00:01:13.000]  我想說大家看到我特意不把被編排的題目
[00:01:13.000 --> 00:01:15.000]  再十題圖放大
[00:01:15.000 --> 00:01:22.000]  我特意想放大的就是用空格 空格
[00:01:22.000 --> 00:01:25.000]  基督的眼光去看一切
[00:01:25.000 --> 00:01:29.000]  如果大家看過約翰福音所記載的耶穌
[00:01:29.000 --> 00:01:37.000]  其實我們不是很能夠用約翰福音的耶穌的眼光來看世界
[00:01:37.000 --> 00:01:40.000]  可能我們看到約翰福音的耶穌的時候
[00:01:40.000 --> 00:01:46.000]  其實他講的耶穌跟我們過去對耶穌有慈愛有公義的理解
[00:01:46.000 --> 00:01:48.000]  不是很一樣的
[00:01:48.000 --> 00:01:51.000]  因為在約翰福音講耶穌的時候
[00:01:51.000 --> 00:01:54.000]  其實他有一些角度是很有趣的
[00:01:54.000 --> 00:01:56.000]  就是你會看到耶穌不斷挑釁人
[00:01:56.000 --> 00:01:59.000]  挑戰不同的人
