
[00:00:00.000 --> 00:00:05.640]  大家看到我的樣子吧,應該看到的,直播的應該也看到的
[00:00:05.640 --> 00:00:11.940]  大家好,我是Jimmy,介紹一下,有些可能是街坊,新朋友
[00:00:11.940 --> 00:00:18.360]  我想起剛才主席說回來教會的時候,我不是在沙浸長大的
[00:00:18.360 --> 00:00:25.160]  所以剛才想起第一眼能夠來到漁翠園這個位置,那時候我是很驚訝的
[00:00:25.160 --> 00:00:35.480]  那時候應該是實習結束了,第一次上班的時候,在D出口,差點記錯在C出口第一城站
[00:00:35.480 --> 00:00:39.480]  我去到的時候,他們就說我聽過Wallmap,我也要找的
[00:00:39.480 --> 00:00:42.980]  他們就說你找到牛皮沙的場就行了,我說哪裡有牛皮沙的場
[00:00:42.980 --> 00:00:47.480]  他說那個框是很矮的,那個框是人人都可以進到瓶子的
[00:00:47.480 --> 00:00:50.480]  我說好棒,進到瓶子,因為我之前是打籃球的
[00:00:50.480 --> 00:00:54.480]  我就去測試一下牛皮沙的場,大家應該有在樓下
[00:00:54.480 --> 00:01:00.980]  是的,最近入口的場,十幾年前那個框是很矮的,經常被人進到瓶子裡
[00:01:00.980 --> 00:01:05.980]  那時候我就記得了,只要我找到牛皮沙這個球場,我就找到都會廣場了
[00:01:05.980 --> 00:01:13.480]  但是都會廣場那時候我不知道是多少樓的,我只知道這裡好像超級市場,每一層都好像有間教會
[00:01:13.480 --> 00:01:17.980]  去了哪一層呢?結果就八樓,十八樓,那時候還沒有十九樓
[00:01:17.980 --> 00:01:21.980]  所以剛才主席一說這個話,就立刻回憶湧上來
[00:01:21.980 --> 00:01:28.980]  第一次踏進這個教會聚會點,或者認識這裡的群體的時候,當時有什麼期望呢?
[00:01:28.980 --> 00:01:32.980]  我想起來的時候,當時就好像腦海一片空白
[00:01:32.980 --> 00:01:37.980]  就想,哎呀,神啊,我第一次進入到這個地方,人生路不熟的時候
[00:01:37.980 --> 00:01:39.980]  有什麼你想我見證到呢?
[00:01:39.980 --> 00:01:44.980]  我相信今天是一個新的地點,一個新的時段,或者新的群體的時候
