
[00:00:00.000 --> 00:00:03.800]  天使在聖經裏是一個很引人入勝的存在
[00:00:03.800 --> 00:00:06.800]  每一次出現在經文當中
[00:00:06.800 --> 00:00:11.800]  他們的形象、名稱、做過的事都可以很不一樣
[00:00:11.800 --> 00:00:14.000]  今集我們繼續邀請Dr. Wong
[00:00:14.000 --> 00:00:17.800]  和大家講解聖經裏所記載的天使
[00:00:17.800 --> 00:00:28.800]  Hello Dr. Wong
[00:00:28.800 --> 00:00:32.800]  今日想請教你關於天使的問題
[00:00:32.800 --> 00:00:36.800]  普遍的印象,天使好像都是金頭髮、白色衣服
[00:00:36.800 --> 00:00:38.800]  事實上他們是甚麼樣子的呢?
[00:00:38.800 --> 00:00:44.800]  首先,天使這個字在中文翻譯可能不是太好
[00:00:44.800 --> 00:00:46.800]  不一定是天
[00:00:46.800 --> 00:00:50.800]  實在那個字在希伯來文,甚至希臘文
[00:00:50.800 --> 00:00:52.800]  是使者,是比較好
[00:00:52.800 --> 00:00:54.800]  神的使者
[00:00:54.800 --> 00:00:57.800]  神的使者可以是靈界的東西
[00:00:57.800 --> 00:00:59.800]  亦都可以是人
[00:00:59.800 --> 00:01:04.800]  所以有時我們說你是天使,你是天使
[00:01:04.800 --> 00:01:05.800]  實在是對的,你用法
[00:01:05.800 --> 00:01:07.800]  人都可以是天使
[00:01:07.800 --> 00:01:11.800]  神差拜來幫助我的,那不就是天使
[00:01:11.800 --> 00:01:17.800]  多數人說天使,尤其是中文天使
[00:01:17.800 --> 00:01:19.800]  所以是靈界東西
[00:01:19.800 --> 00:01:23.800]  在靈界東西來說,最低限度有幾樣
[00:01:23.800 --> 00:01:26.800]  第一,像男人,像阿伯拉罕那樣
[00:01:26.800 --> 00:01:28.800]  像男人,像一個人
[00:01:28.800 --> 00:01:31.800]  加伯列像一個男人
[00:01:31.800 --> 00:01:34.800]  Michael像一個男人
[00:01:34.800 --> 00:01:39.800]  還有就是撒加利亞書第五章
[00:01:39.800 --> 00:01:43.800]  那裏他見到一個天使,兩個天使
[00:01:43.800 --> 00:01:47.800]  是女人,所以亦有女人的形象出現
[00:01:47.800 --> 00:01:50.800]  還有就是以西傑見到的天使
[00:01:50.800 --> 00:01:52.800]  那些就一點都不像人
[00:01:52.800 --> 00:01:57.800]  那些在夜裡見到就真的嚇一跳
[00:01:57.800 --> 00:02:00.800]  所以基本上天使靈界的東西
[00:02:00.800 --> 00:02:02.800]  究竟是否有分類
[00:02:02.800 --> 00:02:04.800]  究竟我們看到它像人
[00:02:04.800 --> 00:02:06.800]  還是它們真的像人和不像人
[00:02:06.800 --> 00:02:08.800]  我們不知道
[00:02:08.800 --> 00:02:11.800]  究竟這些靈界東西有沒有分類
[00:02:11.800 --> 00:02:13.800]  我們都不知道
[00:02:13.800 --> 00:02:16.800]  聖經提到人比天使微少一點
[00:02:16.800 --> 00:02:19.800]  究竟在甚麼方面微少一點
[00:02:19.800 --> 00:02:24.800]  那個字是人的詩篇第八篇
[00:02:24.800 --> 00:02:28.800]  那個字是Elohim,神
[00:02:28.800 --> 00:02:30.800]  不是天使
[00:02:30.800 --> 00:02:33.800]  真正翻譯天使的是七十字譯本
[00:02:33.800 --> 00:02:36.800]  將它翻譯為天使
[00:02:36.800 --> 00:02:39.800]  因為神的字,Elohim的字
[00:02:39.800 --> 00:02:41.800]  有時都是在說天使
[00:02:41.800 --> 00:02:45.800]  不過那裏的字就是人比神微少一點
[00:02:45.800 --> 00:02:47.800]  如果你看詩篇第八篇
[00:02:47.800 --> 00:02:50.800]  很明顯是在說創造
[00:02:50.800 --> 00:02:53.800]  因為它比天使微少一點
[00:02:53.800 --> 00:02:56.800]  但是原來是管理大地
[00:02:56.800 --> 00:02:58.800]  是在說創世紀第一章
[00:02:58.800 --> 00:03:01.800]  為何比神微少一點
[00:03:01.800 --> 00:03:06.800]  因為人是根從神的形象造出來
[00:03:06.800 --> 00:03:10.800]  所以它比神微少一點
[00:03:10.800 --> 00:03:13.800]  那個意思是這樣的
[00:03:14.800 --> 00:03:17.800]  聖經裏面有記載過一些叫做神人的角色
[00:03:17.800 --> 00:03:21.800]  他們是天使還是你所說是人
[00:03:21.800 --> 00:03:23.800]  好像羅德遇到的兩個
[00:03:23.800 --> 00:03:27.800]  神人多數是先知
[00:03:27.800 --> 00:03:29.800]  是先知另一個名字
[00:03:29.800 --> 00:03:34.800]  最多出現是在亞爾尼沙的時候
[00:03:34.800 --> 00:03:37.800]  如果我沒有記錯
[00:03:37.800 --> 00:03:40.800]  南方來的很多時候叫做神人
[00:03:40.800 --> 00:03:43.800]  北方叫做先知
[00:03:43.800 --> 00:03:46.800]  不過後來都是用先知
[00:03:46.800 --> 00:03:48.800]  所以那些是人
[00:03:48.800 --> 00:03:50.800]  那和雅各摔交的位置呢
[00:03:50.800 --> 00:03:56.800]  那個是天使還是神呢
[00:03:56.800 --> 00:03:58.800]  我們是不太知道
[00:03:58.800 --> 00:04:01.800]  因為雅各自己覺得是和神摔交
[00:04:01.800 --> 00:04:05.800]  我們又見到聖經出現神的兒子們
[00:04:05.800 --> 00:04:08.800]  偉人 上古英武有名的人
[00:04:08.800 --> 00:04:10.800]  這些角色
[00:04:10.800 --> 00:04:12.800]  他們又是不是天使呢
[00:04:12.800 --> 00:04:16.800]  也可能是偉人
[00:04:16.800 --> 00:04:20.800]  可能最近那個就是神的兒子
[00:04:20.800 --> 00:04:24.800]  因為都有形容他們為偉人
[00:04:24.800 --> 00:04:26.800]  神的兒子
[00:04:26.800 --> 00:04:31.800]  因為在約伯記
[00:04:31.800 --> 00:04:33.800]  神的兒子代表
[00:04:33.800 --> 00:04:35.800]  撒旦都是神的兒子
[00:04:35.800 --> 00:04:38.800]  所以在聖經裏面和傳統裏面
[00:04:38.800 --> 00:04:40.800]  大多數覺得神的兒子
[00:04:40.800 --> 00:04:43.800]  就是天使的另一個名字
[00:04:43.800 --> 00:04:45.800]  不是神生出來的意思
[00:04:45.800 --> 00:04:48.800]  因為兒子的字
[00:04:48.800 --> 00:04:49.800]  在希伯來文
[00:04:49.800 --> 00:04:52.800]  不是一定是生出來的意思
[00:04:52.800 --> 00:05:01.800]  它的意思就是神創造出來的東西
[00:05:01.800 --> 00:05:02.800]  但是在古代中東
[00:05:02.800 --> 00:05:07.800]  神的兒子也可以說是皇族
[00:05:07.800 --> 00:05:09.800]  都會叫他們做神的兒子
[00:05:09.800 --> 00:05:10.800]  但在聖經裏面
