
[00:00:00.000 --> 00:00:02.880]  各位弟兄姊妹 各位朋友 午安
[00:00:02.880 --> 00:00:04.880]  大家好
[00:00:04.880 --> 00:00:09.320]  先預祝在場的各位母親
[00:00:09.320 --> 00:00:12.600]  包括屬靈的母親
[00:00:12.600 --> 00:00:15.320]  都先預祝你們母親節快樂
[00:00:15.320 --> 00:00:17.320]  今天呢
[00:00:17.320 --> 00:00:19.320]  很開心 我自己也是母親
[00:00:19.320 --> 00:00:21.320]  相信也是屬靈母親
[00:00:21.320 --> 00:00:23.320]  各位今天很開心
[00:00:23.320 --> 00:00:26.720]  可以在今天一起敬拜
[00:00:26.720 --> 00:00:29.160]  還有聽到的時間
[00:00:29.160 --> 00:00:32.240]  今天的母親節訊息主題就是
[00:00:32.240 --> 00:00:34.240]  「我想一生保護你」
[00:00:34.240 --> 00:00:39.160]  經文是來自《出埃及記》二章一至十節
[00:00:39.160 --> 00:00:44.880]  在一個推廣正面育兒的網上平台
[00:00:44.880 --> 00:00:46.880]  其中有一則分享
[00:00:46.880 --> 00:00:48.880]  這樣說
[00:00:48.880 --> 00:00:50.880]  對於成為母親
[00:00:50.880 --> 00:00:53.680]  我也有許多複雜的情緒
[00:00:53.680 --> 00:00:56.880]  當然有著喜悅和興奮
[00:00:56.880 --> 00:01:01.680]  但同時也有著很深的恐懼和害怕
[00:01:01.680 --> 00:01:04.680]  其中一個讓我恐懼的是
[00:01:04.680 --> 00:01:07.680]  我害怕成為母親之後
[00:01:07.680 --> 00:01:11.080]  「我是誰」就消失了
[00:01:11.080 --> 00:01:15.880]  成為母親有著的喜悅和興奮
[00:01:15.880 --> 00:01:19.080]  自然而然我們很想
[00:01:19.080 --> 00:01:23.280]  將自己認為是最好的給我們的孩子
[00:01:23.280 --> 00:01:25.280]  當中包括什麼
[00:01:25.280 --> 00:01:31.680]  有愛、有時間、精神、體力、金錢、知識等等
[00:01:31.680 --> 00:01:37.880]  但究竟什麼原因令到母親有了孩子之後
[00:01:37.880 --> 00:01:40.680]  卻會感到害怕和恐懼
[00:01:40.680 --> 00:01:46.280]  「我是誰」會消失和生活失衡呢?
[00:01:46.280 --> 00:01:48.880]  我就著這個問題
[00:01:48.880 --> 00:01:51.880]  我嘗試問一下我的女兒
[00:01:51.880 --> 00:01:58.680]  看看她年輕人對於這個原因有什麼看法
[00:01:58.680 --> 00:02:01.880]  她很快地回答了我
[00:02:01.880 --> 00:02:07.080]  她說原因是母親過度保護孩子
[00:02:07.080 --> 00:02:12.680]  過度保護會對孩子帶來傷害
[00:02:12.680 --> 00:02:16.480]  這叫做「守護的諷刺」
