
[00:00:00.000 --> 00:00:04.220]  各位弟兄姊妹午安,也快晚安了
[00:00:04.220 --> 00:00:07.500]  不如你和你旁邊的打個招呼吧
[00:00:07.500 --> 00:00:18.540]  今天跟大家思想是滿土韌力的第二講
[00:00:18.540 --> 00:00:20.540]  打造出新心靈的韌力
[00:00:20.540 --> 00:00:22.980]  我相信韌力這兩個字
[00:00:22.980 --> 00:00:25.540]  這幾年大家其實在任何報章都見過的
[00:00:25.540 --> 00:00:28.020]  但在你心目中的模樣是怎樣呢
[00:00:28.020 --> 00:00:33.860]  是鐵板一塊的意志還是其他呢
[00:00:33.860 --> 00:00:39.340]  近來有一位教育學家出了一本書
[00:00:39.340 --> 00:00:41.700]  他用植物來比喻韌力
[00:00:41.700 --> 00:00:43.700]  螢光幕有兩種植物
[00:00:43.700 --> 00:00:48.660]  你認為哪一個植物是他覺得韌力的表現呢
[00:00:48.660 --> 00:00:51.380]  如果你覺得是綠色的植物就舉手
[00:00:51.380 --> 00:00:54.260]  如果你覺得是白色的植物就舉手
[00:00:54.260 --> 00:00:57.860]  大家知不知道綠色的植物是甚麼
[00:00:57.860 --> 00:00:59.860]  就是柳樹
[00:00:59.860 --> 00:01:07.380]  因為教育家覺得柳樹才能夠比喻韌力
[00:01:07.380 --> 00:01:11.300]  因為他認為韌力其實是柔軟度和堅韌
[00:01:11.300 --> 00:01:13.300]  能夠適應各種環境
[00:01:13.300 --> 00:01:15.940]  具備恢復力的韌性
[00:01:15.940 --> 00:01:21.060]  所以在他眼中韌力不是在於硬度而是在於彈性
[00:01:21.060 --> 00:01:23.060]  即是表示我們人生裡面
[00:01:23.060 --> 00:01:26.180]  不是表示我們不會失敗不會有挫折
[00:01:26.180 --> 00:01:28.180]  其實我們還可以選擇
[00:01:28.180 --> 00:01:31.380]  我們可以選擇如何看待失敗
[00:01:31.380 --> 00:01:33.380]  如何看待挫折
[00:01:33.380 --> 00:01:35.380]  逆境後悔
[00:01:35.380 --> 00:01:39.220]  或者有些事情我們都不想再提
[00:01:39.220 --> 00:01:42.020]  但它仍然留在我們記憶中
[00:01:42.020 --> 00:01:45.220]  如何去做出一個堅韌的回應呢
[00:01:45.220 --> 00:01:47.220]  我和大家思想一下
[00:01:47.220 --> 00:01:50.980]  用福音13章31至16章33節
[00:01:50.980 --> 00:01:55.620]  這段大經文其實就是耶穌基督的離別的話
[00:01:55.620 --> 00:01:58.820]  因為他要踏上十誡的路
[00:01:58.820 --> 00:02:00.820]  他要為我們受苦成就救贖
[00:02:00.820 --> 00:02:03.940]  在他踏上這條不歸路的時候
[00:02:03.940 --> 00:02:06.500]  他留下最後的說話給門徒
[00:02:06.500 --> 00:02:10.580]  這幾章的經文其實主要的講論是
[00:02:10.580 --> 00:02:14.100]  包括有一個彼此相愛的命令
[00:02:14.100 --> 00:02:19.300]  重新耶穌才是唯一一個能夠進到父家的唯一的通道
[00:02:19.300 --> 00:02:25.300]  他知道門徒在他離開的時候會受到信仰的迫害
[00:02:25.300 --> 00:02:29.140]  所以他應許聖靈保衛師在當中與他們同在
[00:02:29.140 --> 00:02:31.140]  正正就是這些離別的話
[00:02:31.140 --> 00:02:34.260]  正是幫助我們打造出一個韌力的元素
[00:02:34.260 --> 00:02:39.380]  有什麼可以幫助我們打造這個元素呢
[00:02:39.380 --> 00:02:42.900]  我們有三個方法幫助大家
[00:02:42.900 --> 00:02:46.820]  第一個方法就是要審查自己的情感
[00:02:46.820 --> 00:02:53.220]  弟兄姊妹,我相信這幾個月都有不少好的新聞或者壞的消息
[00:02:53.220 --> 00:02:55.780]  我們都會與人談論
[00:02:55.780 --> 00:02:59.620]  你有沒有留意自己談論的內容是怎樣的
[00:02:59.620 --> 00:03:03.460]  你通常會說那件事對你的影響
[00:03:03.460 --> 00:03:06.660]  有些觀感角度的看法
[00:03:06.660 --> 00:03:09.540]  還是你都會說得多你的內心世界
[00:03:09.540 --> 00:03:12.420]  那件事對你內心的衝擊呢
[00:03:12.420 --> 00:03:17.220]  我認知的比較多是前者
[00:03:17.220 --> 00:03:21.780]  我們都會比較關心那件事會有什麼影響我們
[00:03:21.780 --> 00:03:23.780]  我們怎樣去解決
[00:03:23.780 --> 00:03:25.780]  但是你想深一層
[00:03:25.780 --> 00:03:27.780]  那些事去衝擊我們
[00:03:27.780 --> 00:03:32.660]  其實我們心裏面有想求那種內心的平靜和平安
[00:03:32.660 --> 00:03:35.620]  其實我們在意的或者要關注的
[00:03:35.620 --> 00:03:38.420]  不單是那件事對我們的影響
[00:03:38.420 --> 00:03:42.100]  而是反而要留意或關注的
[00:03:42.100 --> 00:03:44.100]  其實那件事對我們內心的衝擊
