
[00:00:00.000 --> 00:00:04.600]  我是C2牧區的盧光榮傳道
[00:00:04.600 --> 00:00:06.200]  沒有什麼光榮的
[00:00:06.200 --> 00:00:08.200]  因為我的文名叫Low光榮
[00:00:08.200 --> 00:00:12.200]  沒有光榮的
[00:00:12.200 --> 00:00:13.400]  但是呢
[00:00:13.400 --> 00:00:15.400]  不過還有第二個名字
[00:00:15.400 --> 00:00:17.400]  第二個名字就是
[00:00:17.400 --> 00:00:20.200]  「麻甩傳道」有人叫我
[00:00:20.200 --> 00:00:22.200]  為什麼叫「麻甩傳道」呢
[00:00:22.200 --> 00:00:24.200]  因為我拍了這個叫「麻甩告白」
[00:00:24.200 --> 00:00:26.200]  在這個星火飛騰裡面
[00:00:26.200 --> 00:00:27.600]  有二十多分鐘的
[00:00:27.600 --> 00:00:29.200]  大家就不要現在看了
[00:00:29.200 --> 00:00:31.200]  待會回家再看吧
[00:00:31.200 --> 00:00:35.200]  為什麼說「麻甩告白」呢
[00:00:35.200 --> 00:00:37.200]  因為我的經歷
[00:00:37.200 --> 00:00:38.200]  我的改變
[00:00:38.200 --> 00:00:40.200]  然後有人說
[00:00:40.200 --> 00:00:42.200]  你做麻甩傳道
[00:00:42.200 --> 00:00:44.200]  後來我這樣接受了
[00:00:44.200 --> 00:00:45.200]  誰知道有人就
[00:00:45.200 --> 00:00:48.200]  我知道有些人覺得麻甩很粗俗
[00:00:48.200 --> 00:00:50.200]  所以呢
[00:00:50.200 --> 00:00:53.200]  我那時候又不夠膽說
[00:00:53.200 --> 00:00:54.200]  不過現在我夠膽說了
[00:00:54.200 --> 00:00:56.200]  因為麻甩我再想起來
[00:00:56.200 --> 00:00:58.200]  我再在這裡想想
[00:00:58.200 --> 00:01:01.200]  後來他也被上帝改變
[00:01:01.200 --> 00:01:04.200]  由俗變為性
[00:01:04.200 --> 00:01:06.200]  為什麼呢
[00:01:06.200 --> 00:01:08.200]  我記得我在這個
[00:01:08.200 --> 00:01:10.200]  上年的
[00:01:10.200 --> 00:01:13.200]  校友會的時間
[00:01:13.200 --> 00:01:14.200]  就是週年紀念
[00:01:14.200 --> 00:01:15.200]  我後來說就是
[00:01:15.200 --> 00:01:17.200]  分享就是
[00:01:17.200 --> 00:01:18.200]  啊 這樣吧
[00:01:18.200 --> 00:01:20.200]  由麻甩佬變成麻甩傳道
[00:01:20.200 --> 00:01:21.200]  後來後排
[00:01:21.200 --> 00:01:22.200]  不是你們後面那些人
[00:01:22.200 --> 00:01:24.200]  就是那天後排那些人
[00:01:24.200 --> 00:01:25.200]  他們走出來
[00:01:25.200 --> 00:01:26.200]  有一個師兄
[00:01:26.200 --> 00:01:27.200]  牧師來的
[00:01:27.200 --> 00:01:28.200]  走出來指著我
[00:01:28.200 --> 00:01:30.200]  你不可以說麻甩佬
[00:01:30.200 --> 00:01:31.200]  這麼噁心
[00:01:31.200 --> 00:01:33.200]  哪裡可以上台的
[00:01:33.200 --> 00:01:36.200]  哎呀 我們這些當然是年輕人
[00:01:36.200 --> 00:01:37.200]  不是年輕人
[00:01:37.200 --> 00:01:39.200]  我的樣子不是年輕人
[00:01:39.200 --> 00:01:41.200]  我的年資尚淺
[00:01:41.200 --> 00:01:43.200]  所以師兄不好意思
[00:01:43.200 --> 00:01:45.200]  我真的令你
[00:01:45.200 --> 00:01:47.200]  令你這麼不開心
[00:01:47.200 --> 00:01:49.200]  不過我有段故事
[00:01:49.200 --> 00:01:52.200]  其實麻甩是什麼意思
[00:01:52.200 --> 00:01:54.200]  麻是什麼在聖經裡面
[00:01:54.200 --> 00:01:55.200]  披麻蒙灰
[00:01:55.200 --> 00:01:57.200]  披麻蒙灰說一個人是什麼
[00:01:57.200 --> 00:01:59.200]  是哀傷
[00:01:59.200 --> 00:02:01.200]  痛苦
[00:02:01.200 --> 00:02:03.200]  懊悔
[00:02:03.200 --> 00:02:06.200]  我生命就是哀傷痛苦懊悔
[00:02:06.200 --> 00:02:08.200]  從小到大
[00:02:08.200 --> 00:02:09.200]  爸爸說什麼
[00:02:09.200 --> 00:02:11.200]  男人流血不流淚
[00:02:11.200 --> 00:02:14.200]  打甩門牙帶血吞
[00:02:14.200 --> 00:02:15.200]  是不是
[00:02:15.200 --> 00:02:16.200]  就塞在裡面
[00:02:16.200 --> 00:02:18.200]  人家說忍啊
[00:02:18.200 --> 00:02:19.200]  死忍啊 爛忍啊
[00:02:19.200 --> 00:02:21.200]  將軟弱的眼淚在裡面流
[00:02:21.200 --> 00:02:23.200]  眼淚在心裡流
[00:02:23.200 --> 00:02:27.200]  但是表面一點都不剛強
[00:02:27.200 --> 00:02:29.200]  表面好像很剛強
[00:02:29.200 --> 00:02:31.200]  裡面一點都不剛強
[00:02:31.200 --> 00:02:32.200]  反過來
[00:02:32.200 --> 00:02:33.200]  是不是
[00:02:33.200 --> 00:02:36.200]  人家比我厲害
[00:02:36.200 --> 00:02:37.200]  我就凶人
[00:02:37.200 --> 00:02:40.200]  人家比我厲害就送人
[00:02:40.200 --> 00:02:41.200]  是不是
[00:02:41.200 --> 00:02:43.200]  就是這樣
