
[00:00:00.000 --> 00:00:06.000]  謝謝一眾同工組成的敬拜隊
[00:00:06.000 --> 00:00:12.000]  也謝謝幕後為我們主持直播的認音同工
[00:00:12.000 --> 00:00:17.000]  今天我們繼續分享一個系列,就是無盡旅途的系列
[00:00:17.000 --> 00:00:19.000]  就是文素記的經卷
[00:00:19.000 --> 00:00:24.000]  我們這次已經去到第十二講了
[00:00:24.000 --> 00:00:30.000]  非常厲害,因為我們由文素記第一章到現在第二十五章
[00:00:30.000 --> 00:00:34.000]  今天我們會分享二十五至二十七章的經文
[00:00:34.000 --> 00:00:39.000]  很長的,但希望我們有足夠時間可以看完
[00:00:39.000 --> 00:00:44.000]  題目叫做信心的一代,是關於信心的
[00:00:44.000 --> 00:00:48.000]  我們做一點回顧,究竟上個星期我們說了些什麼呢?
[00:00:48.000 --> 00:00:55.000]  上個星期也是我分享,看到上帝如何化助紂為祝福
[00:00:55.000 --> 00:01:00.000]  我們有兩個矛盾,第一個矛盾就是來自巴蘭的先知
[00:01:00.000 --> 00:01:04.000]  他擁有先知的身份,但卻行一些不義之事
[00:01:04.000 --> 00:01:10.000]  矛盾就是在日常生活中,我們經常會遇見這件事
[00:01:10.000 --> 00:01:14.000]  就是有些人有尊貴的身份,但行不義的事
[00:01:14.000 --> 00:01:21.000]  原來聽見上帝的聲音不代表會聽從上帝的函示
[00:01:21.000 --> 00:01:26.000]  第二個矛盾就是當上帝的意思和自己的心意不同的時候
[00:01:26.000 --> 00:01:30.000]  原來人會刻意忽略上帝某一些的吩咐
[00:01:30.000 --> 00:01:34.000]  這是人的罪性,也是我們的人性
[00:01:34.000 --> 00:01:39.000]  如果巴蘭因為奴不跟從主人的旨意而發怒
[00:01:39.000 --> 00:01:43.000]  巴辣也因為結果不像他預期而發怒
[00:01:43.000 --> 00:01:51.000]  更何況是上帝當他見到巴蘭助紂巴辣助紂他的百姓的時候
[00:01:51.000 --> 00:01:53.000]  同樣他也怒氣發作
[00:01:53.000 --> 00:01:58.000]  我們也思想到發怒是一件怎樣的事
[00:01:58.000 --> 00:02:03.000]  原來發怒可以是很負面,我們會覺得有罪在裏面
[00:02:03.000 --> 00:02:10.000]  但同時也是正面,為我們提供一些動力去改變這個世界
[00:02:10.000 --> 00:02:14.000]  所以最後的結論就是讓我們有個祈禱
[00:02:14.000 --> 00:02:18.000]  就是求上帝教我們怎樣發怒
[00:02:18.000 --> 00:02:24.000]  因為我們在聖經裏經常見到上帝也是一個很容易發怒的上帝
[00:02:24.000 --> 00:02:29.000]  這就是上星期我們所看過的一些反省
[00:02:29.000 --> 00:02:32.000]  今天讓我們開始這段經文
[00:02:32.000 --> 00:02:34.000]  第一個關鍵就是戰鬥
[00:02:34.000 --> 00:02:39.000]  在文數記的第25章第一節說
[00:02:39.000 --> 00:02:44.000]  以色列人住在錫廷,百姓開始與摩訶女子行淫
[00:02:44.000 --> 00:02:47.000]  這些女子請百姓一同為他們的神明獻祭
[00:02:47.000 --> 00:02:50.000]  百姓吃了祭物,跪拜他們的神明
[00:02:50.000 --> 00:02:53.000]  以色列和巴力皮爾聯合
[00:02:53.000 --> 00:02:56.000]  耶和華的怒氣就向以色列人發作
[00:02:56.000 --> 00:02:58.000]  耶和華對摩西說
[00:02:58.000 --> 00:03:00.000]  拿下百姓中所有的領袖
[00:03:00.000 --> 00:03:03.000]  對著太陽將他們懸掛在我面前
[00:03:03.000 --> 00:03:06.000]  使我向以色列所發的怒氣可以平息
[00:03:06.000 --> 00:03:09.000]  於是摩西對以色列的審判官說
[00:03:09.000 --> 00:03:12.000]  你們的人若有與巴力皮爾聯合的話
[00:03:12.000 --> 00:03:15.000]  你們各人就要將他殺了
[00:03:15.000 --> 00:03:21.000]  很有趣,上一段經文我們才看到上帝如何化作咒為祝福
