
[00:00:00.000 --> 00:00:02.000]  大英哲會平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:08.000]  在一個很靜的狀態之中
[00:00:08.000 --> 00:00:10.000]  我們很平靜地祝福大家平安
[00:00:10.000 --> 00:00:17.000]  我們今天會繼續大逆不道的系列
[00:00:17.000 --> 00:00:23.000]  這個系列中我們每次都會看一段我們相對熟悉的經文
[00:00:23.000 --> 00:00:27.000]  然後從中我們會發現一些過去我們可能忽略了
[00:00:27.000 --> 00:00:30.000]  耶穌或聖經挑戰當代的信徒
[00:00:30.000 --> 00:00:32.000]  甚至挑戰我們的地方
[00:00:32.000 --> 00:00:34.000]  如果大家都預備好
[00:00:34.000 --> 00:00:37.000]  我們就先讀今天的經文
[00:00:37.000 --> 00:00:39.000]  我會讀給大家聽
[00:00:39.000 --> 00:00:42.000]  耶穌有坐船到對岸
[00:00:42.000 --> 00:00:45.000]  有一大群人聚集到他身邊
[00:00:45.000 --> 00:00:47.000]  他正在海邊
[00:00:47.000 --> 00:00:50.000]  有一個會堂主管名叫葉老也來了
[00:00:50.000 --> 00:00:53.000]  一見到耶穌就俯伏在他腳前
[00:00:53.000 --> 00:00:55.000]  再三求他說
[00:00:55.000 --> 00:00:57.000]  我的小女兒快要死了
[00:00:57.000 --> 00:00:59.000]  求你去為她按手
[00:00:59.000 --> 00:01:01.000]  使她痊癒可以活下去
[00:01:01.000 --> 00:01:03.000]  耶穌就和她同去
[00:01:03.000 --> 00:01:05.000]  有一大群人跟隨他
[00:01:05.000 --> 00:01:07.000]  擁擠著他
[00:01:07.000 --> 00:01:11.000]  有一個女人患了經血不治的病有十二年
[00:01:11.000 --> 00:01:14.000]  在很多醫生手裡受了許多的苦
[00:01:14.000 --> 00:01:16.000]  有花盡了他所有的
[00:01:16.000 --> 00:01:18.000]  一點也不見好
[00:01:18.000 --> 00:01:20.000]  反而更重了
[00:01:20.000 --> 00:01:23.000]  她聽見耶穌的事就夾在眾人的中間
[00:01:23.000 --> 00:01:25.000]  從後面來摸耶穌的衣裳
[00:01:25.000 --> 00:01:26.000]  因她想
[00:01:26.000 --> 00:01:30.000]  我只摸到她的衣裳就會痊癒
[00:01:30.000 --> 00:01:33.000]  於是她的流血立刻止住
[00:01:33.000 --> 00:01:35.000]  她覺得身上的疾病好了
[00:01:35.000 --> 00:01:39.000]  耶穌頓時心裡覺得有能力從自己身上出去
[00:01:39.000 --> 00:01:42.000]  就在眾人中間轉過來說
[00:01:42.000 --> 00:01:44.000]  誰摸我的衣裳
[00:01:44.000 --> 00:01:45.000]  門徒對他說
[00:01:45.000 --> 00:01:47.000]  你看眾人擁擠著你
[00:01:47.000 --> 00:01:49.000]  還說誰摸我呢
[00:01:49.000 --> 00:01:52.000]  耶穌周圍觀看要見做這事的女人
[00:01:52.000 --> 00:01:56.000]  那女人知道在自己身上所成的事
[00:01:56.000 --> 00:01:58.000]  就恐懼戰驚
[00:01:58.000 --> 00:02:00.000]  來俯伏在耶穌跟前
[00:02:00.000 --> 00:02:02.000]  將實情傳告訴他
[00:02:02.000 --> 00:02:03.000]  耶穌對他說
[00:02:03.000 --> 00:02:05.000]  女兒你的信救了你
[00:02:05.000 --> 00:02:07.000]  平安地回去吧
[00:02:07.000 --> 00:02:09.000]  你的疾病痊癒了
[00:02:09.000 --> 00:02:12.000]  耶穌還在說話的時候
[00:02:12.000 --> 00:02:15.000]  有人從會堂主管的家裡來說
[00:02:15.000 --> 00:02:16.000]  你的女兒死了
[00:02:16.000 --> 00:02:19.000]  何必還勞駕老師呢
[00:02:19.000 --> 00:02:21.000]  耶穌不理會他們所說的話
[00:02:21.000 --> 00:02:23.000]  就對會堂主管說
[00:02:23.000 --> 00:02:25.000]  不要怕 只要信
[00:02:25.000 --> 00:02:30.000]  於是他帶著彼得 雅各和雅各的弟弟約翰同去
[00:02:30.000 --> 00:02:32.000]  不許別人跟著他
[00:02:32.000 --> 00:02:34.000]  他們來到會堂主管的家裡
[00:02:34.000 --> 00:02:36.000]  耶穌看到一片吵鬧
[00:02:36.000 --> 00:02:39.000]  並有人大聲哭泣哀號
[00:02:39.000 --> 00:02:41.000]  就進到裡面對他們說
[00:02:41.000 --> 00:02:43.000]  為什麼大吵大哭呢
[00:02:43.000 --> 00:02:46.000]  孩子不是死了 是睡著了
[00:02:46.000 --> 00:02:49.000]  他們就嘲笑耶穌
[00:02:49.000 --> 00:02:51.000]  耶穌把他們都趕出去
[00:02:51.000 --> 00:02:56.000]  帶著孩子的父母和跟隨的人進了孩子所在的地方
[00:02:56.000 --> 00:02:58.000]  就拉著孩子的手對他說
[00:02:58.000 --> 00:03:00.000]  帶你大鼓咪
[00:03:00.000 --> 00:03:01.000]  回家後就說
[00:03:01.000 --> 00:03:03.000]  女孩我吩咐你起來
[00:03:03.000 --> 00:03:06.000]  但女孩子立刻起來走動
[00:03:06.000 --> 00:03:08.000]  她已經十二歲了
[00:03:08.000 --> 00:03:10.000]  他們就非常驚奇
[00:03:10.000 --> 00:03:12.000]  耶穌切切地祝福他們
