
[00:00:00.000 --> 00:00:07.000]  小弟是小力縣唐詩一牧區的傳道Antony
[00:00:07.000 --> 00:00:16.000]  出名對廣道很嚴謹的阿婆找一個名不經傳的人來廣道
[00:00:16.000 --> 00:00:20.000]  可能因為他也快走了,所以也領不了那麼多
[00:00:20.000 --> 00:00:23.000]  沒錯,我是第一次廣道
[00:00:23.000 --> 00:00:25.000]  但緊張不是最大問題
[00:00:25.000 --> 00:00:28.000]  最大問題是我不會控制時間
[00:00:28.000 --> 00:00:33.000]  因為今天這個訊息很豐富
[00:00:33.000 --> 00:00:37.000]  有些東西我不解釋,脈絡又說不通
[00:00:37.000 --> 00:00:41.000]  原先的powerpoint有八十多頁,我cut了一半
[00:00:41.000 --> 00:00:45.000]  但跟我一隊勁敗隊的弟兄姊妹都知道
[00:00:45.000 --> 00:00:50.000]  我試倒數忠於無物,希望大家有時間可以做
[00:00:50.000 --> 00:00:56.000]  好,到第三個,安息第三個,論社vs競爭
[00:00:56.000 --> 00:01:01.000]  這個題目阿婆也說過,是來自美國的舊約專家
[00:01:01.000 --> 00:01:06.000]  華特·布魯,簡稱Water
[00:01:06.000 --> 00:01:08.000]  這本書叫做《安息》
[00:01:08.000 --> 00:01:14.000]  有時呼題重尋安息爭議,抗衡當代文化
[00:01:14.000 --> 00:01:19.000]  所以安息的爭議是用來抗衡當代文化
[00:01:19.000 --> 00:01:23.000]  究竟她找到舊約安息的意義
[00:01:23.000 --> 00:01:27.000]  是否可以用來抗衡當代文化
[00:01:27.000 --> 00:01:30.000]  還是反過來她發現當代文化很不濟,很扭曲
[00:01:30.000 --> 00:01:34.000]  而發現安息爭議可以改變呢?不知道
[00:01:34.000 --> 00:01:38.000]  但她是有目的的
[00:01:38.000 --> 00:01:43.000]  這個安息爭議是用來抗衡
[00:01:43.000 --> 00:01:47.000]  她是美國人,所以她的當代文化
[00:01:47.000 --> 00:01:52.000]  她會稱為資本主義、消費主義、市場經濟
