
[00:00:00.000 --> 00:00:09.000]  各位電影姐妹,各位網上的朋友,平安!
[00:00:09.000 --> 00:00:14.000]  祝大家開學和開工順利,大家的表情已經浮現一切了
[00:00:14.000 --> 00:00:19.000]  這篇信息也是針對每一個開工開學的人去分享的
[00:00:19.000 --> 00:00:27.000]  這個系列是新的系列,我們在精神瞳孔有一個從舊約的節期當中的漢經拜
[00:00:27.000 --> 00:00:34.000]  對我來說,在節期當中的精神如何啟迪我們在現今的生命門徒的時候
[00:00:34.000 --> 00:00:39.000]  在上一篇的時候,Michael分享了一個御節,第一個節期
[00:00:39.000 --> 00:00:44.000]  今天也會分享第二個節期,叫做七七節
[00:00:44.000 --> 00:00:52.000]  不知道大家有沒有聽過,聽過之後我會多講解裡面的意義和精神
[00:00:52.000 --> 00:00:55.000]  如果你沒有聽過,今天可以拭目以待
[00:00:55.000 --> 00:01:01.000]  我們先在一同的中讀這段經文,非常短的,兩節,我們一起讀
[00:01:01.000 --> 00:01:09.000]  一二三,你們要從安息日的次日,就是獻那菌莊教為瑤祭的那日起
[00:01:09.000 --> 00:01:17.000]  計算足足的七個安息日,到第七個安息日的次日,共計五十天
[00:01:17.000 --> 00:01:21.000]  你們要將新的數字獻給耶和華
[00:01:21.000 --> 00:01:26.000]  這裡已經有些數學的計算方法,待會再解釋
[00:01:26.000 --> 00:01:31.000]  在利美記的時候,這個名字本身就是希臘文,由日本譯而來
[00:01:31.000 --> 00:01:38.000]  是有關利美人的,其實舊約我們平時未必經常去看,我們可能會多看新約
[00:01:38.000 --> 00:01:44.000]  利美記當時顯示一些以色列人,出埃及,在抗日之地,未進入英許地的時候
[00:01:44.000 --> 00:01:53.000]  關於一些節期,關於一些禮儀,目的就是說,上帝是聖潔的,我們也需要聖潔
[00:01:53.000 --> 00:02:01.000]  那如何可以保持聖潔呢?在生活上,日常的言行,節期上,我們也要分別為聖
[00:02:01.000 --> 00:02:07.000]  以致我們能夠和神保持一個合宜的關係,這是利美記的重點
[00:02:07.000 --> 00:02:13.000]  另外也包括在土地上,節期上,也有不同的詳細去描述
[00:02:13.000 --> 00:02:20.000]  在利美記最有名的就是愛倫如己,這節經文,之後的耶穌也有引用,保羅也有引用
[00:02:20.000 --> 00:02:23.000]  是一個第二誡命,愛神和愛人的時候
[00:02:23.000 --> 00:02:27.000]  在這個預備教育的時候,當時是未進入迦南地的
[00:02:27.000 --> 00:02:33.000]  在這個有一個當時正在進入農業之前的前奏
