
[00:00:00.000 --> 00:00:02.000]  新年快樂呀大家
[00:00:02.000 --> 00:00:07.000]  第一次除了上星期初一、二
[00:00:07.000 --> 00:00:11.500]  第一次站在這個台上跟大家分享上帝的訊息
[00:00:11.500 --> 00:00:15.000]  所以都很想先跟大家拜個年
[00:00:15.000 --> 00:00:21.000]  祝大家龍年、夢主恩光照、心靈健壯
[00:00:21.000 --> 00:00:24.000]  繼續跟隨主理對前行
[00:00:24.000 --> 00:00:32.000]  今天我們會接續我們自己這個唐所小禮園堂獨家的講道系列
[00:00:32.000 --> 00:00:33.000]  《馬可福音》
[00:00:33.000 --> 00:00:36.000]  這個系列叫做跟隨在地的耶穌
[00:00:36.000 --> 00:00:38.000]  今天來到第二講
[00:00:38.000 --> 00:00:43.000]  經文是《馬可福音》的二章十三至十七節
[00:00:43.000 --> 00:00:46.000]  題目就是另類的筵席
[00:00:46.000 --> 00:00:49.000]  我想剛過完農曆新年
[00:00:49.000 --> 00:00:50.000]  其實都未完
[00:00:50.000 --> 00:00:54.000]  可能明天後天大家還有很多不同的聚會
[00:00:54.000 --> 00:01:01.000]  農曆新年其實是我們跟親友相聚的一個很好的時機
[00:01:01.000 --> 00:01:06.000]  我相信大家在這段時間都參與了不少的飯局
[00:01:06.000 --> 00:01:09.000]  我們出席的這些飯局應該都有一個特徵
[00:01:09.000 --> 00:01:14.000]  就是在這些飯局裏面沒有一個人我們不認識的
[00:01:14.000 --> 00:01:15.000]  是不是
[00:01:15.000 --> 00:01:19.000]  應該不會有陌生人參與在你們那些飯局裏面
[00:01:19.000 --> 00:01:23.000]  可以來的通常都是我們的摯愛親朋
[00:01:23.000 --> 00:01:27.000]  今天跟大家看的這段經文裏面
[00:01:27.000 --> 00:01:29.000]  我們會看到耶穌呼召一個新的門徒
[00:01:29.000 --> 00:01:33.000]  這個新的門徒又為耶穌舉行了一個筵席
[00:01:33.000 --> 00:01:38.000]  不過這個筵席跟我們今天的筵席是頗不一樣的
[00:01:38.000 --> 00:01:44.000]  並且這個筵席都引起了法利賽人和宗教領袖很多的不滿
[00:01:44.000 --> 00:01:47.000]  我們一起看看這段經文
[00:01:47.000 --> 00:01:50.000]  聖考福音2:13-17
[00:01:50.000 --> 00:01:53.000]  不如你們讀吧
[00:01:53.000 --> 00:01:55.000]  預備1,2,3
[00:01:55.000 --> 00:02:02.000]  耶穌對眾人都道:他跟前來,他就教導他們
[00:02:02.000 --> 00:02:09.000]  耶穌往前走,看見阿拉斯的兒子利美在瑞關坐著
[00:02:09.000 --> 00:02:12.000]  對他說:來,跟從我
[00:02:12.000 --> 00:02:15.000]  阿拉斯的兒子利美坐在瑞關坐著
[00:02:15.000 --> 00:02:18.000]  對他說:來,跟從我
[00:02:18.000 --> 00:02:21.000]  阿拉斯的兒子利美坐在瑞關坐著
[00:02:21.000 --> 00:02:24.000]  對他說:來,跟從我
[00:02:24.000 --> 00:02:28.000]  阿拉斯的兒子利美坐在瑞關坐著
[00:02:28.000 --> 00:02:31.000]  對他說:來,跟從我
[00:02:31.000 --> 00:02:35.000]  阿拉斯的兒子利美坐在瑞關坐著
[00:02:35.000 --> 00:02:38.000]  對他說:來,跟從我
[00:02:38.000 --> 00:02:41.000]  阿拉斯的兒子利美坐在瑞關坐著
[00:02:41.000 --> 00:02:44.000]  對他說:來,跟從我
[00:02:44.000 --> 00:02:47.000]  阿拉斯的兒子利美坐在瑞關坐著
[00:02:47.000 --> 00:02:50.000]  對他說:來,跟從我
[00:02:50.000 --> 00:02:53.000]  阿拉斯的兒子利美坐在瑞關坐著
[00:02:53.000 --> 00:02:55.000]  謝謝大家
[00:02:55.000 --> 00:02:59.000]  上次Lynwood跟我們分享了馬可福音1
[00:02:59.000 --> 00:03:04.000]  耶穌做很多工作的同時都會進入安靜、退休
[00:03:04.000 --> 00:03:06.000]  今天我們進入2
[00:03:06.000 --> 00:03:11.000]  其實2章1至3章6是完整的單元
[00:03:11.000 --> 00:03:14.000]  裡面記述了五件事
[00:03:14.000 --> 00:03:19.000]  是耶穌與法利塞人和宗教領袖的連番爭拗
[00:03:19.000 --> 00:03:23.000]  而這些爭拗是一步一步地升溫
