
[00:00:00.000 --> 00:00:04.600]  大家好,大家好,不如和你旁邊的朋友打個招呼吧
[00:00:04.600 --> 00:00:14.100]  好,今天跟大家思想一下
[00:00:14.100 --> 00:00:18.100]  使命感能使玩兔變得更強人
[00:00:18.100 --> 00:00:20.100]  我們會思想一下摸頭鼠
[00:00:20.100 --> 00:00:28.100]  我想這幾個星期都是充滿運動的氣氛
[00:00:28.100 --> 00:00:30.100]  運動本身是一個比拼的活動
[00:00:30.100 --> 00:00:32.100]  很講求你的身材
[00:00:32.100 --> 00:00:36.100]  年輕是佔盡優勢的
[00:00:36.100 --> 00:00:42.100]  但今屆奧運會讓我們看到很多勵志的故事
[00:00:42.100 --> 00:00:48.100]  雖然在賽果上欠缺剛才我說的優勢
[00:00:48.100 --> 00:00:51.100]  結果還是輸了,拿不到獎牌
[00:00:51.100 --> 00:00:55.100]  但真的贏得全世界的肯定和尊重
[00:00:55.100 --> 00:00:57.100]  甚至是掌聲
[00:00:57.100 --> 00:01:04.100]  所以在比拼和運動層面上
[00:01:04.100 --> 00:01:07.100]  獎牌其實不是最主要的
[00:01:07.100 --> 00:01:16.100]  比拼才是在整個運動精神中得到肯定和尊重的重要元素
[00:01:16.100 --> 00:01:20.100]  所有運動員操足四年
[00:01:20.100 --> 00:01:26.100]  為了幾個星期甚至一兩場的賽事
[00:01:26.100 --> 00:01:29.100]  他們心裡都有一個目標
[00:01:29.100 --> 00:01:32.100]  但要達到這個目標
[00:01:32.100 --> 00:01:36.100]  當然所要的犧牲都是不少的
[00:01:36.100 --> 00:01:38.100]  但我想除了運動員之外
[00:01:38.100 --> 00:01:41.100]  其實很多不同的行業都有這個狀況
[00:01:41.100 --> 00:01:44.100]  譬如記者
[00:01:44.100 --> 00:01:47.100]  記者可以為新聞去到多盡呢
[00:01:47.100 --> 00:01:50.100]  如果大家看到一個戰地的記者
[00:01:50.100 --> 00:01:52.100]  叫做馬麗科爾文
[00:01:52.100 --> 00:01:55.100]  我們就稱她為馬麗
[00:01:55.100 --> 00:02:01.100]  她這個獨眼龍的形象在新聞界是很知名的
[00:02:01.100 --> 00:02:06.100]  因為在她報導斯里蘭卡內戰的時候
[00:02:06.100 --> 00:02:08.100]  她失去了左眼
[00:02:08.100 --> 00:02:12.100]  她的一生就被寫成一個傳記
[00:02:12.100 --> 00:02:14.100]  而這個傳記也拍成電影
[00:02:14.100 --> 00:02:17.100]  其實在2001年
[00:02:17.100 --> 00:02:24.100]  馬麗多辛苦才能夠進入斯里蘭卡反對派的佔領區
[00:02:24.100 --> 00:02:27.100]  她很希望能夠訪問到第一手資料
[00:02:27.100 --> 00:02:31.100]  將整個內戰的情況公開
[00:02:31.100 --> 00:02:35.100]  讓世人知道究竟發生了什麼事
[00:02:35.100 --> 00:02:40.100]  但這次她進入反對派的佔領區
[00:02:40.100 --> 00:02:42.100]  訪問是不順利的
[00:02:42.100 --> 00:02:45.100]  因為當中相關的人不想接受訪問
[00:02:45.100 --> 00:02:49.100]  她就唯有撤離這個地方
[00:02:49.100 --> 00:02:53.100]  大家留意她是在反對派的佔領區出來
[00:02:53.100 --> 00:02:57.100]  所以她出來的時候遇到政府軍
[00:02:57.100 --> 00:03:03.100]  政府軍以為她是反對派私行自殺式攻擊婦女
[00:03:03.100 --> 00:03:07.100]  所以有個士兵向她的方向發射火箭炮
[00:03:07.100 --> 00:03:11.100]  爆炸造成她多次受傷
[00:03:11.100 --> 00:03:15.100]  而傷得最嚴重的是她的左眼
[00:03:15.100 --> 00:03:20.100]  政府軍最後才知道原來她是一個外國的記者
[00:03:20.100 --> 00:03:23.100]  所以就送她去軍事醫院
[00:03:23.100 --> 00:03:27.100]  雖然在醫院裡有給她止痛藥
[00:03:27.100 --> 00:03:33.100]  但止痛藥不能夠減輕瑪麗的恐懼
[00:03:33.100 --> 00:03:37.100]  她腦裡不斷想三個問題
[00:03:37.100 --> 00:03:40.100]  我的眼睛會不會瞎了
[00:03:40.100 --> 00:03:43.100]  我會不會因為這樣而被抓
[00:03:43.100 --> 00:03:48.100]  我現在這個狀況如何向家人解釋
[00:03:48.100 --> 00:03:50.100]  瑪麗的經歷引發了一個問題
[00:03:50.100 --> 00:03:52.100]  她為了新聞
[00:03:52.100 --> 00:03:57.100]  這樣的犧牲值不值得呢
[00:03:57.100 --> 00:04:01.100]  這個問題不僅僅是瑪麗自己要思考
[00:04:01.100 --> 00:04:05.100]  其實很多不同人在不同的領域
[00:04:05.100 --> 00:04:09.100]  帶著不同的目的或理由都作出不少的犧牲
[00:04:09.100 --> 00:04:16.100]  好像我們的父母為自己的孩兒犧牲了不少
[00:04:16.100 --> 00:04:23.100]  甚至有消防員會為了救人一命而犧牲自己的性命
