
[00:00:00.000 --> 00:00:01.720]  今天跟大家分享一個題目
[00:00:01.720 --> 00:00:06.360]  這個題目也是我們新一年的新系列開始
[00:00:06.360 --> 00:00:10.000]  今年我們有一個系列會講伊斯拉記
[00:00:10.000 --> 00:00:14.000]  我們幾個同工一直預備的時候
[00:00:14.000 --> 00:00:15.000]  幫他安了一個名字
[00:00:15.000 --> 00:00:15.880]  這個名字是什麼呢?
[00:00:15.880 --> 00:00:17.360]  就是「重建,預備,重建」
[00:00:17.360 --> 00:00:18.160]  為什麼呢?
[00:00:18.160 --> 00:00:19.840]  因為伊斯拉記
[00:00:19.840 --> 00:00:20.960]  如果我們熟悉聖經
[00:00:20.960 --> 00:00:21.480]  你會知道
[00:00:21.480 --> 00:00:24.200]  是講述以色列人在秘魯之後回歸
[00:00:24.200 --> 00:00:27.120]  回歸到一片荒地上
[00:00:27.120 --> 00:00:29.640]  不單是重建自己的家園
[00:00:29.640 --> 00:00:32.280]  更加要重建上帝的殿
[00:00:32.280 --> 00:00:34.000]  但在整個過程中
[00:00:34.000 --> 00:00:34.800]  我們發現
[00:00:34.800 --> 00:00:37.840]  其實重建聖殿到伊斯拉記中間
[00:00:37.840 --> 00:00:39.920]  已經起了
[00:00:39.920 --> 00:00:42.840]  還有這麼多經文說什麼呢?
[00:00:42.840 --> 00:00:45.360]  其實原來上帝要重建的
[00:00:45.360 --> 00:00:47.560]  不單是殿
[00:00:47.560 --> 00:00:49.160]  還有什麼呢?
[00:00:49.160 --> 00:00:52.000]  接下來會在跟大家分享中說多一點
[00:00:52.000 --> 00:00:53.400]  今天是第一講
[00:00:53.400 --> 00:00:56.160]  第一講叫做「七十年的約」
[00:00:56.160 --> 00:00:57.760]  我們先看看那段聖經
[00:00:57.760 --> 00:00:59.760]  伊斯拉記第一章
[00:00:59.760 --> 00:01:01.760]  「波斯王居老氏元年」
[00:01:01.760 --> 00:01:05.560]  耶和華為要應驗植耶利米的口所說的話
[00:01:05.560 --> 00:01:08.040]  就激發波斯王居老氏的心
[00:01:08.040 --> 00:01:10.080]  使他下詔書通告全國
[00:01:10.080 --> 00:01:10.680]  就說
[00:01:10.680 --> 00:01:12.840]  波斯王居老氏就是這樣說
[00:01:12.840 --> 00:01:14.600]  耶和華天上的上帝
[00:01:14.600 --> 00:01:17.280]  已經將地上萬國賜給我
[00:01:17.280 --> 00:01:19.800]  又委派我在猶大的耶路撒冷
[00:01:19.800 --> 00:01:21.800]  為他建造殿院
[00:01:21.800 --> 00:01:24.480]  你們中間凡是做他的子民
[00:01:24.480 --> 00:01:26.720]  可以上猶大的耶路撒冷去
[00:01:26.720 --> 00:01:29.600]  重建耶和華以色列上帝的殿
[00:01:29.600 --> 00:01:31.600]  他是在耶路撒冷的上帝
[00:01:31.600 --> 00:01:34.080]  願上帝與這樣的人同在
[00:01:34.080 --> 00:01:35.360]  凡存留的人
[00:01:35.360 --> 00:01:36.960]  無論寄居在什麼地方
[00:01:36.960 --> 00:01:39.320]  那個地方的人就要用金銀財物
[00:01:39.320 --> 00:01:41.000]  生畜去幫助他
[00:01:41.000 --> 00:01:43.240]  還要為耶路撒冷上帝的殿
[00:01:43.240 --> 00:01:45.240]  甘心獻上禮物
[00:01:45.240 --> 00:01:48.200]  於是猶大和汴雅敏的族長
[00:01:48.200 --> 00:01:49.480]  祭司利美人
[00:01:49.480 --> 00:01:52.520]  凡心裏被上帝感動的人都起來
[00:01:52.520 --> 00:01:55.520]  要上耶路撒冷去建造耶和華的殿
[00:01:55.520 --> 00:01:59.200]  四處所有的人都拿銀器、金紙、財物
[00:01:59.200 --> 00:02:01.480]  生畜、珍寶支持他們
[00:02:01.480 --> 00:02:04.360]  此外還有甘心獻的一切禮物
[00:02:04.360 --> 00:02:08.040]  居老士王亦都將耶和華殿的器皿拿出來
