
[00:00:00.000 --> 00:00:03.480]  今天講道的訊息就是
[00:00:03.480 --> 00:00:07.580]  「跟隨在地」的耶穌的第四講
[00:00:07.580 --> 00:00:09.800]  「風浪中的安穩」
[00:00:09.800 --> 00:00:13.820]  就是我們小聯堂講道系列的第四講
[00:00:13.820 --> 00:00:18.780]  上一講就是阿榮傳道去講
[00:00:18.780 --> 00:00:19.880]  耶穌站在哪裡
[00:00:19.880 --> 00:00:22.200]  不知道大家是否記得
[00:00:22.200 --> 00:00:26.080]  因為今年我們整個系列都是馬學福音
[00:00:26.080 --> 00:00:29.420]  大家可以繼續追著去看馬學福音
[00:00:29.420 --> 00:00:30.960]  因為真的很豐富
[00:00:30.960 --> 00:00:36.220]  在這講的裏面
[00:00:36.220 --> 00:00:39.560]  大家可能都知道
[00:00:39.560 --> 00:00:44.240]  應該是有沒有聽過這段經文
[00:00:44.240 --> 00:00:48.080]  就是馬學福音四章的35到41
[00:00:48.080 --> 00:00:50.120]  「平靜風浪」有沒有人聽過
[00:00:50.120 --> 00:00:53.000]  聽過的話可能揮揮手讓我知道一下
[00:00:53.000 --> 00:00:54.240]  原來都很多
[00:00:54.240 --> 00:00:59.240]  可能在兒童崇拜裏面都很多講這個
[00:00:59.240 --> 00:01:05.640]  「平靜風浪」神的神蹟
[00:01:05.640 --> 00:01:12.640]  我自己本身比較害怕坐船
[00:01:12.640 --> 00:01:15.680]  因為我會暈船浪
[00:01:15.680 --> 00:01:19.640]  第二是我很害怕很大浪的時候
[00:01:19.640 --> 00:01:22.120]  會拋高拋低的時候
[00:01:22.120 --> 00:01:23.320]  有個離心
[00:01:23.320 --> 00:01:25.240]  裏面真的比較害怕
[00:01:25.240 --> 00:01:26.800]  我記得我印象中
[00:01:26.800 --> 00:01:31.360]  有一次在澳門有些親戚
[00:01:31.360 --> 00:01:33.840]  那次我去澳門
[00:01:33.840 --> 00:01:37.040]  怎知道遇著八號風球
[00:01:37.040 --> 00:01:38.880]  阿文不能離開
[00:01:38.880 --> 00:01:42.520]  等到下船才可以坐船
[00:01:42.520 --> 00:01:46.960]  你知道八號風球下船之後的風浪是怎樣
[00:01:46.960 --> 00:01:49.360]  比八號風球還大的時候
[00:01:49.360 --> 00:01:53.480]  所以裏面要上船的時候都很害怕
[00:01:53.480 --> 00:01:57.240]  裏面會有很害怕的感覺
[00:01:57.240 --> 00:01:58.880]  當上船的時候
[00:01:58.880 --> 00:02:01.160]  其實真的浪很大
[00:02:01.160 --> 00:02:04.080]  但我真的在裏面祈禱
[00:02:04.080 --> 00:02:06.080]  快點到達終點
[00:02:06.080 --> 00:02:10.800]  都很想脫離這個害怕的狀況
[00:02:10.800 --> 00:02:15.760]  我們今天就看《馬福音》四章35到41
[00:02:15.760 --> 00:02:18.680]  不如我們一起讀出經文好嗎
[00:02:18.680 --> 00:02:20.160]  好 1 2 3
[00:02:20.160 --> 00:02:23.000]  「那天晚上耶穌對門徒說
[00:02:23.000 --> 00:02:25.360]  我們到對岸去吧
[00:02:25.360 --> 00:02:27.560]  門徒離開眾人
[00:02:27.560 --> 00:02:29.520]  耶穌已在船上
[00:02:29.520 --> 00:02:32.040]  他們就請他一同去
[00:02:32.040 --> 00:02:34.960]  也有別的船和他同行
[00:02:34.960 --> 00:02:37.520]  忽然防風大作
[00:02:37.520 --> 00:02:39.760]  浪波打入船內
[00:02:39.760 --> 00:02:42.520]  以至船灌滿了水
[00:02:42.520 --> 00:02:46.360]  耶穌在船尾上枕著枕頭睡覺
[00:02:46.360 --> 00:02:48.240]  門徒叫醒他說
[00:02:48.240 --> 00:02:50.760]  老師 我們快沒命了
[00:02:50.760 --> 00:02:52.240]  你不管嗎?
[00:02:52.240 --> 00:02:53.680]  耶穌醒了
[00:02:53.680 --> 00:02:56.200]  斥責那風向海說
[00:02:56.200 --> 00:02:58.120]  住了吧 靜了吧
[00:02:58.120 --> 00:03:01.160]  風就指著大大平靜了
