
[00:00:00.000 --> 00:00:04.000]  你以為天使一定是金色頭髮,有白色翼
[00:00:04.000 --> 00:00:07.000]  如果舊約的以色列人不知道甚麼是永生
[00:00:07.000 --> 00:00:09.000]  又怎知道甚麼是盼望呢?
[00:00:09.000 --> 00:00:12.000]  信了那麼久,會不會你都不知道?
[00:00:12.000 --> 00:00:17.000]  我們找了香港浸信會神學院教授黃福光博士解答疑難
[00:00:17.000 --> 00:00:26.000]  這個新系列將會在沙田浸信會的YouTube Channel播出
[00:00:26.000 --> 00:00:28.000]  帶你了解聖經正典過程
[00:00:28.000 --> 00:00:33.000]  我們信仰的排他性,上帝施行的暴力等等
[00:00:33.000 --> 00:00:40.000]  快點Subscribe,對神的話,由古到今了解得更加到位
[00:00:40.000 --> 00:00:42.000]  (CC字幕製作:貝爾)

