
[00:00:00.000 --> 00:00:07.000]  很開心有機會再跟大家在都會的青崇有分享
[00:00:07.000 --> 00:00:14.000]  今天我會繼續分享安息這個系列
[00:00:14.000 --> 00:00:22.000]  生活vs生產
[00:00:22.000 --> 00:00:26.000]  如果大家還記得上周
[00:00:27.000 --> 00:00:32.000]  我和葡漢森傳道在安息這個講道系列當中第一講
[00:00:32.000 --> 00:00:35.000]  分享了安息的定義
[00:00:35.000 --> 00:00:40.000]  安息在創世記第一頁章裡講到
[00:00:40.000 --> 00:00:49.000]  解釋了神在混沌的世界開始
[00:00:49.000 --> 00:00:53.000]  在地上的生物還沒有的時候
[00:00:54.000 --> 00:00:57.000]  創造了這些生物
[00:00:57.000 --> 00:00:59.000]  這些生物創造的不單是生物
[00:00:59.000 --> 00:01:01.000]  也有秩序
[00:01:01.000 --> 00:01:03.000]  可以安然生活
[00:01:03.000 --> 00:01:07.000]  萬物有序去配搭
[00:01:07.000 --> 00:01:10.000]  成就了伊甸這個樂園
[00:01:10.000 --> 00:01:13.000]  神的賜福、神的供應
[00:01:13.000 --> 00:01:16.000]  人與萬物與神
[00:01:16.000 --> 00:01:19.000]  可以享受到那份圓滿、完整
[00:01:20.000 --> 00:01:24.000]  相互沒有排斥的一同團契的生命
[00:01:24.000 --> 00:01:27.000]  這就是安息的定義
[00:01:27.000 --> 00:01:32.000]  從創世記當中我們認識到
[00:01:32.000 --> 00:01:37.000]  神所設立的安息原來是一種關係
[00:01:37.000 --> 00:01:45.000]  是一種人與神與萬物當中彼此的配搭
[00:01:46.000 --> 00:01:53.000]  神的供應、神的賜福當中所在的團契的關係
[00:01:53.000 --> 00:01:57.000]  是人與神共融的關係
[00:01:57.000 --> 00:02:05.000]  這個關係當中人在神的聖善中去享受生命
[00:02:05.000 --> 00:02:10.000]  所以安息不單只是一個日子
[00:02:11.000 --> 00:02:18.000]  安息很可能是我們每一天、每一分、每一秒當中可以得到的東西
[00:02:18.000 --> 00:02:21.000]  透過我們生活與神的共融
[00:02:21.000 --> 00:02:27.000]  神引導我們在這個我們覺得不完美、墮落失序的世界當中
[00:02:27.000 --> 00:02:30.000]  我們可以認識神
[00:02:30.000 --> 00:02:33.000]  特別可以認識自己
[00:02:33.000 --> 00:02:38.000]  原來我們每一個人都有獨特的性格、獨特的生活方式
[00:02:39.000 --> 00:02:41.000]  神賜給我們不同的恩賜
[00:02:41.000 --> 00:02:44.000]  賜給我們不同的身份和角色
[00:02:44.000 --> 00:02:50.000]  原來在安息當中我們透過與神的互動、與這個世界的互動
[00:02:50.000 --> 00:02:55.000]  我們可以探索自己,甚至找回自己是誰
[00:02:55.000 --> 00:02:59.000]  不知道你們是否也在探索中
[00:02:59.000 --> 00:03:03.000]  也嘗試去找回一個真正的自己是誰
[00:03:04.000 --> 00:03:07.000]  經文這樣說,《創世記》二章十五節
[00:03:07.000 --> 00:03:11.000]  「神把人安置在伊甸園,讓他耕耘、看管」
[00:03:11.000 --> 00:03:17.000]  我們留意到在這段經文中,在伊甸園中的工作
[00:03:17.000 --> 00:03:22.000]  在當中經文提到耕耘和看管
[00:03:22.000 --> 00:03:26.000]  原文是care和keep
[00:03:26.000 --> 00:03:30.000]  即是萬物本身有它獨特的特性
[00:03:31.000 --> 00:03:37.000]  人在當中不是扭曲它的特性,讓它去服侍自己
[00:03:37.000 --> 00:03:45.000]  而是人在當中讓萬物的獨特性可以發揮
[00:03:45.000 --> 00:03:50.000]  這不單是生物,也是我們當中每一個人
[00:03:50.000 --> 00:03:55.000]  所以關係是如何與這個世界和身邊的弟兄姊妹
[00:03:56.000 --> 00:04:02.000]  和我們未認識上帝的人去建立關係,去相處
[00:04:02.000 --> 00:04:08.000]  在人神共融的安息當中,在伊甸園中
[00:04:08.000 --> 00:04:11.000]  人的工作是耕耘看管
[00:04:11.000 --> 00:04:16.000]  是人去主導,去保護神的創造
[00:04:16.000 --> 00:04:21.000]  工作從來都不是用來定義人的價值
[00:04:22.000 --> 00:04:28.000]  我們可以再留意一下,阿當在伊甸園中如何得到每日所需
[00:04:28.000 --> 00:04:30.000]  從世界二章九節說
[00:04:30.000 --> 00:04:39.000]  「神使各樣的樹從土地裡長出來,可以越人的眼目好作食物」
[00:04:39.000 --> 00:04:45.000]  我們在經文中看到物質生活、精神生活
[00:04:45.000 --> 00:04:49.000]  越人眼目,即是我們看到很美的東西
[00:04:50.000 --> 00:04:58.000]  物質生活、精神生活、滿足土福的食物
[00:04:58.000 --> 00:05:01.000]  在伊甸園中全部都是神所供應
[00:05:01.000 --> 00:05:09.000]  物質生活從來都不是用來釐定人的等級、成就
[00:05:09.000 --> 00:05:14.000]  人所需的全部都是神所供應
[00:05:14.000 --> 00:05:19.000]  人的本質不是由世界的工作和物質生活去定義
[00:05:19.000 --> 00:05:25.000]  亦不是我們學業的成就、成功或失敗
[00:05:25.000 --> 00:05:29.000]  或是我們擁有甚麼物質去定奪
[00:05:29.000 --> 00:05:33.000]  有一層樓、一輛車、一艘遊艇
[00:05:33.000 --> 00:05:37.000]  人的本質不是由這些東西去定義
[00:05:37.000 --> 00:05:44.000]  亦不是從這些東西去幫助人分等級,互相排斥
[00:05:45.000 --> 00:05:52.000]  如果有神在我們生命裡,我們認識到神創造的本意是怎樣的時候
[00:05:52.000 --> 00:05:57.000]  我們相信那份真正的安息,透過神和神的關係
[00:05:57.000 --> 00:06:00.000]  在屬神的地方,好像一個地方
[00:06:00.000 --> 00:06:05.000]  有愛神的團體、群體
[00:06:05.000 --> 00:06:10.000]  我們可以領受到安息的真正意義是甚麼
[00:06:10.000 --> 00:06:13.000]  人不是被奴役的一群
[00:06:14.000 --> 00:06:18.000]  人不是世界上生產機器裡的其中一員
[00:06:18.000 --> 00:06:22.000]  我們在這個團體裡是神的兒女
[00:06:22.000 --> 00:06:24.000]  每一個人都是神的兒女
[00:06:24.000 --> 00:06:28.000]  我們可以活出被愛的兒女
[00:06:28.000 --> 00:06:32.000]  亦都可以成為去愛的生命
[00:06:32.000 --> 00:06:41.000]  因此,創造世界時,神已經定下了安息的大前提
[00:06:42.000 --> 00:06:45.000]  特別是我們看到今天的經文
[00:06:45.000 --> 00:06:49.000]  在埃及遺奴的以色列人
[00:06:49.000 --> 00:06:53.000]  他們習慣了在一個被奴役的世界裡,在埃及裡
[00:06:53.000 --> 00:06:59.000]  他們這群以色列人要透過神的誡命重新學習
[00:06:59.000 --> 00:07:02.000]  怎樣去領受這份安息
[00:07:02.000 --> 00:07:07.000]  怎樣不再被奴役,亦不再將人物化為奴役人
[00:07:08.000 --> 00:07:13.000]  我們看看今天這段經文,記載在《出埃及記》20章2至3節
[00:07:13.000 --> 00:07:16.000]  我是耶和華,你的神
[00:07:16.000 --> 00:07:20.000]  曾將你從埃及地遺奴之家領出來
[00:07:20.000 --> 00:07:24.000]  除了我以外,你不可有別的神
[00:07:24.000 --> 00:07:28.000]  這段經文,大家可能都很熟悉
[00:07:28.000 --> 00:07:34.000]  是十誡裡的第一誡
[00:07:35.000 --> 00:07:39.000]  今天我會藉著這兩點,跟大家研讀這段經文
[00:07:39.000 --> 00:07:43.000]  讓我們更了解我們自己在這個世界上
[00:07:43.000 --> 00:07:46.000]  我們怎樣可以拿捏到真正的安息
[00:07:46.000 --> 00:07:50.000]  第一點,從關係出發的安息
[00:07:50.000 --> 00:07:53.000]  剛才我說過,我們在這個世界裡生活
[00:07:53.000 --> 00:07:57.000]  我們和神的關係,在關係中我們可以領受到安息
[00:07:58.000 --> 00:08:02.000]  第十誡第一誡亦提醒了我們
[00:08:02.000 --> 00:08:05.000]  我們不要為自己做偶像
[00:08:05.000 --> 00:08:07.000]  究竟什麼意思呢?
[00:08:07.000 --> 00:08:09.000]  在我們的生命,在我們的生活當中
[00:08:09.000 --> 00:08:14.000]  我們會否有意無意地成為一個偶像的工廠呢?
[00:08:14.000 --> 00:08:20.000]  我們看看,在經文裡的第一句
[00:08:20.000 --> 00:08:23.000]  已經告訴我們一個關係
[00:08:23.000 --> 00:08:26.000]  就是耶和華神介紹自己
[00:08:27.000 --> 00:08:30.000]  大家記得在摩西第一次見耶和華神的時候
[00:08:30.000 --> 00:08:34.000]  在Burning Bush,在焚燒的荊棘上
[00:08:34.000 --> 00:08:38.000]  祂問我們怎樣介紹自己給以色列人呢?
[00:08:38.000 --> 00:08:41.000]  祂說,I am who I am,我就是我
[00:08:41.000 --> 00:08:46.000]  但在這一誡裡,神告訴我們
[00:08:46.000 --> 00:08:48.000]  祂和以色列人的關係
[00:08:48.000 --> 00:08:53.000]  是一個從埃及領他們出遺牢之家的關係
[00:08:53.000 --> 00:08:55.000]  什麼意思呢?
[00:08:56.000 --> 00:09:01.000]  祂是一個拯救和釋放以色列人的關係
