
[00:00:00.000 --> 00:00:03.000]  晚安還是午安好呢?
[00:00:03.000 --> 00:00:06.000]  算了,大家好就算了
[00:00:06.000 --> 00:00:07.000]  (笑)
[00:00:07.000 --> 00:00:10.000]  對,Shalom就行了
[00:00:10.000 --> 00:00:13.000]  新年有些新的做法
[00:00:13.000 --> 00:00:16.000]  很多經文,所以就不讀了
[00:00:16.000 --> 00:00:18.000]  我們讀一段經文
[00:00:18.000 --> 00:00:20.000]  到何時要讀的時候,我會和你說
[00:00:20.000 --> 00:00:22.000]  大家就一起讀一段經文
[00:00:22.000 --> 00:00:26.000]  我打賞的時候,大家就看吧
[00:00:26.000 --> 00:00:27.000]  就是這樣
[00:00:27.000 --> 00:00:31.000]  好,大家現在知不知道
[00:00:31.000 --> 00:00:33.000]  拿渣易,有沒有人知道?
[00:00:33.000 --> 00:00:35.000]  現在很厲害
[00:00:35.000 --> 00:00:39.000]  今年這個是,去年實在有另一套戲
[00:00:39.000 --> 00:00:42.000]  就叫做熱辣滾湯
[00:00:42.000 --> 00:00:43.000]  有沒有人看過?
[00:00:43.000 --> 00:00:48.000]  不是很適合我,我是喜歡動作的
[00:00:48.000 --> 00:00:53.000]  話說這套戲在去年在中國的票房冠軍
[00:00:53.000 --> 00:00:57.000]  女主角,經常說的一個女生
[00:00:57.000 --> 00:01:00.000]  她一開始的時候有點肥胖
[00:01:00.000 --> 00:01:03.000]  在家裡住,後來她自己走出來
[00:01:03.000 --> 00:01:04.000]  很多事情發生
[00:01:04.000 --> 00:01:10.000]  最重要是她最後保持健美到打拳擊
[00:01:10.000 --> 00:01:15.000]  所以聽說女主角做這套戲
[00:01:15.000 --> 00:01:18.000]  自己也是一年拍,一整年
[00:01:18.000 --> 00:01:22.000]  她是從一個很肥胖的人,去到一個很健美的人
[00:01:22.000 --> 00:01:26.000]  話說在網上有她的主題曲
[00:01:26.000 --> 00:01:29.000]  有兩個版本,就是她之前和之後的版本
[00:01:29.000 --> 00:01:31.000]  好像對唱一樣
[00:01:31.000 --> 00:01:33.000]  嘩,這樣很特別
[00:01:33.000 --> 00:01:37.000]  我聽到關於這套戲,就是因為這件事
[00:01:37.000 --> 00:01:40.000]  這種改變是刻意的
[00:01:40.000 --> 00:01:42.000]  你不刻意是做不到的
