
[00:00:00.000 --> 00:00:04.000]  各位聽眾姊妹,聖誕快樂
[00:00:04.000 --> 00:00:06.000]  很開心,到了年尾的時間
[00:00:06.000 --> 00:00:08.000]  有機會跟大家分享訊息
[00:00:08.000 --> 00:00:10.000]  今天跟大家分享一個題目叫做
[00:00:10.000 --> 00:00:13.000]  上帝的大能,來自羅馬書第1章8至17
[00:00:13.000 --> 00:00:15.000]  我們很熟悉的一段經文
[00:00:15.000 --> 00:00:18.000]  經文有一段是這樣說的
[00:00:18.000 --> 00:00:25.000]  「我不以福音為恥者,福音本是上帝的大能,是要救一切相信的人。」
[00:00:25.000 --> 00:00:28.000]  今天跟大家說什麼叫做福音
[00:00:28.000 --> 00:00:31.000]  作為基督徒,對於福音這兩個字應該一點都不陌生
[00:00:31.000 --> 00:00:33.000]  可能你回到教會的時候
[00:00:33.000 --> 00:00:35.000]  或多或少都有人會教導你
[00:00:35.000 --> 00:00:37.000]  或者你聽台上說
[00:00:37.000 --> 00:00:39.000]  我們要傳福音傳福音
[00:00:39.000 --> 00:00:41.000]  當我們說要傳講福音
[00:00:41.000 --> 00:00:43.000]  究竟我們在傳講什麼
[00:00:43.000 --> 00:00:44.000]  拋望藉著今天的經文
[00:00:44.000 --> 00:00:49.000]  讓我們一起學習福音如何能夠成為上帝的大能
[00:00:49.000 --> 00:00:52.000]  讓我先為大家讀出今天的經文
[00:00:52.000 --> 00:00:56.000]  羅馬書第1章8至17節
[00:00:56.000 --> 00:01:02.000]  首先我靠著耶穌基督為你們眾人感謝我的上帝
[00:01:02.000 --> 00:01:05.000]  因你們的信德傳遍了天下
[00:01:05.000 --> 00:01:10.000]  我在他兒子的福音上用心靈所侍奉的上帝可以見證
[00:01:10.000 --> 00:01:13.000]  我怎樣不住地提到你們
[00:01:13.000 --> 00:01:18.000]  我在他兒子的福音上用心靈所侍奉的上帝可以見證
[00:01:18.000 --> 00:01:21.000]  我怎樣不住地提到你們
[00:01:21.000 --> 00:01:24.000]  因為我迫切地想見你們
[00:01:24.000 --> 00:01:27.000]  要把一些屬靈的恩賜分給你們
[00:01:27.000 --> 00:01:29.000]  使你們得以堅固
[00:01:29.000 --> 00:01:32.000]  也可說我在你們中間
[00:01:32.000 --> 00:01:36.000]  因你我彼此的信心而同德安慰
[00:01:36.000 --> 00:01:39.000]  弟兄們我不願意你們不知道
[00:01:39.000 --> 00:01:42.000]  我屢次計劃往你們那裡去
[00:01:42.000 --> 00:01:45.000]  要在你們中間得些果子
[00:01:45.000 --> 00:01:48.000]  如同在其餘的外邦人中一樣
[00:01:48.000 --> 00:01:50.000]  只是到如今仍有難阻
[00:01:50.000 --> 00:01:53.000]  無論是希臘人未開化的人
[00:01:53.000 --> 00:01:55.000]  聰明人如絕人
[00:01:55.000 --> 00:01:57.000]  我都欠他們的債
[00:01:57.000 --> 00:02:03.000]  所以願意盡我的力量把福音也傳給你們在羅馬的人
[00:02:03.000 --> 00:02:05.000]  很想邀請大家一起讀這兩節的經文
