
[00:00:00.000 --> 00:00:17.000]  (採訪者)大家午安晚安,大家晚安,我們先讀聖經,1,2,3
[00:00:17.000 --> 00:00:27.000]  (閩南語)
[00:00:27.000 --> 00:00:37.000]  (閩南語)
[00:00:37.000 --> 00:00:57.000]  (閩南語)
[00:00:58.000 --> 00:01:18.000]  (閩南語)
[00:01:19.000 --> 00:01:27.000]  在聖經裏面,破碎的玉亭可以取得真那達的香膏
[00:01:27.000 --> 00:01:32.000]  所以很多時神是用破碎的東西
[00:01:32.000 --> 00:01:37.000]  如果是這樣說,神真的很可以用雅各
[00:01:37.000 --> 00:01:42.000]  因為今天我們先講雅各的破碎
[00:01:42.000 --> 00:01:53.000]  怎樣神從破碎重整到一個心靈,實在是極限了
[00:01:53.000 --> 00:01:58.000]  但神建立它,然後用它
[00:01:58.000 --> 00:02:03.000]  先看看破碎,第一樣當然是破碎的身體
[00:02:03.000 --> 00:02:05.000]  這個我們之前都知道
[00:02:05.000 --> 00:02:11.000]  在32章裏,雅各和天使摔跤
[00:02:11.000 --> 00:02:16.000]  我們知道是天使,因為學西亞書說的是天使
[00:02:16.000 --> 00:02:20.000]  究竟哪部分是受傷了呢?
[00:02:20.000 --> 00:02:32.000]  應該是大腿和盆骨的關節
[00:02:32.000 --> 00:02:37.000]  這就是這部分
[00:02:37.000 --> 00:02:44.000]  但實在天使摸他的黑的時候,大家會發生什麼事呢?
[00:02:44.000 --> 00:02:46.000]  讀的時候會以為發生什麼事呢?
[00:02:46.000 --> 00:02:50.000]  我告訴你,古代的人都不太清楚
[00:02:50.000 --> 00:02:53.000]  我們可能看到中文都很清楚
[00:02:53.000 --> 00:02:56.000]  所以希伯來文不是很明顯
[00:02:56.000 --> 00:03:03.000]  七十四譯本,即希臘文的翻譯本,說是麻木了
[00:03:03.000 --> 00:03:05.000]  一摸下去,就麻木了
[00:03:05.000 --> 00:03:10.000]  麻木了有很多可能性,為什麼會麻木了呢?
[00:03:10.000 --> 00:03:13.000]  如果說亞南文翻譯,亞南文有兩個翻譯
[00:03:13.000 --> 00:03:17.000]  一個是脫教的
[00:03:17.000 --> 00:03:20.000]  我不知道大家怎樣想,我以前一向都是這樣想的
[00:03:20.000 --> 00:03:22.000]  摸下去,脫教
[00:03:22.000 --> 00:03:28.000]  另外一個是咬曲了,咬曲了又不太清楚
[00:03:28.000 --> 00:03:37.000]  還有一個就是現代的猶太人英文翻譯本,說是拉傷了
[00:03:37.000 --> 00:03:40.000]  原來有很多翻譯
[00:03:40.000 --> 00:03:45.000]  即使摸的時候,腳發生了什麼事,都不太清楚
[00:03:45.000 --> 00:03:50.000]  我覺得不像是一個很嚴重的傷勢
[00:03:50.000 --> 00:03:56.000]  為什麼呢?因為如果天使真的打斷了腳
[00:03:56.000 --> 00:04:00.000]  應該用一個更暴力的動詞
[00:04:00.000 --> 00:04:07.000]  這個詞用起來是摸一摸,感覺上不太暴力
[00:04:07.000 --> 00:04:12.000]  這個傷勢可能是暫時,也可能是永遠
[00:04:12.000 --> 00:04:19.000]  暫時,如果沒有斷了什麼,拉到筋之類
[00:04:19.000 --> 00:04:24.000]  用拐杖,六到八個星期,可能會復原
[00:04:24.000 --> 00:04:29.000]  不過當然,當時醫療知識很差
[00:04:29.000 --> 00:04:32.000]  可能沒有什麼事,都變成有事
[00:04:32.000 --> 00:04:37.000]  不知道,如果天使真的弄斷了骨頭
[00:04:37.000 --> 00:04:42.000]  可能下半世真的會刺刺的
[00:04:42.000 --> 00:04:45.000]  無論如何,我們知道一件事
[00:04:45.000 --> 00:04:50.000]  當他面對異數那一刻,他的腳是不行的
[00:04:50.000 --> 00:04:53.000]  不能走,也不能打
[00:04:53.000 --> 00:05:01.000]  很多年前,他還可以跟異數打過
[00:05:01.000 --> 00:05:04.000]  但那一刻,他不行
[00:05:04.000 --> 00:05:10.000]  實際上,神是迫他面對一個他不想面對的人
[00:05:10.000 --> 00:05:13.000]  一樣,像上次我來講的藥室
[00:05:13.000 --> 00:05:19.000]  神也是,神是迫使藥室面對那十個兄弟
[00:05:19.000 --> 00:05:22.000]  無端端上班,就那十個人站在他面前
[00:05:22.000 --> 00:05:25.000]  這個不是,不是很突然
[00:05:25.000 --> 00:05:28.000]  異數將會來,亞國是知道的
