
[00:00:00.000 --> 00:00:03.920]  很少在這個時段講道
[00:00:03.920 --> 00:00:08.800]  今天有機會分享神的話語
[00:00:08.800 --> 00:00:11.560]  給我很大的喜悅
[00:00:11.560 --> 00:00:13.760]  因為神的話語很豐富
[00:00:13.760 --> 00:00:15.360]  這個耶利米蘇
[00:00:15.360 --> 00:00:18.600]  耶利哥城的事蹟
[00:00:18.600 --> 00:00:21.760]  我聽了很多次
[00:00:21.760 --> 00:00:25.680]  但這次跟大家預備的時候
[00:00:25.680 --> 00:00:30.720]  都有一個新的發現或自己的學習
[00:00:30.720 --> 00:00:39.000]  今天我們會分享一個題目叫做「繼承者們」
[00:00:39.000 --> 00:00:43.640]  一聽這幾個字我已經很激昂激動
[00:00:43.640 --> 00:00:46.880]  就是你們就是那個繼承者
[00:00:46.880 --> 00:00:49.760]  我們這些老人家快要退場了
[00:00:49.760 --> 00:00:52.400]  就輪到你們上場
[00:00:52.400 --> 00:00:57.560]  就好像昔日的摩西那一代
[00:00:57.560 --> 00:01:00.560]  都在曠野離開
[00:01:00.560 --> 00:01:02.120]  進不了迦南地
[00:01:02.120 --> 00:01:05.120]  新起來的第二代
[00:01:05.120 --> 00:01:06.920]  如何不離不棄
[00:01:06.920 --> 00:01:10.120]  不偏左不偏右地繼續跟隨神呢?
[00:01:10.120 --> 00:01:11.680]  所以我覺得改得好
[00:01:11.680 --> 00:01:14.640]  這個講道的名字
[00:01:14.640 --> 00:01:16.280]  多謝阿葡
[00:01:16.280 --> 00:01:18.680]  溫書就不溫了
[00:01:18.680 --> 00:01:20.080]  因為你們很熟悉
[00:01:20.080 --> 00:01:22.200]  這些聖經從小聽到大
[00:01:22.200 --> 00:01:27.360]  說到他們在西乃山領受了神的誡命
[00:01:27.360 --> 00:01:29.720]  但他們的信心反反覆覆
[00:01:29.720 --> 00:01:32.200]  在曠野裡兜兜轉轉40年
[00:01:32.200 --> 00:01:36.000]  來到約旦河的前面
[00:01:36.000 --> 00:01:40.840]  神似乎刻意要這班人
[00:01:40.840 --> 00:01:45.120]  重新經歷摩西出埃及的時候的一些事件
[00:01:45.120 --> 00:01:47.840]  包括他們過約旦河
[00:01:47.840 --> 00:01:50.200]  就好像過紅海一樣
[00:01:50.200 --> 00:01:54.600]  神刻意將約旦河的水分開給他們過
[00:01:54.600 --> 00:01:57.720]  讓這班從來沒有見過
[00:01:57.720 --> 00:01:59.600]  從前風雲有理的人
[00:01:59.600 --> 00:02:02.480]  現在親眼見上帝的作為
[00:02:02.480 --> 00:02:06.520]  以至今次再入這個應許之地
[00:02:06.520 --> 00:02:09.880]  他們是帶著一份屬於自己的信心
[00:02:09.880 --> 00:02:11.480]  不是別人的信心
[00:02:11.480 --> 00:02:13.760]  帶著神親自跟我說的話
[00:02:13.760 --> 00:02:15.880]  不是別人說的二手說話
[00:02:15.880 --> 00:02:19.880]  來進入這個應許之地
[00:02:19.880 --> 00:02:23.080]  背景大家都很熟悉
[00:02:23.080 --> 00:02:28.680]  最後他們過了約旦河
[00:02:28.680 --> 00:02:31.480]  去到迦南地的門口
[00:02:31.480 --> 00:02:35.440]  神在那段時間揀選約書亞
[00:02:35.440 --> 00:02:36.840]  來接觸摩西
[00:02:36.840 --> 00:02:38.760]  來帶領以色列人
[00:02:38.760 --> 00:02:42.160]  第一二章都是說他們怎樣去猜探子
[00:02:42.160 --> 00:02:46.480]  進去窺探敵人的情況
[00:02:46.480 --> 00:02:50.480]  也出現了拉合救了探子
[00:02:50.480 --> 00:02:53.360]  當時的形勢是很特別的
[00:02:53.360 --> 00:02:56.680]  三至四節他們過了約旦河
[00:02:56.680 --> 00:03:00.200]  然後神跟他們說了一句很重要的話
[00:03:00.200 --> 00:03:02.560]  第三章五節
[00:03:02.560 --> 00:03:06.920]  他們說你們要使自己分別為聖
[00:03:06.920 --> 00:03:09.680]  因為明天你的耶和華神
[00:03:09.680 --> 00:03:14.080]  在你們中間會造神騎士
[00:03:14.080 --> 00:03:19.400]  這件騎士不只是過了約旦河那麼簡單
[00:03:19.400 --> 00:03:21.960]  然後就發生了很多事情
[00:03:21.960 --> 00:03:23.520]  我們繼續看下去
[00:03:23.520 --> 00:03:26.040]  當時有一群以色列人
