
[00:00:00.000 --> 00:00:05.200]  我奉命和大家分享《啟示錄》這個主題
[00:00:05.200 --> 00:00:09.800]  《基督徒怎樣重拾起初的愛》
[00:00:09.800 --> 00:00:16.440]  有一間護膚品公司
[00:00:16.440 --> 00:00:21.800]  做了社區實驗
[00:00:21.800 --> 00:00:23.600]  找了一位畫家
[00:00:23.600 --> 00:00:26.800]  把參加者帶進去
[00:00:26.800 --> 00:00:32.080]  畫家看到這個人是怎樣
[00:00:32.080 --> 00:00:34.000]  他就照樣畫
[00:00:34.000 --> 00:00:35.600]  但畫了兩幅
[00:00:35.600 --> 00:00:38.680]  一幅是畫家看到這個人是怎樣
[00:00:38.680 --> 00:00:40.400]  他照如實畫出來
[00:00:40.400 --> 00:00:45.280]  另一個是畫家和對方
[00:00:45.280 --> 00:00:47.480]  兩人是不會見面的
[00:00:47.480 --> 00:00:50.680]  是有一塊白布擋住
[00:00:50.680 --> 00:00:52.480]  他們互相看不到對方
[00:00:52.480 --> 00:00:57.200]  靠當時人描述自己的樣子
[00:00:57.200 --> 00:01:00.000]  告訴畫家
[00:01:00.000 --> 00:01:04.040]  畫家聽到他自我描述
[00:01:04.040 --> 00:01:05.440]  就畫出來了
[00:01:05.440 --> 00:01:10.000]  大家在螢幕上看到兩幅圖畫
[00:01:10.000 --> 00:01:13.400]  你認為這個事主
[00:01:13.400 --> 00:01:17.680]  哪一個畫像是他描述的呢?
[00:01:17.680 --> 00:01:20.320]  如果是我右邊的那張
[00:01:20.320 --> 00:01:22.320]  請舉手
[00:01:22.320 --> 00:01:25.600]  有沒有人認為是我左邊的那張呢?
[00:01:25.600 --> 00:01:32.400]  左邊那張是畫家看到他的樣子畫出來的
[00:01:32.400 --> 00:01:34.840]  右邊那張是他自己描述
[00:01:34.840 --> 00:01:36.240]  他自己是怎樣的樣子
[00:01:36.240 --> 00:01:40.640]  畫家聽著他描述就畫出來的
[00:01:40.640 --> 00:01:45.000]  畫家看到甚麼就照樣畫
[00:01:45.000 --> 00:01:49.240]  但為甚麼看樣子應該20歲
[00:01:49.240 --> 00:01:50.520]  一定不超過
[00:01:50.520 --> 00:01:55.000]  不知為何外國人的樣子很大
[00:01:55.000 --> 00:01:56.320]  很難辨別
[00:01:56.320 --> 00:01:58.400]  但我們估計也有20歲左右
[00:01:58.400 --> 00:02:01.400]  他對自己20年了
[00:02:01.400 --> 00:02:05.640]  他對自己的外表描述
[00:02:05.640 --> 00:02:10.760]  好像和他畫家所見到的描述有很大的差異
[00:02:10.760 --> 00:02:12.560]  為甚麼會有這個差異呢?
[00:02:12.560 --> 00:02:15.560]  畫家不認識他
[00:02:15.560 --> 00:02:20.000]  所以畫家只看到甚麼就照樣畫
[00:02:20.000 --> 00:02:22.200]  但一個人的成長
[00:02:22.200 --> 00:02:25.320]  肯定會對自己的審美
[00:02:25.320 --> 00:02:27.240]  或別人對他的看法
[00:02:27.240 --> 00:02:31.440]  或他自己想哪些位置漂亮
[00:02:31.440 --> 00:02:32.480]  哪些位置不漂亮
[00:02:32.480 --> 00:02:34.120]  他自己有個看法
[00:02:34.120 --> 00:02:36.120]  一個不同的審美觀
[00:02:36.120 --> 00:02:40.440]  在當中我們會看到
[00:02:40.440 --> 00:02:42.600]  作為事主的他
[00:02:42.600 --> 00:02:46.360]  他會怎樣描述
[00:02:46.360 --> 00:02:48.360]  甚至評價自己的外表呢?
[00:02:49.280 --> 00:02:51.280]  其實真的有差異
[00:02:51.280 --> 00:02:53.280]  你看自己和別人看你
[00:02:53.280 --> 00:02:55.280]  其實有很大的差異
[00:02:55.280 --> 00:02:57.760]  因為我們有時很特別
[00:02:57.760 --> 00:03:02.440]  將理想的我和現實的我混在一起
[00:03:02.440 --> 00:03:04.880]  自己也分不清哪個是理想的我
[00:03:04.880 --> 00:03:06.880]  哪個是現實的我
[00:03:06.880 --> 00:03:10.840]  當然別人看到的就這樣
[00:03:10.840 --> 00:03:16.080]  你看自己就會在理想和現實混在一起
[00:03:16.080 --> 00:03:18.680]  你就會有自己的準則
[00:03:18.680 --> 00:03:21.280]  但那個是否真的我呢?
[00:03:21.280 --> 00:03:24.840]  那是完整的我還是部分的我?
[00:03:24.840 --> 00:03:28.320]  或者我們能否擁抱這個我呢?
[00:03:28.320 --> 00:03:31.320]  又或者在耶穌的眼中
[00:03:31.320 --> 00:03:32.920]  我們又是怎樣的呢?
[00:03:32.920 --> 00:03:35.160]  我們看自己可能是
[00:03:35.160 --> 00:03:37.160]  好像這幅畫的右邊
[00:03:37.160 --> 00:03:38.520]  我們看自己是這樣的
[00:03:38.520 --> 00:03:39.760]  很瘦
[00:03:39.760 --> 00:03:43.760]  很多地方都覺得自己
[00:03:43.760 --> 00:03:46.040]  不是自己心目中的那樣
[00:03:46.040 --> 00:03:48.720]  但在耶穌的眼中他怎樣看呢?
[00:03:48.720 --> 00:03:53.200]  耶穌的眼中是否好像左邊那張
[00:03:53.200 --> 00:03:56.200]  這個才是真實的你呢?
[00:03:56.200 --> 00:03:57.520]  如果是你
[00:03:57.520 --> 00:03:59.920]  你又會怎樣描述自己呢?
[00:03:59.920 --> 00:04:01.520]  或者你又會想
[00:04:01.520 --> 00:04:05.520]  耶穌會怎樣去看我們呢?
[00:04:05.520 --> 00:04:10.240]  其實在啟示錄的七教會裏
[00:04:10.240 --> 00:04:14.760]  每一封信都有讚和勸
[00:04:14.760 --> 00:04:16.640]  不要彈
[00:04:16.640 --> 00:04:17.960]  有讚和勸
[00:04:17.960 --> 00:04:23.640]  這也是耶穌去看教會的模樣
[00:04:23.640 --> 00:04:26.120]  所以我們今天看這幅所書
[00:04:26.120 --> 00:04:29.080]  比爾忽所書
[00:04:29.080 --> 00:04:31.720]  以弗所教會這封信
[00:04:31.720 --> 00:04:33.880]  我們都是看兩個向度
[00:04:33.880 --> 00:04:37.120]  讚是甚麼?勸是甚麼?
[00:04:37.120 --> 00:04:41.920]  讚的
[00:04:41.920 --> 00:04:47.320]  經文一開始在二章的一至二節說到
[00:04:47.320 --> 00:04:51.120]  有一個手拿著七星
[00:04:51.120 --> 00:04:54.720]  在七個金燈台中間行走的
[00:04:54.720 --> 00:04:58.120]  就跟爾忽所教會的領袖說
[00:04:58.120 --> 00:04:59.920]  這個手拿著七星
[00:04:59.920 --> 00:05:04.320]  在七個金燈台走的是誰呢?
[00:05:04.320 --> 00:05:07.120]  我相信大家在一章裏面
[00:05:07.120 --> 00:05:09.920]  或者之前聽到都聽過了
[00:05:09.920 --> 00:05:13.720]  七星代表教會的領袖
[00:05:13.720 --> 00:05:17.920]  而七個金燈台代表教會
