
[00:00:00.000 --> 00:00:01.800]  各位電影姐妹新年快樂
[00:00:01.800 --> 00:00:03.560]  主因常在
[00:00:03.560 --> 00:00:08.440]  今天很開心有機會能夠跟五堂的電影姐妹走在一起
[00:00:08.440 --> 00:00:10.800]  過去很多年的日子裏面
[00:00:10.800 --> 00:00:13.240]  我們很多時候特別是主日或周六
[00:00:13.240 --> 00:00:16.440]  我們在不同的堂所裏面聚會
[00:00:16.440 --> 00:00:19.640]  我們在不同的地區裏面接觸很多不同的群體
[00:00:19.640 --> 00:00:22.440]  當今年裏面我們一班同工集合一起的時候
[00:00:22.440 --> 00:00:24.120]  我們思考一個問題的時候
[00:00:24.120 --> 00:00:28.480]  是呀,這麼多年裏面我們都好像分散了很多不同的地方
[00:00:28.480 --> 00:00:30.920]  我們會不會嘗試走在一起呢?
[00:00:30.920 --> 00:00:33.560]  我們只是五個分堂而已
[00:00:33.560 --> 00:00:35.480]  我們不是五間的教會
[00:00:35.480 --> 00:00:37.560]  我們是同一間的教會
[00:00:37.560 --> 00:00:39.800]  我們相信同一位的上帝
[00:00:39.800 --> 00:00:42.440]  我們在當中領受著同一個使命
[00:00:42.440 --> 00:00:46.360]  我不知道你會不會背沙浸的使命宣言
[00:00:46.360 --> 00:00:47.320]  如果你不懂的話
[00:00:47.320 --> 00:00:48.840]  我希望你從今天開始
[00:00:48.840 --> 00:00:50.360]  你記得這段話
[00:00:50.360 --> 00:00:51.960]  其實我們後面也有的了
[00:00:51.960 --> 00:00:53.280]  實踐大使命
[00:00:53.280 --> 00:00:55.480]  把未信者主化做愛神愛人
[00:00:55.480 --> 00:00:57.640]  學道傳道的門徒
[00:00:58.200 --> 00:01:01.080]  沙田浸信會是上帝所祝福的教會
[00:01:01.080 --> 00:01:02.960]  我們在過去這麼多年裏面
[00:01:02.960 --> 00:01:04.760]  我們正在領受同一個意象方向
[00:01:04.760 --> 00:01:06.680]  我盼望在未來的日子裏面
[00:01:06.680 --> 00:01:08.240]  在過去幾年的裏面
[00:01:08.240 --> 00:01:11.320]  我想我們經歷過很多風風雨雨
[00:01:11.320 --> 00:01:13.400]  在當中有高山低谷的時間
[00:01:13.400 --> 00:01:16.920]  但是今天我相信上帝要繼續使用教會
[00:01:16.920 --> 00:01:21.320]  在地上要為主作更美好的見證
[00:01:21.320 --> 00:01:23.440]  所以我在這裏再一次邀請大家
[00:01:23.440 --> 00:01:25.280]  你給你旁邊的一個掌聲好嗎?
[00:01:26.520 --> 00:01:29.600]  我不知道旁邊那個是否跟你回到同一個堂所
[00:01:29.600 --> 00:01:31.120]  可能是的,可能不是的
[00:01:31.120 --> 00:01:32.920]  但是我們今天能夠走在一起
[00:01:32.920 --> 00:01:36.640]  是上帝一個很大的恩典
[00:01:36.640 --> 00:01:39.440]  今天很想跟大家分享一段經文
[00:01:39.440 --> 00:01:42.240]  是《約翰福音》第十五章一至八節的題目
[00:01:42.240 --> 00:01:45.000]  豈止是大吉大利
[00:01:45.000 --> 00:01:47.200]  你跟別人拜年有沒有說大吉大利的?
[00:01:47.200 --> 00:01:48.720]  應該很少吧
[00:01:48.720 --> 00:01:50.480]  通常都是說新年快樂
[00:01:50.480 --> 00:01:51.640]  主恩上人在
[00:01:51.640 --> 00:01:52.920]  為什麼說大吉大利呢?
[00:01:52.920 --> 00:01:54.600]  大吉大利這四個字
[00:01:54.600 --> 00:01:57.440]  在我心目當中有些很特別的意義
[00:01:57.440 --> 00:02:02.600]  因為當我兒子三、四歲的時候
[00:02:02.600 --> 00:02:05.600]  他第一句說話跟別人拜年
[00:02:05.600 --> 00:02:06.360]  你知道是什麼嗎?
[00:02:06.360 --> 00:02:08.960]  就是大吉大利了
[00:02:08.960 --> 00:02:11.880]  因為比較容易發音
[00:02:11.880 --> 00:02:15.080]  你要一個三歲多的小朋友說
[00:02:15.080 --> 00:02:16.280]  龍馬精神
[00:02:16.280 --> 00:02:18.320]  恭喜發財
[00:02:18.320 --> 00:02:20.400]  基督徒不要經常說發財
[00:02:20.400 --> 00:02:23.680]  他說大吉大利
[00:02:23.680 --> 00:02:24.520]  哇
[00:02:24.520 --> 00:02:26.360]  這是我生命
[00:02:26.360 --> 00:02:28.200]  在我家庭裡面來說一個很特別的意義
