
[00:00:00.000 --> 00:00:04.600]  我今天跟大家思想聖靈合一打造出教會多元共融
[00:00:04.600 --> 00:00:06.300]  我們繼續思想已不所思
[00:00:06.300 --> 00:00:08.080]  今天會思想第四章
[00:00:08.080 --> 00:00:12.800]  有一個尋求上帝的故事
[00:00:12.800 --> 00:00:13.480]  虛構的
[00:00:13.480 --> 00:00:14.800]  但也很有意思
[00:00:14.800 --> 00:00:19.680]  故事說到有四個人都很想見到上帝
[00:00:19.680 --> 00:00:22.200]  但他們又知道
[00:00:22.200 --> 00:00:25.280]  各人四人對上帝的理解都不同
[00:00:25.280 --> 00:00:27.580]  但他們又不知道如何表達
[00:00:27.580 --> 00:00:32.300]  有一次他們四人困在一個房間內
[00:00:32.300 --> 00:00:37.440]  四面牆很高
[00:00:37.440 --> 00:00:42.900]  他們在高牆上看到一個小窗戶
[00:00:42.900 --> 00:00:48.980]  他們在想會否在窗戶上可以見到上帝呢
[00:00:48.980 --> 00:00:52.980]  所以他們嘗試跳下去
[00:00:52.980 --> 00:00:56.180]  但無法到達窗戶
[00:00:56.180 --> 00:00:58.300]  他們四人在想
[00:00:58.300 --> 00:01:00.300]  不如我們玩騎駁馬
[00:01:00.300 --> 00:01:05.340]  四人的身高應該可以爬到窗戶
[00:01:05.340 --> 00:01:07.340]  但問題來了
[00:01:07.340 --> 00:01:08.740]  誰先去看
[00:01:08.740 --> 00:01:10.040]  四人
[00:01:10.040 --> 00:01:11.540]  誰先做底
[00:01:11.540 --> 00:01:13.540]  誰做中間
[00:01:13.540 --> 00:01:16.540]  他們想了很久
[00:01:16.540 --> 00:01:18.540]  第一個阿甲說
[00:01:18.540 --> 00:01:19.740]  上來
[00:01:19.740 --> 00:01:21.740]  我做底
[00:01:21.740 --> 00:01:23.740]  你們誰爬上去
[00:01:23.740 --> 00:01:27.420]  記得告訴我上帝是怎樣
[00:01:27.420 --> 00:01:29.420]  你快點上來
[00:01:29.420 --> 00:01:31.420]  之後到月
[00:01:31.420 --> 00:01:33.920]  月就想算了
[00:01:33.920 --> 00:01:36.920]  我猜我爬上去應該都沒有力氣
[00:01:36.920 --> 00:01:38.920]  不如我做第二個
[00:01:38.920 --> 00:01:42.920]  就爬上去阿甲的肩膀上
[00:01:42.920 --> 00:01:45.720]  然後到丙和丁
[00:01:45.720 --> 00:01:46.720]  你眼望我眼
[00:01:46.720 --> 00:01:51.720]  因為他們兩個都很想親眼看到上帝
[00:01:51.720 --> 00:01:53.720]  如果是你呢
[00:01:53.720 --> 00:01:57.720]  你會想做看的那個
[00:01:57.720 --> 00:02:00.720]  還是想做被托上去的那個呢
[00:02:00.720 --> 00:02:06.720]  丙看到丁沒有反應的時候
[00:02:06.720 --> 00:02:09.720]  丙就說不如算了
[00:02:09.720 --> 00:02:10.720]  你上去看吧
[00:02:10.720 --> 00:02:13.720]  你記得看完之後告訴我們
[00:02:13.720 --> 00:02:16.720]  然後余事者就爬上去
[00:02:16.720 --> 00:02:18.720]  丁就爬上去
[00:02:18.720 --> 00:02:22.720]  就快看到十幾秒
[00:02:22.720 --> 00:02:23.720]  快點吧
[00:02:23.720 --> 00:02:24.720]  撐不住了
[00:02:24.720 --> 00:02:27.720]  四個掉下來
[00:02:27.720 --> 00:02:30.720]  之後大家在呼吸的時候
[00:02:30.720 --> 00:02:32.720]  阿甲就說
[00:02:32.720 --> 00:02:36.720]  我剛才看到上帝在我們中間
[00:02:36.720 --> 00:02:40.720]  之後月又是說同一個說話
[00:02:40.720 --> 00:02:42.720]  丙也是
[00:02:42.720 --> 00:02:44.720]  之後他們三個就看著丁
[00:02:44.720 --> 00:02:46.720]  你剛才看到什麼
[00:02:46.720 --> 00:02:48.720]  他說你們剛才在震動
[00:02:48.720 --> 00:02:50.720]  我什麼都看不到
[00:02:50.720 --> 00:02:53.720]  但是我在我們當中
[00:02:53.720 --> 00:02:57.720]  我看到約翰一書說的是真的
