
[00:00:00.000 --> 00:00:03.920]  今天來到我們復活節期間
[00:00:03.920 --> 00:00:08.640]  我們繼續會分享無盡的旅途
[00:00:08.640 --> 00:00:12.040]  上次阿Po也提到文數記
[00:00:12.040 --> 00:00:16.120]  今天我會說28至30章
[00:00:16.120 --> 00:00:20.600]  上次阿Po提到一個有信心的女兒是怎樣
[00:00:20.600 --> 00:00:25.400]  每一次當我去復活節的時候
[00:00:25.400 --> 00:00:30.200]  好像都是說憲制的
[00:00:30.200 --> 00:00:35.760]  究竟憲制和我們現在和上帝的關係
[00:00:35.760 --> 00:00:39.240]  和我們的生活有什麼的聯繫呢
[00:00:39.240 --> 00:00:44.120]  當我去看文數記28至30章的時候
[00:00:44.120 --> 00:00:46.080]  給我帶來很大的提醒
[00:00:46.080 --> 00:00:47.840]  我們一會兒去看一看
[00:00:47.840 --> 00:00:52.880]  需要在28至30章裡面
[00:00:52.880 --> 00:00:59.600]  需要大家有忍耐去看
[00:00:59.600 --> 00:01:03.280]  因為當我們不明白經文的時候
[00:01:03.280 --> 00:01:05.560]  就會覺得其實有什麼關係呢
[00:01:05.560 --> 00:01:07.800]  但原來是很有趣味性的
[00:01:07.800 --> 00:01:09.120]  我們一起去看一看
[00:01:09.120 --> 00:01:12.960]  在整個文數記裡面
[00:01:12.960 --> 00:01:16.720]  上帝是沒有停止教導他的百姓
[00:01:16.720 --> 00:01:20.280]  剛才一開始就看到
[00:01:20.280 --> 00:01:24.080]  我給大家看一看
[00:01:24.080 --> 00:01:27.920]  有說到每一章大概說什麼
[00:01:27.920 --> 00:01:29.720]  我會重溫一下
[00:01:29.720 --> 00:01:34.200]  1至4章是說西乃山的人數統計
[00:01:34.200 --> 00:01:37.120]  5至6章是說律法界名
[00:01:37.120 --> 00:01:39.760]  7章是領袖的奉獻
[00:01:39.760 --> 00:01:43.520]  8至10章是上帝的命令和律法
[00:01:43.520 --> 00:01:47.320]  11至14章是開始說無盡旅途
[00:01:47.320 --> 00:01:48.880]  抗疫的旅程
[00:01:48.880 --> 00:01:52.640]  15章是上帝的命令
[00:01:52.640 --> 00:01:55.880]  16至17章是我上次分享的
[00:01:55.880 --> 00:01:58.080]  就是說可拉黨的叛變
[00:01:58.080 --> 00:02:00.720]  18至19章是上帝的命令
[00:02:00.720 --> 00:02:02.640]  也是律例
[00:02:02.640 --> 00:02:03.640]  是一些誡明
[00:02:03.640 --> 00:02:06.520]  20至26章是巴蘭的詭計
[00:02:06.520 --> 00:02:09.720]  27至26章是我今天會分享的
[00:02:09.720 --> 00:02:12.040]  關於摩西的命令和典章
[00:02:12.040 --> 00:02:13.920]  就是神透過摩西去說
[00:02:14.120 --> 00:02:19.680]  我們看到從1至36章的時候
[00:02:19.680 --> 00:02:21.000]  如果你這樣看
[00:02:21.000 --> 00:02:23.960]  你會發覺是一半一半的
[00:02:23.960 --> 00:02:28.120]  就是說抗疫的漂流歷史
[00:02:28.120 --> 00:02:30.360]  在這36章裡面
[00:02:30.360 --> 00:02:33.560]  有一半是說歷史
[00:02:33.560 --> 00:02:37.960]  這群以色列人如何在抗疫中有些經歷
[00:02:37.960 --> 00:02:44.200]  原來也有一半18章是說戒命和律例
[00:02:44.200 --> 00:02:45.960]  如果是這樣的話
[00:02:45.960 --> 00:02:54.760]  就是說這本書是上帝特意要把這些戒命和律例寫出來
[00:02:54.760 --> 00:02:57.240]  有它的重要性
[00:02:57.240 --> 00:03:03.560]  原來上帝從來沒有停止教導他的百姓
[00:03:03.560 --> 00:03:08.160]  因為他知道他的愛從來沒有離開過我們每一個人
[00:03:08.160 --> 00:03:14.360]  所以他著意要把一半的律例說清楚
[00:03:14.360 --> 00:03:20.960]  這就是接下來我會分享的一些律例和戒命
[00:03:20.960 --> 00:03:23.200]  我們再看下去
[00:03:23.200 --> 00:03:27.560]  第一點就是遵行
[00:03:27.560 --> 00:03:29.120]  遵行什麼呢?
[00:03:29.120 --> 00:03:30.560]  我們去看看
[00:03:30.960 --> 00:03:36.440]  因為28至29章都是說很多律例
[00:03:36.440 --> 00:03:40.160]  我讀出一些我撮出來的經文
[00:03:40.160 --> 00:03:41.480]  第一節是
[00:03:41.480 --> 00:03:43.840]  「耶和華吩咐摩西說:
[00:03:43.840 --> 00:03:46.440]  你要吩咐以色列人說:
[00:03:46.440 --> 00:03:49.120]  你們要按時把我的供物
[00:03:49.120 --> 00:03:52.360]  就是獻給我作輕香火製的食物
[00:03:52.360 --> 00:03:53.520]  獻給我
[00:03:53.520 --> 00:03:56.880]  黃昏你獻第二隻小公羊
[00:03:56.880 --> 00:04:03.600]  要照早晨的掃祭和銅獻的囂酒製獻上
[00:04:03.600 --> 00:04:06.480]  作為輕香的火製獻給耶和華
[00:04:06.480 --> 00:04:10.520]  在安息日要獻動物」
[00:04:10.520 --> 00:04:12.920]  我們稍後會看什麼動物
[00:04:12.920 --> 00:04:17.680]  「每月初一要將一些動物獻上
[00:04:17.680 --> 00:04:21.080]  正月十四日要向耶和華守禦月節
[00:04:21.480 --> 00:04:28.800]  七七初熟節就是你們獻初熟的穀物給耶和華為掃祭的那一天
[00:04:28.800 --> 00:04:33.640]  要宣告聖會任何勞動的工都不可做」
[00:04:33.640 --> 00:04:38.040]  我做了一個表
[00:04:38.040 --> 00:04:42.160]  是28至29章要獻什麼
[00:04:42.160 --> 00:04:44.040]  如果大家看這個表
[00:04:44.040 --> 00:04:46.760]  其實在這兩段經文中
[00:04:46.760 --> 00:04:49.160]  上帝說得很清楚
[00:04:50.000 --> 00:04:51.720]  每日要做什麼
[00:04:51.720 --> 00:04:53.560]  安息日要做什麼
[00:04:53.560 --> 00:04:56.720]  獻什麼供綿羊、供羊羔
[00:04:56.720 --> 00:05:00.400]  都寫得很清楚
[00:05:00.400 --> 00:05:04.400]  「如月節是紀念重新得救的日子
[00:05:04.400 --> 00:05:09.400]  無孝節是紀念重新得救的日子
[00:05:09.400 --> 00:05:14.640]  七七節是紀念讓人認識到上帝給了修成
[00:05:14.640 --> 00:05:16.640]  所以可以修葛」
[00:05:16.840 --> 00:05:18.200]  再看下去
[00:05:18.200 --> 00:05:22.520]  催國日是紀念人所犯
[00:05:22.520 --> 00:05:25.240]  我們要去審查所犯的罪
[00:05:25.240 --> 00:05:28.440]  然後上帝的赦免
[00:05:28.440 --> 00:05:32.120]  鑄盤節也有一至八天
[00:05:32.120 --> 00:05:34.520]  你會發覺每天
[00:05:34.520 --> 00:05:36.840]  這些以色列人
[00:05:36.840 --> 00:05:42.040]  都要分八天去獻上這些供物
[00:05:42.040 --> 00:05:44.440]  鑄盤節是說什麼呢?
[00:05:44.440 --> 00:05:47.520]  是紀念神拯救他的子民
[00:05:47.520 --> 00:05:49.720]  在日常生活中
[00:05:49.720 --> 00:05:51.960]  透過他的獻祭
[00:05:51.960 --> 00:05:56.160]  不斷與上帝建立關係
[00:05:56.160 --> 00:06:00.640]  28至29章
[00:06:00.640 --> 00:06:03.160]  剛才我們看了表格
[00:06:03.160 --> 00:06:07.440]  裡面的重點是說什麼呢?
[00:06:07.440 --> 00:06:09.360]  除了獻動物之外
[00:06:09.360 --> 00:06:15.880]  還有掃祭和酒祭
[00:06:15.880 --> 00:06:19.080]  與動物一起獻上
[00:06:19.080 --> 00:06:21.480]  全年共獻上
[00:06:21.480 --> 00:06:23.120]  如果這樣數
[00:06:23.120 --> 00:06:26.120]  有113隻公牛獨
[00:06:26.120 --> 00:06:28.120]  37隻公綿羊
[00:06:28.120 --> 00:06:31.760]  1093隻公羊羔作為飯祭
[00:06:31.760 --> 00:06:35.680]  好像是很多
[00:06:35.680 --> 00:06:37.680]  這裡說的獻祭
[00:06:37.680 --> 00:06:43.000]  是說明當他們到迦南地時
[00:06:43.000 --> 00:06:45.400]  他們要這樣做
[00:06:45.400 --> 00:06:47.080]  是說明給他們聽
[00:06:47.080 --> 00:06:49.600]  就像一個記錄在案
[00:06:49.600 --> 00:06:52.280]  祭物不是在乎多與少
[00:06:52.280 --> 00:06:55.080]  而是透過獻祭時
[00:06:55.080 --> 00:06:57.280]  提醒自己
[00:06:57.280 --> 00:07:00.080]  這群以色列人與上帝的關係
[00:07:00.080 --> 00:07:01.960]  還有另一個重點
[00:07:01.960 --> 00:07:04.560]  經文關注的不是自己
[00:07:04.560 --> 00:07:06.280]  而是整個群體
