
[00:00:00.000 --> 00:00:04.000]  大兄姐妹,大家平安
[00:00:04.000 --> 00:00:11.000]  今天我們繼續在哥林多前後書的講道系列
[00:00:11.000 --> 00:00:14.000]  今天的講道題目是
[00:00:14.000 --> 00:00:18.000]  你知道你在獻什麼嗎?
[00:00:18.000 --> 00:00:29.000]  這個題目是關於我們在教會裡捐獻的主題
[00:00:29.000 --> 00:00:33.000]  提起這些捐獻的主題
[00:00:33.000 --> 00:00:36.000]  我不知道大兄姐妹你即時會想起什麼
[00:00:36.000 --> 00:00:43.000]  我自己是一個充滿時代感和年代感的人
[00:00:43.000 --> 00:00:47.000]  我一想起捐獻
[00:00:47.000 --> 00:00:54.000]  就會想起我小時候很喜歡看籌款節目
[00:00:54.000 --> 00:00:59.000]  色笑,大家都很有年代感
[00:00:59.000 --> 00:01:04.000]  就是歡樂滿XX
[00:01:04.000 --> 00:01:07.000]  我很有印象
[00:01:07.000 --> 00:01:10.000]  在我年輕的時候看的時候
[00:01:10.000 --> 00:01:15.000]  總有幾年有個師傅出來耍功夫
[00:01:15.000 --> 00:01:22.000]  然後喝熱油,吃炭,表演這些節目
[00:01:22.000 --> 00:01:27.000]  另外總理會捐錢
[00:01:27.000 --> 00:01:31.000]  邀請歌星上台表演唱歌
[00:01:31.000 --> 00:01:37.000]  另外這些籌款節目很喜歡玩分隊遊戲
[00:01:37.000 --> 00:01:41.000]  當玩完遊戲的時候
[00:01:41.000 --> 00:01:46.000]  男主持矮矮的一個就會走出來
[00:01:46.000 --> 00:01:50.000]  各位總理既然玩得這麼開心
[00:01:50.000 --> 00:01:53.000]  不如我們臨場加碼
[00:01:53.000 --> 00:01:56.000]  不論輸贏,大家都捐多一點
[00:01:56.000 --> 00:01:59.000]  通常都會有這些情節出現
[00:01:59.000 --> 00:02:04.000]  我不知道這些安排是否一早就有
[00:02:04.000 --> 00:02:10.000]  但我想像如果真的臨場加碼
[00:02:10.000 --> 00:02:15.000]  我形容這一招是「揼心口籌款大法」
[00:02:15.000 --> 00:02:20.000]  主持公開問總理捐多一點
[00:02:20.000 --> 00:02:25.000]  難道在現場直播時就說「不要了,夠了」嗎
[00:02:25.000 --> 00:02:28.000]  很大壓力
[00:02:28.000 --> 00:02:31.000]  我自己很認同
[00:02:31.000 --> 00:02:36.000]  Benny牧師在之前的一篇訊息中提及過
[00:02:36.000 --> 00:02:39.000]  在一件事中
[00:02:39.000 --> 00:02:44.000]  無論事情的結果或效果是否很好
[00:02:44.000 --> 00:02:48.000]  我們都要認真思考
[00:02:48.000 --> 00:02:52.000]  事情或方法背後的動機
[00:02:52.000 --> 00:02:56.000]  或方法究竟是怎樣
[00:02:56.000 --> 00:03:00.000]  我們會發現在這些籌款節目
[00:03:00.000 --> 00:03:03.000]  背後的意識形態
[00:03:03.000 --> 00:03:09.000]  很容易灌輸我們一些觀念
[00:03:09.000 --> 00:03:15.000]  籌款很容易變成消費的行為
[00:03:15.000 --> 00:03:18.000]  例如我看你吃碳,你吃得多
[00:03:18.000 --> 00:03:22.000]  或者喝熱油,熱油夠熱夠熱
[00:03:22.000 --> 00:03:25.000]  我看得開心,我就捐多一點
[00:03:25.000 --> 00:03:31.000]  或我們會將捐獻看成工具
[00:03:31.000 --> 00:03:35.000]  換取我想得到的娛樂
[00:03:35.000 --> 00:03:41.000]  或捐獻是關乎面子、壓力
[00:03:41.000 --> 00:03:46.000]  或是背後不同的動機
[00:03:46.000 --> 00:03:52.000]  這些就是世界的運作模式和價值觀
[00:03:52.000 --> 00:03:55.000]  在我們的信仰中
[00:03:55.000 --> 00:03:59.000]  無論是金錢的奉獻
[00:03:59.000 --> 00:04:05.000]  或是我們整個人的觀念
[00:04:05.000 --> 00:04:11.000]  究竟聖經或我們的信仰是怎樣教導我們
[00:04:11.000 --> 00:04:15.000]  所以我們今天透過保羅向哥倫多教會
[00:04:15.000 --> 00:04:21.000]  分享馬其頓教會的捐獻見證
[00:04:21.000 --> 00:04:25.000]  成為我們在主中的提醒和教導
[00:04:25.000 --> 00:04:30.000]  首先說說今天信息的背景
