
[00:00:00.000 --> 00:00:02.000]  你有你的信念
[00:00:02.000 --> 00:00:04.000]  我有我的堅持
[00:00:04.000 --> 00:00:07.400]  持守真理
[00:00:07.400 --> 00:00:09.400]  是否注定要排他?
[00:00:09.400 --> 00:00:11.400]  如果真理不能妥協
[00:00:11.400 --> 00:00:14.400]  我們又如何愛未信的人呢?
[00:00:14.400 --> 00:00:26.400]  Dr.Wong
[00:00:26.400 --> 00:00:29.400]  很多人都認為基督教是排他的
[00:00:29.400 --> 00:00:31.400]  是的
[00:00:31.400 --> 00:00:33.400]  猶太教是排他的
[00:00:33.400 --> 00:00:35.400]  基督教是排他的
[00:00:35.400 --> 00:00:39.400]  實在回教也是排他的
[00:00:39.400 --> 00:00:42.400]  因為我們覺得我們有真理
[00:00:42.400 --> 00:00:45.400]  真理就是排他的
[00:00:45.400 --> 00:00:47.400]  你是對還是錯
[00:00:47.400 --> 00:00:49.400]  實在如此說
[00:00:49.400 --> 00:00:51.400]  科學也是排他的
[00:00:51.400 --> 00:00:53.400]  一加一是二
[00:00:53.400 --> 00:00:55.400]  如果不是就不是
[00:00:55.400 --> 00:00:56.400]  對不對?
[00:00:56.400 --> 00:00:59.400]  所以如果你相信真理
[00:00:59.400 --> 00:01:01.400]  就一定是排他性
[00:01:01.400 --> 00:01:04.400]  但如何去處理排他性呢?
[00:01:04.400 --> 00:01:06.400]  如果我覺得對的話,我會怎樣呢?
[00:01:06.400 --> 00:01:08.400]  我覺得最好的做法
[00:01:08.400 --> 00:01:13.400]  就是一種可以接納意見
[00:01:13.400 --> 00:01:16.400]  其他意見的排他性
[00:01:16.400 --> 00:01:18.400]  因為如果你這樣
[00:01:18.400 --> 00:01:21.400]  你就會開放跟人談
[00:01:21.400 --> 00:01:23.400]  就不會說我一定對
[00:01:23.400 --> 00:01:25.400]  你一定錯
[00:01:25.400 --> 00:01:27.400]  反而可以談,可以說
[00:01:27.400 --> 00:01:32.400]  這是最好的東西
[00:01:32.400 --> 00:01:35.400]  既然我們可以跟其他宗教作出理性討論
[00:01:35.400 --> 00:01:37.400]  我們可否集各宗教所長
[00:01:37.400 --> 00:01:39.400]  棄各宗教之短
[00:01:39.400 --> 00:01:41.400]  去創立一個理想宗教呢?
[00:01:41.400 --> 00:01:45.400]  如果一個宗教純粹是一種哲學就行
[00:01:45.400 --> 00:01:50.400]  但沒有宗教是純粹哲學
[00:01:50.400 --> 00:01:53.400]  我們覺得只有一條路去神
[00:01:53.400 --> 00:01:55.400]  有一個真神
[00:01:55.400 --> 00:01:57.400]  伊斯蘭教都是這樣說
[00:01:57.400 --> 00:01:59.400]  其他宗教都是這樣說
[00:01:59.400 --> 00:02:04.400]  你現在不是說我們說的神就是神
[00:02:04.400 --> 00:02:06.400]  究竟那個是不是真神
[00:02:06.400 --> 00:02:08.400]  所以如果純粹是哲學就行
[00:02:08.400 --> 00:02:11.400]  集思最好的哲學思想
[00:02:11.400 --> 00:02:14.400]  成為一個最好的哲學思想就行
[00:02:14.400 --> 00:02:16.400]  神這東西就不行
[00:02:16.400 --> 00:02:18.400]  要麼是真,要麼是不真
[00:02:18.400 --> 00:02:20.400]  因為我們覺得我們對
[00:02:20.400 --> 00:02:22.400]  可能每個人都覺得自己對
[00:02:22.400 --> 00:02:24.400]  所以我們會討論,甚至爭辯
[00:02:24.400 --> 00:02:27.400]  看誰有理由下跌
[00:02:27.400 --> 00:02:31.400]  這是反而最健康的做法
[00:02:31.400 --> 00:02:33.400]  大家不說反而不好
[00:02:33.400 --> 00:02:36.400]  因為你不說即是掩蓋
[00:02:36.400 --> 00:02:39.400]  不是沒有分別
[00:02:39.400 --> 00:02:42.400]  拿出來說反而大家知道
[00:02:42.400 --> 00:02:45.400]  有什麼是一樣,有什麼是不同
[00:02:45.400 --> 00:02:50.400]  和如何處理不同的意見
[00:02:50.400 --> 00:02:52.400]  我們的一神信仰
[00:02:52.400 --> 00:02:55.400]  其實都頗抗拒世界的文化風氣
[00:02:55.400 --> 00:02:57.400]  但同時我們又要愛人
[00:02:57.400 --> 00:02:59.400]  究竟應該如何拿捏
[00:02:59.400 --> 00:03:07.400]  所以愛和認同別人說的東西
[00:03:07.400 --> 00:03:09.400]  或者他的態度
[00:03:09.400 --> 00:03:12.400]  或者他的世界觀是不同的
[00:03:12.400 --> 00:03:16.400]  我們不需要認同別人的世界觀
[00:03:16.400 --> 00:03:19.400]  神愛罪人,我們愛罪人
[00:03:19.400 --> 00:03:23.400]  但我們不可以認同他們的罪惡
[00:03:23.400 --> 00:03:31.400]  所以我們應該愛罪人或其他人
[00:03:31.400 --> 00:03:35.400]  但我們不應該認同他們的價值觀
[00:03:35.400 --> 00:03:36.400]  或信仰
