
[00:00:00.000 --> 00:00:02.000]  第一位姐妹平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:09.000]  大家仍然很享受在敬拜的氛圍裏面
[00:00:09.000 --> 00:00:14.000]  有趣的是剛才我進來這個地方
[00:00:14.000 --> 00:00:17.000]  我選了全場最舒服的位置坐
[00:00:17.000 --> 00:00:22.000]  我特意選了一件我之前有穿過的衣服
[00:00:22.000 --> 00:00:25.000]  我都驚覺原來時間過得非常快
[00:00:25.000 --> 00:00:35.000]  這是我出年放產假前最後一次跟大家分享訊息
[00:00:35.000 --> 00:00:40.000]  所以都覺得上帝很特別
[00:00:40.000 --> 00:00:47.000]  讓我和大家在小力園堂的各位都有很特別的緣份
[00:00:47.000 --> 00:00:53.000]  雖然不是跟大家認識在座各位
[00:00:53.000 --> 00:00:58.000]  個別都可能有些經歷和你們一起去過不同的地方
[00:00:58.000 --> 00:01:00.000]  有不同的服侍 也有聊過天
[00:01:00.000 --> 00:01:04.000]  甚至可能很多人都未聊過天
[00:01:04.000 --> 00:01:07.000]  但又很熟悉大家的面孔
[00:01:07.000 --> 00:01:11.000]  這就是主理面群體很特別的地方
[00:01:11.000 --> 00:01:16.000]  盼望上帝都會使用孩子的信息和大家說話
[00:01:16.000 --> 00:01:18.000]  先問大家一個問題
[00:01:18.000 --> 00:01:24.000]  如果有一天上帝很清晰地跟你說
[00:01:24.000 --> 00:01:29.000]  你想我賜你什麼 你儘管開口說
[00:01:29.000 --> 00:01:32.000]  你會向上帝求什麼
[00:01:32.000 --> 00:01:35.000]  這麼千載難逢的機會
[00:01:35.000 --> 00:01:41.000]  很清晰地收到上帝給你儘管放膽去求一樣東西
[00:01:41.000 --> 00:01:44.000]  你會求什麼
[00:01:44.000 --> 00:01:47.000]  自己心裡去想
[00:01:47.000 --> 00:01:53.000]  曾經有一個皇帝經歷上帝如此的說話
[00:01:53.000 --> 00:01:57.000]  你想我賜你什麼 你儘管開口說
[00:01:57.000 --> 00:02:03.000]  結果上帝不單止去應允了他的祈禱
[00:02:03.000 --> 00:02:05.000]  說了什麼真的給
[00:02:05.000 --> 00:02:07.000]  還不止這樣
[00:02:07.000 --> 00:02:13.000]  還要額外賞賜了他一些他都沒有求的好東西
[00:02:13.000 --> 00:02:17.000]  究竟這個皇帝是如何回應的呢
[00:02:17.000 --> 00:02:21.000]  你又想不想你向上帝祈禱的時候
[00:02:21.000 --> 00:02:24.000]  上帝不單止應允你的祈禱
[00:02:24.000 --> 00:02:29.000]  還要給你更多超乎你想要的東西
[00:02:29.000 --> 00:02:31.000]  很想要吧
[00:02:31.000 --> 00:02:38.000]  所以我們今天透過所羅門和上帝的對話
[00:02:38.000 --> 00:02:40.000]  我們一起學習
[00:02:40.000 --> 00:02:45.000]  究竟所羅門的祈禱有什麼特別呢
[00:02:45.000 --> 00:02:50.000]  同時帶給我們一些有關祈禱的反思
[00:02:50.000 --> 00:02:57.000]  我們今天要看的經文是在《獵王記》上的三章五至十五節
[00:02:57.000 --> 00:03:02.000]  在讀經文之前不得不提一點點的背景
[00:03:02.000 --> 00:03:06.000]  就是當上帝和所羅門說話的時候
[00:03:06.000 --> 00:03:09.000]  究竟所羅門在那段時期是在經歷的
[00:03:09.000 --> 00:03:12.000]  或者他剛剛經歷完什麼
[00:03:12.000 --> 00:03:15.000]  在讀經文之前大家猜猜
[00:03:15.000 --> 00:03:18.000]  或者你有沒有印象他去求什麼
[00:03:18.000 --> 00:03:23.000]  而他在什麼情況下會突然向上帝求這些呢
[00:03:23.000 --> 00:03:25.000]  大家當中有聖經
[00:03:25.000 --> 00:03:27.000]  你可以去翻開聖經
[00:03:27.000 --> 00:03:31.000]  你可以由《獵王記》上的第一章開始很快地去看
[00:03:31.000 --> 00:03:33.000]  快到你只看它的主題
[00:03:33.000 --> 00:03:36.000]  就大概知道發生什麼事
[00:03:36.000 --> 00:03:39.000]  我就很簡單的去看
[00:03:39.000 --> 00:03:43.000]  無論是網上聖經還是實體聖經
[00:03:43.000 --> 00:03:49.000]  都會有些sub-topic幫助大家去看
[00:03:49.000 --> 00:03:53.000]  《獵王記》上從第一章開始提到的keyword是什麼呢
[00:03:53.000 --> 00:03:56.000]  大衛王的晚年
[00:03:56.000 --> 00:04:00.000]  亞多尼亞謀篡王位
[00:04:00.000 --> 00:04:02.000]  所羅門被立為王
[00:04:02.000 --> 00:04:05.000]  大衛給所羅門的遺訓
[00:04:05.000 --> 00:04:07.000]  大衛壽終
[00:04:07.000 --> 00:04:09.000]  亞多尼亞的死
[00:04:09.000 --> 00:04:12.000]  亞比亞他被廢和虐押的死
