
[00:00:00.000 --> 00:00:07.440]  謝謝William和敬拜隊帶我們有一個很好的敬拜時間
[00:00:07.440 --> 00:00:12.240]  今天是一個自由的題目
[00:00:12.240 --> 00:00:18.960]  我會和Audrey開始這兩個星期講二創的書
[00:00:18.960 --> 00:00:22.640]  今天我的題目是愚民和愚民
[00:00:22.640 --> 00:00:25.600]  我不知道兩個發音有什麼分別
[00:00:25.600 --> 00:00:27.840]  意思有些不同
[00:00:27.840 --> 00:00:35.280]  是講二創的書的愚民概念或觀念
[00:00:35.280 --> 00:00:37.200]  為什麼會講二創的書呢?
[00:00:37.200 --> 00:00:41.840]  講一些故事和要敬拜四位年輕人
[00:00:41.840 --> 00:00:46.640]  在四個月前,疫情還沒有開始
[00:00:46.640 --> 00:00:49.280]  我們還有一個實體崇拜的時候
[00:00:49.280 --> 00:00:55.040]  有三位年輕人說我們要一起靈修
[00:00:55.040 --> 00:00:58.400]  他們每天會看一張經文
[00:00:58.400 --> 00:01:03.520]  然後會打一些靈修筆記在WhatsApp群組出現
[00:01:03.520 --> 00:01:10.320]  之前的兩個月他們用了差不多兩個月的時間看二創的書
[00:01:10.320 --> 00:01:16.240]  他們不單只是打筆記,還創作歌曲
[00:01:16.240 --> 00:01:17.680]  非常厲害
[00:01:17.680 --> 00:01:20.640]  所以我和Audrey就在想
[00:01:20.640 --> 00:01:24.800]  我們也不只是根據而是被他們激發
[00:01:24.800 --> 00:01:28.640]  不如我們也分享一下二創的書的一些訊息
[00:01:28.640 --> 00:01:34.320]  下一次Audrey會帶上他們的歌曲
[00:01:34.320 --> 00:01:36.320]  會不會一起唱呢?
[00:01:36.320 --> 00:01:39.600]  會唱的,那就可以洗耳恭聽了
[00:01:39.600 --> 00:01:43.280]  今天的題目是愚民和愚民
[00:01:43.280 --> 00:01:48.960]  第一個愚民是講愚蠢的人民
[00:01:48.960 --> 00:01:54.880]  其實這個觀念是來自一個管治的策略
[00:01:54.880 --> 00:01:56.480]  一個愚民政策
[00:01:56.480 --> 00:02:00.400]  維基百科裡面說什麼是愚民政策呢?
