
[00:00:00.000 --> 00:00:03.400]  好,各位弟兄姊妹,你們好
[00:00:03.400 --> 00:00:08.060]  最重要是大家平平安安,身體健康
[00:00:08.060 --> 00:00:14.540]  因為最近流感很厲害,我已經中了招很久了
[00:00:14.540 --> 00:00:16.840]  咳嗽很久了,現在好一點了
[00:00:16.840 --> 00:00:19.740]  剛剛去完火山,前兩個星期
[00:00:19.740 --> 00:00:23.340]  去完泰國回來病了很多個星期
[00:00:23.340 --> 00:00:25.340]  不能出聲
[00:00:25.340 --> 00:00:29.020]  不過今天可以出聲了,不過不會很大聲
[00:00:29.020 --> 00:00:35.480]  首先說聲不好意思,你們拿著歌詞
[00:00:35.480 --> 00:00:37.480]  上面有個講題叫做
[00:00:37.480 --> 00:00:41.120]  教會合一,扶持指效的現實問題
[00:00:41.120 --> 00:00:44.360]  我們不會重覆這些主題,因為是上個星期的
[00:00:44.360 --> 00:00:47.600]  上個星期,先說聲不好意思
[00:00:47.600 --> 00:00:52.000]  今天是講天開了六,最後一講天開了
[00:00:52.000 --> 00:00:54.340]  與主同真戰
[00:00:54.340 --> 00:00:58.300]  這麼久,大家耳巴衝突的時候
[00:00:58.300 --> 00:01:03.620]  我知道大家都很勤奮地上YouTube看東西
[00:01:03.620 --> 00:01:05.620]  天天都看
[00:01:05.620 --> 00:01:08.380]  在YouTube經常有很多講論
[00:01:08.380 --> 00:01:12.460]  很多講創世紀,怎樣帶出阿伯拉罕
[00:01:12.460 --> 00:01:15.920]  而引發這些耳巴衝突
[00:01:15.920 --> 00:01:18.340]  還有一些講到啟示錄
[00:01:18.340 --> 00:01:22.420]  啟示錄講到,好像來了
[00:01:22.420 --> 00:01:25.140]  主宰來了,好像真的了
[00:01:25.140 --> 00:01:28.540]  大家小心一點
[00:01:28.540 --> 00:01:32.880]  記不記得,是有困難的,什麼時間都有困難
[00:01:32.880 --> 00:01:34.880]  記不記得初期教會的時候
[00:01:34.880 --> 00:01:37.380]  羅馬政府怎樣逼迫基督徒
