
[00:00:00.000 --> 00:00:03.000]  各位大影姊妹午安
[00:00:03.000 --> 00:00:06.000]  明天母親節
[00:00:06.000 --> 00:00:09.000]  在座有沒有母親?
[00:00:09.000 --> 00:00:14.000]  祝大家的母親節快樂
[00:00:14.000 --> 00:00:17.000]  我們在崇拜完結後
[00:00:17.000 --> 00:00:24.000]  除了向血緣上的母親表達感激和祝福
[00:00:24.000 --> 00:00:29.000]  我們也向屬靈上的母親表達祝福和感激
[00:00:29.000 --> 00:00:33.000]  他們在我們生命的成長中都很重要
[00:00:33.000 --> 00:00:36.000]  而且為我們付出了很多的角色
[00:00:36.000 --> 00:00:40.000]  今天的訊息和母親節完全無關
[00:00:40.000 --> 00:00:47.000]  很感恩地我最近做了爸爸
[00:00:47.000 --> 00:00:50.000]  四月初的時候
[00:00:50.000 --> 00:00:55.000]  太太在醫院很平安地生了女兒
[00:00:55.000 --> 00:01:00.000]  當時我有一個很深刻的經歷
[00:01:00.000 --> 00:01:04.000]  我太太在嬰兒出生前的三天
[00:01:04.000 --> 00:01:08.000]  開始有陣痛就進醫院等待生育
[00:01:08.000 --> 00:01:11.000]  到生育前的凌晨
[00:01:11.000 --> 00:01:13.000]  她先穿了羊水
[00:01:13.000 --> 00:01:16.000]  很快就安排進了產房
[00:01:16.000 --> 00:01:18.000]  立即打給我
[00:01:18.000 --> 00:01:20.000]  凌晨飛的就進了醫院
[00:01:20.000 --> 00:01:22.000]  是很感恩的
[00:01:22.000 --> 00:01:30.000]  我和太太在產房經歷了等待生育和生育的過程
[00:01:30.000 --> 00:01:33.000]  但當中的過程中
[00:01:33.000 --> 00:01:37.000]  我有一個感覺是很無助
[00:01:37.000 --> 00:01:38.000]  為什麼呢?
[00:01:38.000 --> 00:01:42.000]  因為到我太太生育前的幾個小時
[00:01:42.000 --> 00:01:44.000]  她開始陣痛得很厲害
[00:01:44.000 --> 00:01:46.000]  然後每幾分鐘
[00:01:46.000 --> 00:01:51.000]  就有一次半分鐘或最後一分鐘的痛
[00:01:51.000 --> 00:01:55.000]  但令人很折磨的是
[00:01:55.000 --> 00:01:59.000]  原來不是媽媽有陣痛
[00:01:59.000 --> 00:02:02.000]  就可以立即安排生育
[00:02:02.000 --> 00:02:05.000]  而是要等到痛得很穩定
[00:02:05.000 --> 00:02:09.000]  每兩分鐘痛一次
[00:02:09.000 --> 00:02:15.000]  然後順產接生的程序才可以開始
[00:02:15.000 --> 00:02:18.000]  所以當時我和太太在產房等
[00:02:18.000 --> 00:02:21.000]  陣痛越來越密和越來越痛
[00:02:21.000 --> 00:02:24.000]  夠密和夠痛才可以生育
[00:02:24.000 --> 00:02:26.000]  那時我可以做什麼呢?
[00:02:26.000 --> 00:02:28.000]  其實就是什麼都做不到
[00:02:28.000 --> 00:02:31.000]  只能夠坐在旁邊
[00:02:31.000 --> 00:02:35.000]  學病房的姑娘叫我太太放鬆
[00:02:35.000 --> 00:02:38.000]  但誰不知道媽媽是女人
[00:02:38.000 --> 00:02:40.000]  說著說著的時候
[00:02:40.000 --> 00:02:42.000]  我都覺得姑娘都說了這麼多次
[00:02:42.000 --> 00:02:45.000]  我太太肯定知道要放鬆
[00:02:45.000 --> 00:02:47.000]  不用我說了
[00:02:47.000 --> 00:02:53.000]  我腔內除了能夠一直說著放鬆
[00:02:53.000 --> 00:02:57.000]  然後手內不斷做安撫動作
[00:02:57.000 --> 00:03:00.000]  其實我已經沒有什麼可以做了
[00:03:00.000 --> 00:03:03.000]  沒有什麼可以令我太太覺得舒服一點
[00:03:03.000 --> 00:03:07.000]  或者沒那麼辛苦
[00:03:07.000 --> 00:03:09.000]  我們一直等
[00:03:09.000 --> 00:03:11.000]  等到痛了
[00:03:11.000 --> 00:03:13.000]  無助了幾個小時
[00:03:13.000 --> 00:03:16.000]  終於有姑娘說進來我們要準備生育
[00:03:16.000 --> 00:03:18.000]  聽別人說
[00:03:18.000 --> 00:03:21.000]  或者大家看大台的劇
[00:03:21.000 --> 00:03:26.000]  老公在陪老婆接生的過程中
[00:03:26.000 --> 00:03:29.000]  唯一可以做的最重要的角色是什麼呢?
[00:03:29.000 --> 00:03:32.000]  看電視就是要牽手出來
[00:03:32.000 --> 00:03:34.000]  被老婆捉住
[00:03:34.000 --> 00:03:36.000]  用來借力 用來發洩
[00:03:36.000 --> 00:03:40.000]  很痛要叫 要拿著東西
[00:03:40.000 --> 00:03:42.000]  但原來在現實中
[00:03:42.000 --> 00:03:46.000]  姑娘根本不會叫太太去捉住老公
[00:03:46.000 --> 00:03:48.000]  太太只有兩個選擇
[00:03:48.000 --> 00:03:50.000]  要麼捉住床
[00:03:50.000 --> 00:03:53.000]  左右兩邊有兩個手把
[00:03:53.000 --> 00:03:56.000]  要麼太太捉住自己兩隻大腿
[00:03:56.000 --> 00:03:59.000]  不會叫你捉住老公
[00:03:59.000 --> 00:04:00.000]  就是這樣
[00:04:00.000 --> 00:04:02.000]  我唯一在房間裡
[00:04:02.000 --> 00:04:06.000]  原本以為有的作用都沒有了
[00:04:06.000 --> 00:04:09.000]  一直等進產房的時候
[00:04:09.000 --> 00:04:10.000]  等她生的時候
[00:04:10.000 --> 00:04:13.000]  我都會在口裡說放鬆放鬆
[00:04:13.000 --> 00:04:14.000]  但到生的時候
[00:04:14.000 --> 00:04:15.000]  我真的不知道該說什麼
[00:04:15.000 --> 00:04:17.000]  因為生不是要放鬆
[00:04:17.000 --> 00:04:19.000]  是要出力
[00:04:19.000 --> 00:04:23.000]  那時候只有姑娘才知道
[00:04:23.000 --> 00:04:25.000]  什麼時候要放鬆
[00:04:25.000 --> 00:04:27.000]  什麼時候要用力
[00:04:27.000 --> 00:04:29.000]  如果我在叫姑娘用力的時候
[00:04:29.000 --> 00:04:30.000]  我說放鬆不可行
[00:04:30.000 --> 00:04:31.000]  叫她放鬆
[00:04:31.000 --> 00:04:33.000]  我叫她用力也不可行
