
[00:00:00.000 --> 00:00:03.640]  耶穌說:「律法的一點一滑都不可以廢去」
[00:00:03.640 --> 00:00:06.840]  那我們今天是否還需要遵守十戒?
[00:00:06.840 --> 00:00:10.120]  十戒兩塊法板,飽歷封上
[00:00:10.120 --> 00:00:12.120]  究竟今天去了哪裡?
[00:00:12.120 --> 00:00:15.320]  繼續由黃福光教授為我們解答
[00:00:15.320 --> 00:00:30.640]  (十戒)
[00:00:30.640 --> 00:00:32.320]  Dr. Wong,在新約裏面
[00:00:32.320 --> 00:00:35.920]  我們見到律法的精義是愛神愛人
[00:00:35.920 --> 00:00:37.960]  這個精義和舊約的十戒
[00:00:37.960 --> 00:00:40.880]  或者其他律例典章的關係在哪裏?
[00:00:40.880 --> 00:00:44.760]  耶穌說到要愛神愛人那刻
[00:00:44.760 --> 00:00:49.040]  很可能不是第一個這樣說
[00:00:49.040 --> 00:00:52.480]  因為一直傳到第二聖殿
[00:00:52.480 --> 00:00:54.120]  很多人都有想過
[00:00:54.120 --> 00:00:55.720]  實在有這麼多條戒名
[00:00:55.720 --> 00:01:00.760]  有沒有一些原則是框持所有戒名?
[00:01:00.760 --> 00:01:03.760]  所以有些拉比都開始想
[00:01:03.760 --> 00:01:06.320]  向神和向人
[00:01:06.320 --> 00:01:12.240]  向神就是要專於神為神
[00:01:12.240 --> 00:01:14.360]  人就是要愛
[00:01:14.360 --> 00:01:19.000]  其他就和這兩條戒名有關係
[00:01:19.000 --> 00:01:21.800]  很可能耶穌未必是第一個這樣說
[00:01:21.800 --> 00:01:25.480]  現代的基督徒其實還需要遵守十戒嗎?
[00:01:25.480 --> 00:01:28.080]  是的,實在很多時候
[00:01:28.080 --> 00:01:30.680]  我教到這部分的時候
[00:01:30.680 --> 00:01:34.040]  我都問學生是否需要遵守十戒
[00:01:34.040 --> 00:01:36.600]  很多學生都很保守
[00:01:36.600 --> 00:01:38.480]  當然是先說「Yes」
[00:01:38.480 --> 00:01:40.240]  我會問他們
[00:01:40.240 --> 00:01:42.400]  我們是否需要遵守安息日?
[00:01:42.400 --> 00:01:44.440]  我們是不需要遵守安息日
[00:01:44.440 --> 00:01:47.680]  有些遵守,有些不遵守
[00:01:47.680 --> 00:01:51.160]  答案是我們不是在律法之下
[00:01:51.160 --> 00:01:54.560]  所以我們是不需要遵守摩西律法
[00:01:54.560 --> 00:01:56.120]  包括十戒
[00:01:56.120 --> 00:01:57.720]  你問是否甚麼都不用理會?
[00:01:57.720 --> 00:01:58.760]  又不是
[00:01:58.760 --> 00:02:02.360]  因為對神來說是對的
[00:02:02.360 --> 00:02:05.760]  不是純粹因為有戒名所以是對的
[00:02:05.760 --> 00:02:07.200]  它是對就因為是對
[00:02:07.200 --> 00:02:09.200]  這是立法
[00:02:09.200 --> 00:02:12.200]  沒有戒名之後那件事都是對的
[00:02:12.200 --> 00:02:16.560]  所以我們會遵守十戒的原則
[00:02:16.560 --> 00:02:17.800]  我們不是遵守十戒
[00:02:17.800 --> 00:02:22.920]  因為我們不是在十戒摩西律法之下遵守
[00:02:22.920 --> 00:02:25.880]  但我們遵守它的原則
[00:02:25.880 --> 00:02:27.240]  或者它的精神
[00:02:27.240 --> 00:02:30.800]  原因就是因為要得神喜悅
[00:02:30.800 --> 00:02:32.080]  我給你一個例子
[00:02:32.080 --> 00:02:34.400]  我剛才說遵守安息日
[00:02:34.400 --> 00:02:35.920]  我們不需要遵守安息日
[00:02:35.920 --> 00:02:37.560]  因為我們不是猶太人
[00:02:37.560 --> 00:02:42.000]  但神說要分別為聖一天出來敬拜
[00:02:42.000 --> 00:02:44.040]  我們都會做這件事
[00:02:44.040 --> 00:02:46.000]  但因為我們不在律法之下
[00:02:46.000 --> 00:02:51.840]  所以我們的做法不是完全遵守摩西律法
[00:02:51.840 --> 00:02:54.400]  分別為聖那一天可以是星期日
[00:02:54.400 --> 00:02:59.640]  實際某些情況下我們可以改日子
[00:02:59.640 --> 00:03:02.240]  或者把它分開兩個時間
[00:03:02.240 --> 00:03:06.120]  這就是遵守精神原則
[00:03:06.120 --> 00:03:07.840]  而不是遵守法律
[00:03:07.840 --> 00:03:10.960]  知道猶太教也有和十戒相關的文獻
[00:03:10.960 --> 00:03:12.720]  例如塔木德
[00:03:12.720 --> 00:03:15.440]  究竟我們可否參考這些典籍呢?
[00:03:15.440 --> 00:03:17.640]  塔木德
[00:03:17.640 --> 00:03:23.760]  塔木德是解釋摩西律法的書
[00:03:23.760 --> 00:03:28.120]  很多猶太人就算不懂聖經
[00:03:28.120 --> 00:03:30.200]  不懂希伯來文聖經
[00:03:30.200 --> 00:03:32.280]  他們也會懂得塔木德
[00:03:32.280 --> 00:03:35.680]  因為這就是解釋律法的東西
[00:03:35.680 --> 00:03:38.640]  如果你問我可否參考
[00:03:38.640 --> 00:03:39.840]  是可以參考的
[00:03:39.840 --> 00:03:41.800]  但沒有權威性
[00:03:41.800 --> 00:03:44.800]  我們的權威就是聖經
[00:03:44.800 --> 00:03:46.520]  其他書也可以參考
[00:03:46.520 --> 00:03:47.960]  但沒有權威性
[00:03:47.960 --> 00:03:49.600]  我們在網上看到有人問
[00:03:49.600 --> 00:03:52.560]  神頒布十戒已經是很久之前的事
[00:03:52.560 --> 00:03:55.360]  究竟現在兩塊石板在哪裏呢?
[00:03:55.360 --> 00:03:57.440]  基本上我們是不知道的
[00:03:57.440 --> 00:03:59.800]  王上八章
[00:03:59.800 --> 00:04:01.520]  在所羅門時
[00:04:01.520 --> 00:04:04.760]  兩塊石板是在藥櫃裏面的
[00:04:04.760 --> 00:04:06.560]  希伯來書九章也是這樣說
[00:04:06.560 --> 00:04:09.560]  不過希伯來書加了一件事
[00:04:09.560 --> 00:04:15.320]  馬拿、一罐馬拿和阿倫的匠都在裏面
[00:04:15.320 --> 00:04:18.040]  即是可能不同時間有不同的東西
[00:04:18.040 --> 00:04:20.000]  可能有些不見了
[00:04:20.000 --> 00:04:23.360]  但今天我們不知道藥櫃在哪裏
[00:04:23.360 --> 00:04:25.280]  藥櫃可能
[00:04:25.280 --> 00:04:28.760]  傳統說耶利米先知在攻城前
[00:04:28.760 --> 00:04:31.520]  就被埋藥櫃
[00:04:31.520 --> 00:04:33.000]  但不知道藥櫃在哪裏
[00:04:33.000 --> 00:04:35.840]  當然也可以在攻城時燒毀
[00:04:35.840 --> 00:04:37.520]  如果是這樣就沒有藥櫃了
[00:04:37.520 --> 00:04:39.520]  (字幕製作:貝爾)
[00:04:39.520 --> 00:04:41.520]  (字幕製作/時間軸:秋月AutumnMoon)
[00:04:41.520 --> 00:04:43.520]  (字幕製作:貝爾)

