
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹請坐
[00:00:02.000 --> 00:00:08.000]  今天應該是年十一
[00:00:08.000 --> 00:00:12.000]  想跟大家拜年的時候
[00:00:12.000 --> 00:00:16.000]  我祝福各位生命是蒙主的喜悅
[00:00:16.000 --> 00:00:19.000]  生活堅壯有力
[00:00:19.000 --> 00:00:25.000]  而且生心靈都可以活在神的愛當中
[00:00:25.000 --> 00:00:32.000]  很重要的,我們信徒的生命其實要建基在神的愛當中
[00:00:32.000 --> 00:00:39.000]  如果我們不懂得進入神的愛當中
[00:00:39.000 --> 00:00:42.000]  我們很多時候就會到處找
[00:00:42.000 --> 00:00:44.000]  我們到處找那些供應
[00:00:44.000 --> 00:00:48.000]  就算神給了我們,我們都看不到,感受不到
[00:00:48.000 --> 00:00:52.000]  也不能夠被祂祝福
[00:00:52.000 --> 00:00:54.000]  所以很重要
[00:00:54.000 --> 00:00:58.000]  很多時候那些供應是化了妝的
[00:00:58.000 --> 00:01:04.000]  那些供應是讓我們看到我們不想要的
[00:01:04.000 --> 00:01:08.000]  甚至強迫我們要進入
[00:01:08.000 --> 00:01:10.000]  但不要緊
[00:01:10.000 --> 00:01:12.000]  當我們是屬神的子民
[00:01:12.000 --> 00:01:14.000]  在他榮耀的角度裡
[00:01:14.000 --> 00:01:22.000]  神會帶領我們一步一步邁入供應裡真真正正的祝福
[00:01:22.000 --> 00:01:25.000]  問題在於哪裡呢?
[00:01:25.000 --> 00:01:28.000]  問題在於我們能不能聽到
[00:01:28.000 --> 00:01:33.000]  問題在於我們在世界裡到處找的時候
[00:01:33.000 --> 00:01:36.000]  我們聽不到神的聲音
[00:01:36.000 --> 00:01:42.000]  甚至神用覺醒來提醒我們的時候
[00:01:42.000 --> 00:01:47.000]  我們都可能麻木了,不知道發生什麼事
[00:01:47.000 --> 00:01:51.000]  今天我們繼續是舊約經卷系列阿摩斯書
[00:01:51.000 --> 00:01:56.000]  主題是專起麻衣迎來復興
