
[00:00:00.000 --> 00:00:03.000]  好,各位弟兄姊妹,晚安!
[00:00:03.000 --> 00:00:08.000]  歡迎大家來到第四場的陪寧會
[00:00:08.000 --> 00:00:14.000]  之前的三場有三位院長和我們就著不同的經文去分享一個訊息
[00:00:14.000 --> 00:00:17.000]  叫做破繭重生
[00:00:17.000 --> 00:00:21.000]  破繭重生的意思就是,我想大家都明白了
[00:00:21.000 --> 00:00:28.000]  就好像由蟲蝉轉化成為蝴蝶,在當中經歷很多蛻變,經歷很多的過程,經歷很多的掙扎
[00:00:28.000 --> 00:00:35.000]  最終能夠在當中成為一個很美麗的蝴蝶,開始人生新的一頁
[00:00:35.000 --> 00:00:38.000]  我不知道你有沒有覺得信徒的生命都是這樣
[00:00:38.000 --> 00:00:42.000]  特別當我們這幾年來都面對很多的挑戰,很多的困難
[00:00:42.000 --> 00:00:46.000]  我不知道你這幾年來經歷過什麼
[00:00:46.000 --> 00:00:54.000]  過去有一句話,我都忘記了,是否叫巴士叔叔說的一句話
[00:00:54.000 --> 00:00:57.000]  你有壓力,我也有壓力
[00:00:57.000 --> 00:01:03.000]  我記得第二場的陪寧會,蔡小琪牧師院長很喜歡叫你和旁邊的人說話
[00:01:03.000 --> 00:01:06.000]  你有沒有去,我試一下
[00:01:06.000 --> 00:01:09.000]  你和旁邊的人說,你有壓力,我也有壓力
[00:01:09.000 --> 00:01:11.000]  你有困難,我也有困難
[00:01:11.000 --> 00:01:18.000]  說真的,你有沒有壓力
[00:01:18.000 --> 00:01:23.000]  大家活在世上,不要說只是活在香港,活在世上
[00:01:23.000 --> 00:01:29.000]  有誰沒有壓力,從小到大,到年長的都會面對很多不同的壓力
[00:01:29.000 --> 00:01:37.000]  面對困難,我們都會有,無論是自身生命,經歷人生,面對外在環境,我們都充滿很多困難
[00:01:37.000 --> 00:01:43.000]  如果我們今天的眼目,作為信徒的眼目,只停留在今天我們所面對的困難中
[00:01:43.000 --> 00:01:45.000]  其實我們很難過日子
[00:01:45.000 --> 00:01:50.000]  求主幫助我們以一個新的眼界去看回我們今天的生命
[00:01:50.000 --> 00:01:55.000]  沒錯,今天的世代越來越紛亂,是事實
[00:01:55.000 --> 00:02:01.000]  但今天上帝呼召信徒,不只是定徵在困難的裏面
[00:02:01.000 --> 00:02:07.000]  雖然這個世代充滿了很多挑戰困難,甚至危機
[00:02:07.000 --> 00:02:14.000]  但我自己很相信,上帝今天要差派更多的工人進入到世界不同的角落裏面
[00:02:14.000 --> 00:02:18.000]  繼續去承擔他給我們的使命方向的目標
[00:02:18.000 --> 00:02:22.000]  問題是,今天的回應是甚麼呢?
[00:02:22.000 --> 00:02:27.000]  今天很想和大家看《若霜雅記》第24章的一段經文
[00:02:27.000 --> 00:02:35.000]  當我們看經文之前,想和大家看看當我們今天面對這個世代,我們面對甚麼挑戰
