
[00:00:00.000 --> 00:00:04.000]  大姐兄姊妹們,大家好,平安
[00:00:04.000 --> 00:00:08.000]  來到小力園堂第九講的系列
[00:00:08.000 --> 00:00:12.000]  我們正在看馬可福音
[00:00:12.000 --> 00:00:18.000]  我改了一個名字,叫做「活出十字架的生命」
[00:00:18.000 --> 00:00:23.000]  我不知道,想起基督教或者我們信主的年日
[00:00:23.000 --> 00:00:27.000]  我們基督教也會有一點點象徵符號
[00:00:27.000 --> 00:00:31.000]  最普遍的就是十字架
[00:00:31.000 --> 00:00:33.000]  當我們信了耶穌之後
[00:00:33.000 --> 00:00:37.000]  我們可能會用十字架的項鍊或飾物
[00:00:37.000 --> 00:00:41.000]  去提醒耶穌基督的救贖和犧牲
[00:00:41.000 --> 00:00:45.000]  又或者我們看到有些符號是聖經
[00:00:45.000 --> 00:00:49.000]  在我們這個教育中,必然是一個核心
[00:00:49.000 --> 00:00:51.000]  因為上帝的道
[00:00:51.000 --> 00:00:55.000]  可能你會看到有些符號是甲子
[00:00:55.000 --> 00:00:59.000]  是聖靈與我們同在,平安
[00:00:59.000 --> 00:01:03.000]  不知道大家有沒有用耶穌的羽
[00:01:03.000 --> 00:01:06.000]  成為你們的飾物去送給別人呢?
[00:01:06.000 --> 00:01:10.000]  耶穌的羽裡面有五個字
[00:01:10.000 --> 00:01:15.000]  這五個希臘文其實是拿了頭的字母
[00:01:15.000 --> 00:01:21.000]  是承認耶穌基督是上帝的兒子,是救贖主
[00:01:21.000 --> 00:01:25.000]  以前是一個暗號
[00:01:25.000 --> 00:01:31.000]  在當時的世代裡,基督是很被逼迫的
[00:01:31.000 --> 00:01:33.000]  所以當他畫一半的時候
[00:01:33.000 --> 00:01:36.000]  另一個暗號就畫了一半
[00:01:36.000 --> 00:01:40.000]  可以寫進去的字就是「我們是自己人」
[00:01:40.000 --> 00:01:46.000]  我自己在想,我們沙浸有沒有暗號呢?
[00:01:46.000 --> 00:01:55.000]  如果我說我們是實踐大使命都不知道
[00:01:55.000 --> 00:01:59.000]  我們沙浸在說用什麼去實踐大使命呢?
[00:01:59.000 --> 00:02:02.000]  有上下
[00:02:02.000 --> 00:02:04.000]  唉,真是太好了
[00:02:04.000 --> 00:02:07.000]  有人回答「上下」,來愛
[00:02:07.000 --> 00:02:09.000]  愛神愛人,學道傳道
[00:02:09.000 --> 00:02:14.000]  我們經常說的,原來這個暗號不是很多人知道
[00:02:14.000 --> 00:02:17.000]  我一來到沙浸就經常被洗腦
[00:02:17.000 --> 00:02:20.000]  「茉莉格,你上新人組吧」
[00:02:20.000 --> 00:02:23.000]  「你去教教育會班吧」
