
[00:00:00.000 --> 00:00:04.000]  今天跟大家思想共創喜樂新機
[00:00:04.000 --> 00:00:06.000]  我們思想羅馬書15章
[00:00:06.000 --> 00:00:13.000]  我們看到當今世代充斥著弱弱強弛的叢林法則
[00:00:13.000 --> 00:00:19.000]  用一種靈和遊戲的心態去充斥這個世代
[00:00:19.000 --> 00:00:26.000]  在這個世界現在剩下的好像只是權力、資源和掠奪
[00:00:26.000 --> 00:00:32.000]  我們在新聞裏面看到格陵蘭人聲明已經說到
[00:00:32.000 --> 00:00:36.000]  他們拒絕歸屬於任何一個人
[00:00:36.000 --> 00:00:38.000]  但仍然有權有勢的人
[00:00:38.000 --> 00:00:41.000]  揚言都要得到格陵蘭
[00:00:41.000 --> 00:00:48.000]  我們近來關稅關稅在新聞紙裏面都聽得很熟
[00:00:48.000 --> 00:00:54.000]  其實關稅現在很多的評論都比喻為一個七傷拳
[00:00:54.000 --> 00:00:59.000]  你想贏七成,但自己都打到自己內傷
[00:00:59.000 --> 00:01:06.000]  事實上我們看到不少工廠的生產線停產
[00:01:06.000 --> 00:01:10.000]  亦有很多貨品將會大幅加價
[00:01:10.000 --> 00:01:13.000]  亦出現了一種別人貪婪
[00:01:13.000 --> 00:01:18.000]  他恐懼的心態都有這些情況出現
[00:01:18.000 --> 00:01:26.000]  有些商家提早在關稅實施的時候已經發貨到海外
[00:01:26.000 --> 00:01:33.000]  當海外的地區商家的存貨沒有了
[00:01:33.000 --> 00:01:36.000]  他們就有一個以價權的能力
[00:01:36.000 --> 00:01:42.000]  你會發覺最後都是消費者去買單
[00:01:42.000 --> 00:01:50.000]  我們看到這幾年充斥著各類型的騙案
[00:01:50.000 --> 00:01:52.000]  是相當嚴重的
[00:01:52.000 --> 00:01:54.000]  令人與人之間失去了互信
[00:01:54.000 --> 00:02:00.000]  現在你會發覺在街上見到一些很有需要的人
[00:02:00.000 --> 00:02:02.000]  你會開始想他是不是真的有需要呢?
[00:02:02.000 --> 00:02:04.000]  會不會是假的呢?
[00:02:04.000 --> 00:02:08.000]  有一次在崇拜開始之前
[00:02:08.000 --> 00:02:14.000]  有位長者拿著電話很心急請我為他祈禱
[00:02:14.000 --> 00:02:17.000]  我以為他家裡發生什麼事
[00:02:17.000 --> 00:02:20.000]  他說他打來了
[00:02:20.000 --> 00:02:21.000]  我說什麼呢?
[00:02:21.000 --> 00:02:22.000]  詐騙電話
[00:02:22.000 --> 00:02:24.000]  你快點為我祈禱
[00:02:24.000 --> 00:02:26.000]  讓詐騙電話不要打給我
[00:02:26.000 --> 00:02:30.000]  我看一看他的手機
[00:02:30.000 --> 00:02:32.000]  你看到嗎?
[00:02:32.000 --> 00:02:34.000]  那電話寫著詐騙電話
[00:02:34.000 --> 00:02:35.000]  你不要接就行了
[00:02:35.000 --> 00:02:37.000]  上級已經幫你阻擋了
[00:02:37.000 --> 00:02:40.000]  他很開心地回到崇拜
[00:02:40.000 --> 00:02:44.000]  我們面對一個這樣的世代
[00:02:44.000 --> 00:02:46.000]  我們要問
[00:02:46.000 --> 00:02:49.000]  我們如何展示一種歡歡喜喜
[00:02:49.000 --> 00:02:51.000]  同德安息的生命呢?
[00:02:51.000 --> 00:02:54.000]  在羅馬書15章32節
[00:02:54.000 --> 00:02:55.000]  同德安息
[00:02:55.000 --> 00:02:59.000]  在原文裡是一個很獨特的字
[00:02:59.000 --> 00:03:04.000]  也是唯一出現在羅馬書的經文裡
[00:03:04.000 --> 00:03:06.000]  意思就是
[00:03:06.000 --> 00:03:09.000]  按照英文的意義
[00:03:09.000 --> 00:03:14.000]  可以令我們有種渙然一新的休息狀態
[00:03:14.000 --> 00:03:17.000]  但我們面對一個這麼大衝擊的世代
[00:03:17.000 --> 00:03:19.000]  我們如何可以保持
[00:03:19.000 --> 00:03:21.000]  或者展現一種歡歡喜喜
[00:03:21.000 --> 00:03:25.000]  或者一種令我們渙然一新的休息呢?
[00:03:25.000 --> 00:03:29.000]  我猜如果我們聚焦
[00:03:29.000 --> 00:03:32.000]  我們要修補這個世界的裂痕
[00:03:32.000 --> 00:03:35.000]  這個我們大家都知道
[00:03:35.000 --> 00:03:40.000]  是超出了或不太現實
[00:03:40.000 --> 00:03:43.000]  但如果我們說在一個這樣的世代裡
[00:03:43.000 --> 00:03:45.000]  我們如何展現
[00:03:45.000 --> 00:03:49.000]  順望愛的實踐呢?
[00:03:49.000 --> 00:03:51.000]  基督的社稷的榜樣
[00:03:51.000 --> 00:03:53.000]  會不會還有可能呢?
[00:03:53.000 --> 00:03:55.000]  今天我跟大家思考三個秘訣
[00:03:55.000 --> 00:03:58.000]  探討一下在一個這麼大競爭的世代
[00:03:58.000 --> 00:04:00.000]  這麼冷漠的世代
[00:04:00.000 --> 00:04:03.000]  如何共創喜樂新基
[00:04:03.000 --> 00:04:08.000]  第一個秘訣就是休戚與共
