
[00:00:00.000 --> 00:00:04.480]  各位弟兄姊妹、各位朋友午安
[00:00:04.480 --> 00:00:08.320]  很熟悉的面孔
[00:00:08.320 --> 00:00:11.840]  我是丁慧妮傳道
[00:00:11.840 --> 00:00:15.200]  一般大家稱呼我Winnie
[00:00:15.200 --> 00:00:16.840]  都很親切
[00:00:16.840 --> 00:00:20.360]  今天我們來到正道題目
[00:00:20.360 --> 00:00:25.720]  就是「侍奉的世代,必有後裔侍奉他」
[00:00:25.720 --> 00:00:30.040]  經文是來自詩篇的二十二篇
[00:00:30.040 --> 00:00:33.400]  有一首詩歌
[00:00:33.400 --> 00:00:36.360]  詩歌的名字叫「成為祝福」
[00:00:36.360 --> 00:00:39.080]  歌詞是這樣說的
[00:00:39.080 --> 00:00:44.880]  「你呼召我離開本地,我舒適的地方
[00:00:44.880 --> 00:00:49.720]  心中會軟弱,雙腳會顫抖
[00:00:49.720 --> 00:00:53.560]  但是你賜我力量
[00:00:53.560 --> 00:00:58.440]  我的生命獻上在這個祭壇上
[00:00:58.440 --> 00:01:02.120]  預備自己,被你擴張
[00:01:02.120 --> 00:01:05.320]  我願意馴服
[00:01:05.320 --> 00:01:10.200]  我願意降服於你,成為祝福」
[00:01:10.200 --> 00:01:13.200]  弟兄姊妹
[00:01:13.200 --> 00:01:17.480]  我們願意離開自己的安書區
[00:01:17.480 --> 00:01:20.440]  生命被神擴張
[00:01:20.440 --> 00:01:23.960]  呈獻我們的生命成為活祭
[00:01:23.960 --> 00:01:25.960]  被主所用
[00:01:25.960 --> 00:01:27.960]  成為祝福
[00:01:27.960 --> 00:01:31.960]  這就是主耶穌門徒的生命
[00:01:31.960 --> 00:01:35.240]  必有後裔侍奉他
[00:01:35.240 --> 00:01:39.240]  就是主門徒生命的延續
[00:01:39.240 --> 00:01:43.640]  我願意獻上我的生命
[00:01:43.640 --> 00:01:50.920]  即是我們願意將自己完全交給耶穌
[00:01:50.920 --> 00:01:58.120]  當中包括難了我們降服神的每一個生命障礙
[00:01:58.120 --> 00:02:00.360]  這些每一個生命障礙
[00:02:00.360 --> 00:02:02.840]  就好像大家在這張照片中
[00:02:02.840 --> 00:02:06.280]  看到的那些一粒粒的馬賽克
[00:02:06.280 --> 00:02:08.440]  如果每一粒的馬賽克
[00:02:08.440 --> 00:02:14.840]  都代表著我們生命中每一個生命障礙的話
[00:02:14.840 --> 00:02:18.840]  可能就是我們的恐懼
[00:02:18.840 --> 00:02:20.360]  焦慮
[00:02:20.360 --> 00:02:21.800]  驕傲
[00:02:21.800 --> 00:02:23.160]  貪心
[00:02:23.160 --> 00:02:24.360]  懶惰
[00:02:24.360 --> 00:02:27.080]  又或者是自滿等等
[00:02:27.080 --> 00:02:30.360]  我們都將這些生命障礙
[00:02:30.360 --> 00:02:33.160]  帶到耶穌的根前
