
[00:00:00.000 --> 00:00:06.560]  各位兄弟姐妹,午安,歡迎大家來到少年聯堂的周六崇拜
[00:00:06.560 --> 00:00:13.760]  今年是因典年,希望我們每位弟兄姐妹都懂得去數算上帝的因典
[00:00:13.760 --> 00:00:18.280]  今年的講道系列,我的講道系列就叫做感恩至恩有利
[00:00:18.280 --> 00:00:23.920]  今天是講第二講,透過很多不同的聖經人物學懂如何去數算上帝的因典
[00:00:23.920 --> 00:00:28.080]  如果你還記得我們上一講,我講的是亞伯拉罕的時間
[00:00:28.080 --> 00:00:33.360]  當我們講感恩的時候,不只是為了我們得到什麼而感恩
[00:00:33.360 --> 00:00:37.520]  上次也有講,如果今天我們只是為了上帝賜福給你
[00:00:37.520 --> 00:00:42.800]  讓你得到這樣得到那樣,而你感恩,其實我們跟還神沒有什麼分別
[00:00:42.800 --> 00:00:48.080]  人生中我們會經歷高山低谷,我們有經歷順境的時間,我們當然感恩
[00:00:48.080 --> 00:00:52.080]  但人生中我們難免也會有面對患難的時間
[00:00:52.080 --> 00:00:56.760]  我們在患難中如何能夠看得見上帝的因典呢?
[00:00:56.760 --> 00:01:00.520]  盼望透過今天的經文,我們今天講的是摩西
[00:01:00.520 --> 00:01:05.680]  他在人生中,特別要帶領一班以色列民在抗野40年的日子中
[00:01:05.680 --> 00:01:09.120]  很多的艱辛,很多的艱苦,很多的挑戰
[00:01:09.120 --> 00:01:14.480]  在這麼困難的日子中,讓他如何能夠繼續看到上帝的因典
[00:01:14.480 --> 00:01:21.040]  今天的經文是《生命記》第八章一至第七節,請大家聽我讀出
[00:01:21.040 --> 00:01:26.880]  經文裡面這樣說,我今天所吩咐你的一切誡明,你要謹守遵行
[00:01:26.880 --> 00:01:35.280]  好使你們存活人數的增多,可以進去得耶和華向你們列祖起誓應許的那地
[00:01:35.280 --> 00:01:42.080]  你要記得這40年耶和華,你的上帝在抗野一路的引導你
[00:01:42.080 --> 00:01:46.800]  是要磨練你,考驗你,為要知道你的心如何
[00:01:46.800 --> 00:01:52.000]  是否願意遵守他的誡命,他磨練你,任你飢餓
[00:01:52.000 --> 00:01:56.400]  將你和你列祖所不認識的瑪那次給你吃
[00:01:56.400 --> 00:02:04.480]  使你知道人活著不是單靠食物,乃是靠耶和華口裡所出的一切話
[00:02:04.480 --> 00:02:09.520]  這40年你身上的衣服沒有穿破,你的腳也沒有腫
[00:02:09.520 --> 00:02:16.880]  你心裡要知道,耶和華,你的上帝管教你像人管教兒女一樣
[00:02:16.880 --> 00:02:22.560]  你要謹守耶和華,你上帝的誡命,遵行他的道,敬畏他
[00:02:22.560 --> 00:02:26.480]  耶和華,你的上帝必領你進入美地
[00:02:26.480 --> 00:02:34.160]  那地有河流有泉源,和深淵的水從谷中和山上流出
[00:02:34.160 --> 00:02:39.200]  經文的背景是在說,摩西大嶺以色列民在當中離開了埃及地
[00:02:39.200 --> 00:02:45.600]  未進入迦南美地之先,在曠野漂流了40年的日子
[00:02:45.600 --> 00:02:49.440]  很多的挑戰,很多的患難
[00:02:49.440 --> 00:02:54.080]  我不知道你人生裡面是不是都經歷過不少的患難和挑戰
[00:02:54.080 --> 00:03:00.080]  有人嘗試去總結究竟人生會面對一些什麼樣的情況呢?
[00:03:00.080 --> 00:03:01.680]  有些什麼樣的患難呢?
[00:03:01.680 --> 00:03:05.040]  新老病死,我想沒有人能夠避免得到
[00:03:05.040 --> 00:03:08.960]  我不知道當你現在開始步入某一個年齡的時間
[00:03:08.960 --> 00:03:13.680]  你會不會發覺你身體的機能和以前都有些不同
[00:03:13.680 --> 00:03:17.760]  開始的時候,我聽一些童工說
[00:03:17.760 --> 00:03:26.400]  濕頭疙瘩又開始痛,當中有蜜糕,很多的糕不是年糕
[00:03:26.400 --> 00:03:31.760]  可能是血壓糕,血糖糕,很多這些情況當中的出現
[00:03:31.760 --> 00:03:35.520]  當去到我們這些年紀,我們的上一代父母
[00:03:35.520 --> 00:03:40.880]  很難免就會面對可能有機會過世等等的問題
[00:03:40.880 --> 00:03:44.560]  新老病死是沒有人能夠避免得到
[00:03:44.560 --> 00:03:50.800]  這個會不會當下是你心理裡面所經歷的其中一些事情呢?
[00:03:50.800 --> 00:03:54.400]  心理和情感上面,特別當過去幾年裡面
[00:03:54.400 --> 00:03:57.440]  這個我們所身處的社區,以至整個世界
[00:03:57.440 --> 00:04:02.880]  充滿了很多很多的變化,很多無論經濟的環境又轉差也好
[00:04:02.880 --> 00:04:07.840]  政治的環境又不明朗也好,世界大事很多的發生
[00:04:07.840 --> 00:04:11.840]  令到我們心裡面有很大很大的壓力
[00:04:11.840 --> 00:04:16.000]  無論做學生也好,你今天打工也好,你作為父母也好
[00:04:16.000 --> 00:04:19.840]  可能或多或少你都承受著某程度的壓力
[00:04:19.840 --> 00:04:23.040]  特別過去幾年裡面有一個詞叫做「無力感」
[00:04:23.040 --> 00:04:27.760]  好像沒有能力在當中面對世界所發生的事情
[00:04:27.760 --> 00:04:32.400]  結果你發現很多人面對不了,就可能有機會選擇輕生
[00:04:32.400 --> 00:04:37.920]  學生也有,在職的也有,年長的也有
[00:04:37.920 --> 00:04:43.680]  可能面對經濟上面的下滑,供樓可能又要供多了
[00:04:43.680 --> 00:04:48.720]  東西又貴了,財務經濟的壓力就越來越大了
[00:04:48.720 --> 00:04:53.200]  事業有很多不明朗的因素,可能有裁員有失業等等
[00:04:53.200 --> 00:04:59.440]  很多不同的問題的時候,會不會都令到我們面對人生的困難和挑戰呢?
[00:04:59.440 --> 00:05:06.800]  還有什麼呢?人際關係上,最近可能夫妻上的關係出現一些張力
[00:05:06.800 --> 00:05:10.560]  孩子越來越大的時候,步入青少年的階段的時候
[00:05:10.560 --> 00:05:16.240]  有很多的爭拗,很多的大家都未能夠掌握的一些情況
[00:05:16.240 --> 00:05:20.480]  可能同學同事,很多不同的關係都充斥著你
[00:05:20.480 --> 00:05:24.880]  令到你感覺到有困擾甚至煩惱的時間
[00:05:24.880 --> 00:05:28.720]  還有什麼呢?天災也有人亡
[00:05:28.720 --> 00:05:32.320]  香港算是一個不錯的地方,因為很少天災
[00:05:32.320 --> 00:05:36.080]  但是難免都會有人禍的發生
[00:05:36.080 --> 00:05:43.280]  面對世界很多大事的時間,我們好像無力在當中去改變當下的現況
[00:05:43.280 --> 00:05:46.880]  還有什麼呢?就是你個人自身的一些情況
[00:05:46.880 --> 00:05:52.240]  人生總有高山低谷,可能你覺得現在正正就是面對人生的低谷
[00:05:52.240 --> 00:05:58.480]  可能有時候做的決定做錯了,結果你要承受某一些的後果
[00:05:58.480 --> 00:06:02.400]  今天我不是想告訴大家,這個世界裡面很悲天憫人
[00:06:02.400 --> 00:06:05.760]  人生就面對很多的挑戰和和煩
[00:06:05.760 --> 00:06:12.240]  但是反過來,如果我們想著人生能夠避免這些一切的事情發生的話
[00:06:12.240 --> 00:06:15.840]  我們有時候就想得太過天真
[00:06:15.840 --> 00:06:21.680]  我們有時候要和患難和困難在當中去共存
[00:06:21.680 --> 00:06:25.600]  我相信沒有人喜歡面對患難,沒有人喜歡面對困難
