
[00:00:00.000 --> 00:00:02.000]  這個設定很好
[00:00:02.000 --> 00:00:06.000]  終於不用兩頭望,可以望完所有人
[00:00:06.000 --> 00:00:15.000]  好,大家弟兄姊妹平安、午安
[00:00:15.000 --> 00:00:21.000]  我今早去了一個黑暗中的對話,而一個人還在暈暈的
[00:00:22.000 --> 00:00:32.000]  今天開始的時候,我想大家各自回想一下
[00:00:32.000 --> 00:00:39.000]  有沒有一個時刻,一個moment,你現在這個群體
[00:00:39.000 --> 00:00:43.000]  或者我不知道會不會有一個過去你所屬於的群體
[00:00:43.000 --> 00:00:47.000]  你覺得是最風光的一個moment
[00:00:47.000 --> 00:00:54.000]  你現在所屬的這個群體也好,或者對你來說很重要的一個群體
[00:00:54.000 --> 00:01:02.000]  有沒有一個moment,你覺得那個時候就是我們最風光的時候
[00:01:02.000 --> 00:01:08.000]  風光可以說什麼呢?可能是群體裡面的淑齡氣氛
[00:01:08.000 --> 00:01:12.000]  弟兄姊妹之間有多投入
[00:01:12.000 --> 00:01:16.000]  總之就是任何一個你覺得就是這個moment
[00:01:16.000 --> 00:01:20.000]  如果說我們的群體最signature就是那一刻
[00:01:20.000 --> 00:01:24.000]  可以是過去,可以是現在
[00:01:24.000 --> 00:01:29.000]  搬了19樓之後,就是這個moment最風光
[00:01:29.000 --> 00:01:33.000]  我給你10秒,我們有倒數鐘
[00:01:33.000 --> 00:01:38.000]  我給你10秒想想一個最風光、一時無量的
[00:01:42.000 --> 00:01:47.000]  好,10秒過去,我們先保留這個畫面
[00:01:47.000 --> 00:01:51.000]  今天我們會繼續《路加教我做門徒》的系列
[00:01:51.000 --> 00:01:55.000]  在這個系列裡面,如果你有細心留意
[00:01:55.000 --> 00:02:00.000]  講完會不斷橫跨《士同行傳》、《路加福音》
[00:02:00.000 --> 00:02:03.000]  經文不斷飛來飛去
[00:02:03.000 --> 00:02:06.000]  因為這兩本書都是同一個人寫,都是在路加
[00:02:06.000 --> 00:02:09.000]  其實兩本書《路加福音》、《士同行傳》
[00:02:09.000 --> 00:02:13.000]  可以說是一本大的書的上下集
[00:02:13.000 --> 00:02:16.000]  他就是寫來給提亞菲羅的人
[00:02:16.000 --> 00:02:21.000]  教他如何在他的時代、年代裡做一個跟隨耶穌的門徒
[00:02:21.000 --> 00:02:24.000]  這次這個系列就是我們會在這兩本書裡
[00:02:24.000 --> 00:02:27.000]  抽取不同的和做門徒有關的主題
[00:02:27.000 --> 00:02:30.000]  跟大家一起思考到底
[00:02:30.000 --> 00:02:34.000]  到了今時今日2024年,我們到底面對什麼呢?
[00:02:34.000 --> 00:02:37.000]  作為一個跟隨耶穌的門徒
[00:02:37.000 --> 00:02:41.000]  我們在這個年代應該如何自處呢?
[00:02:41.000 --> 00:02:43.000]  我剛才問大家的就是
