
[00:00:00.000 --> 00:00:04.180]  新約經卷系列哥林多前後書
[00:00:04.180 --> 00:00:06.920]  披荊斬棘的福音群體
[00:00:06.920 --> 00:00:08.920]  今天講到第四講
[00:00:08.920 --> 00:00:13.420]  題目是「你知道你在吃什麼嗎?」
[00:00:13.420 --> 00:00:16.300]  在上星期日
[00:00:16.300 --> 00:00:20.920]  我有機會去合一堂講道
[00:00:20.920 --> 00:00:23.920]  講道之前跟太太吃過早餐
[00:00:23.920 --> 00:00:35.660]  開車未到九點就去到合一堂隔兩條街的人龍早餐店
[00:00:35.660 --> 00:00:38.660]  打算吃早餐
[00:00:38.660 --> 00:00:42.260]  未到九點已經很多人排隊
[00:00:42.260 --> 00:00:44.260]  轉彎進入內街
[00:00:44.260 --> 00:00:47.260]  太太說不如你先放下我去泊車
[00:00:47.260 --> 00:00:49.260]  泊完車回來
[00:00:49.260 --> 00:00:52.260]  看到太太已經在第一個位置
[00:00:52.260 --> 00:00:54.260]  我心知不妙
[00:00:54.260 --> 00:01:03.260]  因為我知道站在門口看著放人進去的哥哥很有原則
[00:01:03.260 --> 00:01:07.260]  我走到太太那裡
[00:01:07.260 --> 00:01:12.260]  「你是剛剛才第一個還是已經第一個很久了?」
[00:01:12.260 --> 00:01:14.260]  她說「不是啊」
[00:01:14.260 --> 00:01:16.260]  「她很兇啊」
[00:01:16.260 --> 00:01:20.260]  她看到我們已經來了兩個人
[00:01:20.260 --> 00:01:22.260]  「進去」
[00:01:22.260 --> 00:01:24.260]  就指著一張四人桌
[00:01:24.260 --> 00:01:27.260]  因為實在太多人
[00:01:27.260 --> 00:01:31.260]  而且服務人員也塞住路
[00:01:31.260 --> 00:01:33.260]  所以真的頂住不能進去
[00:01:33.260 --> 00:01:35.260]  哥哥在我旁邊大聲叫
[00:01:35.260 --> 00:01:37.260]  「都說那張桌子」
[00:01:37.260 --> 00:01:40.260]  因為太大聲
[00:01:40.260 --> 00:01:43.260]  我又很自覺地承認了
[00:01:43.260 --> 00:01:45.260]  因為進不去
[00:01:45.260 --> 00:01:48.260]  大家好像很尷尬
[00:01:48.260 --> 00:01:51.260]  那些侍應聽到也讓一讓路
[00:01:51.260 --> 00:01:52.260]  坐在那裡
[00:01:52.260 --> 00:01:54.260]  「平排坐」
[00:01:54.260 --> 00:01:55.260]  「打直」也是平排
[00:01:55.260 --> 00:01:56.260]  「打橫」也是平排
[00:01:56.260 --> 00:01:58.260]  「你想我怎樣坐呢?」
[00:01:58.260 --> 00:01:59.260]  我就選擇了打直
[00:01:59.260 --> 00:02:02.260]  「都說平排坐」
[00:02:02.260 --> 00:02:03.260]  我明白了
[00:02:03.260 --> 00:02:06.260]  我坐在旁邊的位置退一退
[00:02:06.260 --> 00:02:09.260]  「你說那餐早餐」
[00:02:09.260 --> 00:02:12.260]  「你還知不知道自己在吃什麼?」
[00:02:12.260 --> 00:02:18.260]  在哥倫多的教會裏面
[00:02:18.260 --> 00:02:21.260]  充滿著一些紛爭
[00:02:21.260 --> 00:02:23.260]  一些分裂的狀態
[00:02:23.260 --> 00:02:25.260]  但在姐妹的相交
[00:02:25.260 --> 00:02:27.260]  縱使有愛言
[00:02:27.260 --> 00:02:29.260]  有主餐
[00:02:29.260 --> 00:02:32.260]  很可能他們也因為這些分化
[00:02:32.260 --> 00:02:35.260]  讓他們就算有東西吃
[00:02:35.260 --> 00:02:37.260]  也不知道吃了什麼
[00:02:37.260 --> 00:02:39.260]  同台吃飯
[00:02:39.260 --> 00:02:41.260]  大家並不愉快
[00:02:41.260 --> 00:02:44.260]  在早期的教會裏面
[00:02:44.260 --> 00:02:46.260]  有愛言有主餐
[00:02:46.260 --> 00:02:50.260]  愛言就像我們現在的Potluck
[00:02:50.260 --> 00:02:53.260]  每個人都負責帶食物回來
[00:02:53.260 --> 00:02:55.260]  生活比較富裕
[00:02:55.260 --> 00:02:58.260]  可能帶些有質有量的食物回來
[00:02:58.260 --> 00:03:00.260]  大家很開心
[00:03:00.260 --> 00:03:02.260]  生活平平的也好
[00:03:02.260 --> 00:03:03.260]  我也願意分享
[00:03:03.260 --> 00:03:05.260]  所以我也帶了一些東西回來
[00:03:05.260 --> 00:03:07.260]  跟大家分享
[00:03:07.260 --> 00:03:09.260]  但真的有一些孤兒寡婦
[00:03:09.260 --> 00:03:13.260]  在當時沒有一個慈惠的安排
