
[00:00:00.000 --> 00:00:02.640]  好,主佑平安
[00:00:02.640 --> 00:00:07.520]  無論在實體或網上的朋友
[00:00:07.520 --> 00:00:12.640]  這一刻我也很想跟大家說
[00:00:12.640 --> 00:00:14.640]  耶穌與你同在
[00:00:14.640 --> 00:00:24.000]  今天我的經文記載在約書亞記的22章
[00:00:24.000 --> 00:00:27.760]  整章總共有三十多節
[00:00:27.760 --> 00:00:31.840]  這麼大段的經文,不會全部讀完
[00:00:31.840 --> 00:00:40.240]  但也會在22章裡說出一些訊息
[00:00:40.240 --> 00:00:44.160]  這個世代延續的主題
[00:00:44.160 --> 00:00:47.600]  是小力園堂的講道系列
[00:00:47.600 --> 00:00:49.840]  今天已經到第五講
[00:00:49.840 --> 00:00:53.440]  總共這個世代延續有九講
[00:00:53.440 --> 00:00:58.560]  仍然還有四講,大家可以繼續聽
[00:00:58.560 --> 00:01:02.640]  究竟在這個世代可以延續些什麼
[00:01:02.640 --> 00:01:08.160]  主題是「互為證據彼此提醒的群體」
[00:01:08.160 --> 00:01:17.040]  我也問問大家,有沒有被人誤會過?
[00:01:17.040 --> 00:01:19.040]  舉手吧
[00:01:19.040 --> 00:01:21.040]  嘩,先舉手吧
[00:01:21.040 --> 00:01:23.040]  沒有了,感謝主
[00:01:23.040 --> 00:01:25.040]  那你有沒有誤會過別人?
[00:01:25.040 --> 00:01:27.040]  有啊
[00:01:27.040 --> 00:01:33.680]  其實在預備這篇講章的時候
[00:01:33.680 --> 00:01:37.760]  我也想起一件事
[00:01:37.760 --> 00:01:42.720]  趙雙美牧師,大家知道是誰
[00:01:42.720 --> 00:01:46.000]  我們在C2牧區
[00:01:46.000 --> 00:01:49.680]  她的眼睛很大
[00:01:49.680 --> 00:01:51.920]  她的眼睛很大的時候
[00:01:51.920 --> 00:01:55.920]  有姐妹不敢跟她說,就跟我說
[00:01:55.920 --> 00:01:57.920]  「雙美很兇的」
[00:01:57.920 --> 00:02:00.720]  我心想「是嗎?有這回事?」
[00:02:00.720 --> 00:02:06.080]  我也戰戰兢兢跟她說這件事
[00:02:06.080 --> 00:02:10.320]  她反應「是嗎?我真的兇了嗎?」
[00:02:10.320 --> 00:02:13.760]  可能有時大眼是你的特徵
[00:02:13.760 --> 00:02:16.880]  可能就是這樣被人誤會
[00:02:16.880 --> 00:02:19.920]  我也有跟姐妹們解釋,其實她不是
[00:02:19.920 --> 00:02:21.920]  她只是眼睛大
[00:02:21.920 --> 00:02:24.720]  所以在過程中
[00:02:24.720 --> 00:02:30.640]  我們發現有事情發生的時候
[00:02:30.640 --> 00:02:35.120]  我們告訴對方,也會戰戰兢兢
[00:02:35.120 --> 00:02:37.840]  也可能會有這些狀況
[00:02:37.840 --> 00:02:41.680]  我們今天看整卷
[00:02:41.680 --> 00:02:45.120]  在《藥書雅記》的22章中
[00:02:45.120 --> 00:02:50.880]  正正是有一個誤會引致發生的
[00:02:50.880 --> 00:02:57.040]  就是在裡面加德和馬納西半支派戰役後
[00:02:57.040 --> 00:03:03.760]  約書亞差遣了他們回到約旦河東的家鄉
[00:03:03.760 --> 00:03:07.040]  他們在回家鄉的途中
[00:03:07.040 --> 00:03:11.680]  還捉了一座壇,很大一座
[00:03:11.680 --> 00:03:16.800]  引致對岸的以色列人誤會他們
[00:03:16.800 --> 00:03:20.560]  而且覺得很緊張,會否他們離棄了神
[00:03:20.560 --> 00:03:25.040]  又捉了一座很大一座的壇
[00:03:25.040 --> 00:03:28.240]  不知道發生甚麼事,在裡面很緊張
[00:03:28.240 --> 00:03:31.280]  但之後他們就有一個
[00:03:31.280 --> 00:03:38.240]  在我們看來,也挺像我們有時誤會的事件
[00:03:38.240 --> 00:03:42.800]  原來在章節中,也能幫助我們
[00:03:42.800 --> 00:03:44.800]  重新回到我們日常
[00:03:44.800 --> 00:03:50.960]  無論在教會、家庭、工作場景中
[00:03:50.960 --> 00:03:53.360]  可能也嘗試發生這些事情
[00:03:53.360 --> 00:03:55.840]  但他們發生的時候
[00:03:55.840 --> 00:04:02.000]  是因為他們很擔心對方是否離棄了神
[00:04:02.000 --> 00:04:06.320]  所以在裡面,他們有一個很好的溝通
[00:04:06.320 --> 00:04:11.840]  以致他們可以再次同心合一地見證神
[00:04:11.840 --> 00:04:19.800]  剛才所說的約旦河分隔在加林地和河東地區
[00:04:19.800 --> 00:04:23.880]  當時在士羅的地方
[00:04:23.880 --> 00:04:30.480]  就是放藥櫃和回望他們敬拜的地方
[00:04:30.480 --> 00:04:36.040]  他們在對岸,所以要過去是很困難的
[00:04:36.040 --> 00:04:40.120]  是一條很遠的河隔著
[00:04:40.120 --> 00:04:44.040]  所以如果你去想想
[00:04:44.040 --> 00:04:48.120]  如果我們在沙田
[00:04:48.120 --> 00:04:50.240]  教會在沙田
[00:04:50.240 --> 00:04:54.000]  但可能在屯門這麼遠
[00:04:54.000 --> 00:04:57.320]  如果沒有交通工具過來
[00:04:57.320 --> 00:04:59.160]  是否也很艱難?
[00:04:59.160 --> 00:05:00.680]  他們要去敬拜神
[00:05:00.680 --> 00:05:05.800]  原來是一件對他們來說很困難的事
[00:05:05.800 --> 00:05:10.680]  所以在裡面,他們捉了壇
[00:05:10.680 --> 00:05:16.680]  因為當時他們也是拜很多不同的偶像
[00:05:16.680 --> 00:05:19.960]  當時有很多不同的方式
[00:05:19.960 --> 00:05:23.080]  好像要找一樣東西在這裡
[00:05:23.080 --> 00:05:24.920]  這樣才安心,記得嗎?
[00:05:24.920 --> 00:05:29.920]  他們在裡面有很多像
[00:05:29.920 --> 00:05:33.200]  他們看到就覺得安心了
[00:05:33.200 --> 00:05:37.720]  所以在這段經文裡
[00:05:37.720 --> 00:05:41.200]  我們會看到有幾個章節
[00:05:41.200 --> 00:05:46.920]  第一至第九節是說到約書俠的祝福
