
[00:00:00.000 --> 00:00:08.000]  同分 同行 同政
[00:00:08.000 --> 00:00:15.000]  同打 同起 同起
[00:00:15.000 --> 00:00:21.000]  就值得建立 集團紀錄
[00:00:21.000 --> 00:00:29.000]  和平 合一 教會 忍於榮活舊人
[00:00:29.000 --> 00:00:39.000]  祈求上帝 使因自然來造正
[00:00:39.000 --> 00:00:49.000]  為一主耶穌 為一主 為首 為聖
[00:00:49.000 --> 00:00:56.000]  為他 為一 為他
[00:00:56.000 --> 00:01:04.000]  重現這盼望 赤子之心眼淚仍看
[00:01:04.000 --> 00:01:11.000]  為何此民誓 堅守聖道至死
[00:01:11.000 --> 00:01:20.000]  明日上帝 天下內 再造正
[00:01:20.000 --> 00:01:32.000]  天父我們感謝您
[00:01:32.000 --> 00:01:36.000]  感謝您賜下獨生子耶穌基督
[00:01:36.000 --> 00:01:39.000]  成為我們隨時的幫助
[00:01:39.000 --> 00:01:42.000]  為我們的罪擔當一切
[00:01:42.000 --> 00:01:46.000]  以致我們的生命無論多混亂
[00:01:46.000 --> 00:01:49.000]  當我們每一次去定徵仰望您的時候
[00:01:49.000 --> 00:01:52.000]  我們發現我們有耶穌基督
[00:01:52.000 --> 00:01:56.000]  也有這個群體和我們一起的同行
[00:01:56.000 --> 00:01:59.000]  主呀幫助我們在我們的生命裏邊
[00:01:59.000 --> 00:02:01.000]  無論是低谷還是高峰
[00:02:01.000 --> 00:02:04.000]  主呀我們都能夠結連在您裏邊
[00:02:04.000 --> 00:02:06.000]  以致能夠一生的跟隨您
[00:02:06.000 --> 00:02:10.000]  主願您閲立我們在您面前的敬拜
[00:02:10.000 --> 00:02:12.000]  又帶領我們聽到的心
[00:02:12.000 --> 00:02:17.000]  繼續將您的話語栽種在我們生命裏邊去成長
[00:02:17.000 --> 00:02:19.000]  並且活出來
[00:02:19.000 --> 00:02:21.000]  多謝您 隨聽我們禱告
[00:02:21.000 --> 00:02:23.000]  奉耶穌基督的聖名 阿們
[00:02:23.000 --> 00:02:25.000]  請坐
[00:02:25.000 --> 00:02:29.000]  大兄姊妹 大家平安
[00:02:29.000 --> 00:02:32.000]  來到這一刻 還未到晚安
[00:02:32.000 --> 00:02:37.000]  我們來到一個系列
[00:02:37.000 --> 00:02:42.000]  就是作門徒的代價系列
[00:02:42.000 --> 00:02:44.000]  原本是主任牧師說的
[00:02:44.000 --> 00:02:45.000]  他現在放假
[00:02:45.000 --> 00:02:48.000]  讓我們不同的同工去分享
[00:02:48.000 --> 00:02:52.000]  第七講 亦是最後一講
[00:02:52.000 --> 00:02:56.000]  牧師定了一個主題 叫做「追隨與妥協」
[00:02:56.000 --> 00:03:00.000]  看提摩體 後書四章一到八節
[00:03:00.000 --> 00:03:02.000]  先看經文之前
[00:03:02.000 --> 00:03:05.000]  很想問大家一個問題
[00:03:05.000 --> 00:03:10.000]  你願意為主去到多盡呢?
[00:03:10.000 --> 00:03:13.000]  我介紹一下自己
[00:03:13.000 --> 00:03:15.000]  來到這個堂所
[00:03:15.000 --> 00:03:17.000]  大家認識我多一點
[00:03:17.000 --> 00:03:20.000]  知道我有一個兒子和一個女兒
[00:03:20.000 --> 00:03:24.000]  女兒已經很大了 二十歲了
[00:03:24.000 --> 00:03:29.000]  多謝導師栽培她成長
[00:03:29.000 --> 00:03:34.000]  見到她的人 多數都會知道她很乖
[00:03:34.000 --> 00:03:39.000]  她的性格是非常容易妥協的
[00:03:39.000 --> 00:03:42.000]  通常她想做一些事
[00:03:42.000 --> 00:03:44.000]  我們說好像不太好
[00:03:44.000 --> 00:03:46.000]  她馬上就說OK
[00:03:46.000 --> 00:03:49.000]  很快就妥協了
[00:03:49.000 --> 00:03:53.000]  但我的兒子快十四歲了
[00:03:53.000 --> 00:03:56.000]  他的性格截然不同
[00:03:56.000 --> 00:03:59.000]  他什麼都會問為什麼
[00:03:59.000 --> 00:04:02.000]  叫他做事就問為什麼
[00:04:02.000 --> 00:04:04.000]  早點睡吧 為什麼
[00:04:04.000 --> 00:04:09.000]  我們以前溫書真的要溫的
[00:04:09.000 --> 00:04:11.000]  他考試時說不用溫的
[00:04:11.000 --> 00:04:13.000]  為什麼要溫書呢?
[00:04:13.000 --> 00:04:17.000]  總之這個性格有好有壞
[00:04:17.000 --> 00:04:21.000]  但有時候面對都在操練自己的底線
[00:04:21.000 --> 00:04:24.000]  一下一下要放下底線
[00:04:24.000 --> 00:04:27.000]  但有時候他問的問題非常好
[00:04:27.000 --> 00:04:29.000]  是在激勵我的生命
[00:04:29.000 --> 00:04:31.000]  他就說你這樣說
[00:04:31.000 --> 00:04:33.000]  聖經有沒有說的?
[00:04:33.000 --> 00:04:35.000]  是不是要操練到
[00:04:35.000 --> 00:04:39.000]  我好堅忍好知道自己相信什麼
[00:04:39.000 --> 00:04:42.000]  所以原來我們做父母的
[00:04:42.000 --> 00:04:44.000]  知道我們為我們的兒女
[00:04:44.000 --> 00:04:47.000]  有時候很多時候都去到很盡
[00:04:47.000 --> 00:04:52.000]  我不知道你是堅持父母還是妥協父母
[00:04:52.000 --> 00:04:55.000]  不過為主為生命
[00:04:55.000 --> 00:04:58.000]  我們又會為主去到多盡呢?
[00:04:58.000 --> 00:05:02.000]  你為愛主還是愛你的生命呢?
[00:05:02.000 --> 00:05:06.000]  你愛主還是愛你的家庭呢?
