
[00:00:00.000 --> 00:00:12.000]  各位在家的弟兄姊妹,今天在復活節的週末當中,我們歡迎各位一起來崇拜
[00:00:12.000 --> 00:00:23.000]  復活節是一個非常特別的日子,也可以說是人類歷史中最重要的一件事
[00:00:23.000 --> 00:00:35.000]  當主耶穌重生復活的時候,我們確信,也確知道,上帝道成肉身來到我們當中
[00:00:35.000 --> 00:00:43.000]  來到我們罪人當中,來到妓女當中,來到軟弱的人裡面,去關懷我們
[00:00:43.000 --> 00:00:55.000]  並且在十字架上為我們犧牲,救贖了我們的罪,幫助我們成為神的兒女,進入神的國度
[00:00:55.000 --> 00:01:06.000]  並且三日復活,顯現升天,讓我們更加知道主已經勝過死亡
[00:01:06.000 --> 00:01:19.000]  讓我們有永遠的生命,並且能夠轉化人各樣的黑暗,成為上帝給我們的新生命
[00:01:19.000 --> 00:01:27.000]  所以可以說復活節所發生的事,是人類裡面最重要的事情
[00:01:27.000 --> 00:01:36.000]  雖然如此,但復活節並不是兩千年前發生的一件歷史事件
[00:01:36.000 --> 00:01:43.000]  更重要的是上帝要完成對我們救贖的工作
[00:01:43.000 --> 00:01:51.000]  所以特別是在約翰福音第十四章到第十七章,這四章的經文裡面
[00:01:51.000 --> 00:01:57.000]  耶穌和自己的門徒有一個告別的說話
[00:01:57.000 --> 00:02:09.000]  當中主要離開,講到聖靈的降臨,主在內,也為他們祈禱
[00:02:09.000 --> 00:02:17.000]  最重要的一段信息是,耶穌對他們說,我是葡萄樹,你們是枝子
[00:02:17.000 --> 00:02:23.000]  講到耶穌和他們之間有一個很密切的關係
[00:02:23.000 --> 00:02:31.000]  所以上帝的救贖不只是在兩千年的時候完成
[00:02:31.000 --> 00:02:37.000]  更加在我們人生當中要救贖每一個願意信祂的人
[00:02:37.000 --> 00:02:42.000]  所以今天我在約翰福音第十五章中選了首十一節經文
[00:02:42.000 --> 00:02:50.000]  跟各位講一下耶穌當時被害之前跟門徒說的那番話
[00:02:50.000 --> 00:03:01.000]  要我們知道耶穌的救贖其實是要將我們跟祂的關係更加親近,更加密切
[00:03:01.000 --> 00:03:06.000]  要我們人生更加在祂的裡面得到豐盛
[00:03:06.000 --> 00:03:09.000]  我們現在一起去讀讀經文
[00:03:09.000 --> 00:03:15.000]  經文在約翰福音第十五章一到十節,請聽我讀讀
[00:03:15.000 --> 00:03:22.000]  耶穌說:我就是真葡萄樹,我付是栽培的人
[00:03:22.000 --> 00:03:26.000]  凡屬我不結果子的,他就剪掉
[00:03:26.000 --> 00:03:30.000]  凡結果子的,他就修剪乾淨
[00:03:30.000 --> 00:03:33.000]  洗枝子結果子更多
[00:03:33.000 --> 00:03:42.000]  現在你們因我的話所講及你們的道已經乾淨了
