
[00:00:00.000 --> 00:00:04.000]  雖然疫情關係我們沒有實體崇拜
[00:00:04.000 --> 00:00:08.380]  但我們能夠在網上跟大家一起聚會
[00:00:08.380 --> 00:00:12.000]  也是感恩的事情
[00:00:12.000 --> 00:00:14.500]  盼望今天我的訊息
[00:00:14.500 --> 00:00:16.500]  帶給大家
[00:00:16.500 --> 00:00:20.700]  上帝的話語進入你們的心裡面
[00:00:20.700 --> 00:00:23.300]  讓你們生命更新
[00:00:23.300 --> 00:00:27.900]  今天的主題是講什麼呢?
[00:00:27.900 --> 00:00:30.800]  抗爭中的零勝義
[00:00:30.800 --> 00:00:33.300]  每一代的考驗
[00:00:33.300 --> 00:00:37.800]  每一代的考驗
[00:00:37.800 --> 00:00:40.000]  我會想想講什麼呢?
[00:00:40.000 --> 00:00:43.300]  我記得我在神學院的時候
[00:00:43.300 --> 00:00:48.300]  在讀一本書要寫書評的
[00:00:48.300 --> 00:00:51.300]  那本叫做《四代香港人》
[00:00:51.300 --> 00:00:53.600]  我很少看書的
[00:00:53.600 --> 00:00:57.100]  那時候為了考試也要看的
[00:00:57.100 --> 00:00:59.100]  為了做書評也要看的
[00:00:59.100 --> 00:01:03.100]  但今天不是討論四代人這本書的問題
[00:01:03.100 --> 00:01:05.600]  但我看完之後發現很有趣的
[00:01:05.600 --> 00:01:08.600]  每一代人都有他們的文化
[00:01:08.600 --> 00:01:10.600]  有他們的價值觀
[00:01:10.600 --> 00:01:14.600]  還有每一代都會影響下一代
[00:01:14.600 --> 00:01:18.600]  還有更加我看到很多
[00:01:18.600 --> 00:01:21.100]  貧輩的影響
[00:01:21.100 --> 00:01:23.100]  還有原生家庭的影響
[00:01:24.100 --> 00:01:25.600]  會令到我們
[00:01:25.600 --> 00:01:30.600]  價值觀都令到我們好像被世界塗造了
[00:01:30.600 --> 00:01:34.600]  好像認識不到自己
[00:01:34.600 --> 00:01:37.600]  我們做基督徒更加重要
[00:01:37.600 --> 00:01:39.600]  因為基督徒的價值觀
[00:01:39.600 --> 00:01:41.600]  不同於這個世代的價值觀
[00:01:41.600 --> 00:01:47.600]  所以更加會引起很多內心思想的抗爭
[00:01:47.600 --> 00:01:49.600]  抗爭的時候
[00:01:49.600 --> 00:01:53.600]  心靈一定會有掙扎
[00:01:53.600 --> 00:01:55.600]  就會有不安
[00:01:55.600 --> 00:01:59.600]  所以上帝有時候考驗我們
[00:01:59.600 --> 00:02:03.600]  讓我們能夠在考驗當中
[00:02:03.600 --> 00:02:06.600]  看回我們內心的真相
[00:02:06.600 --> 00:02:09.600]  我是誰呢
[00:02:09.600 --> 00:02:12.600]  我的靈性是怎樣呢
[00:02:12.600 --> 00:02:16.600]  所以這個主題就是每一代人的考驗
[00:02:17.600 --> 00:02:20.600]  我相信每一代人都有每一代的考驗
[00:02:20.600 --> 00:02:23.600]  所以我選了這段經文
[00:02:23.600 --> 00:02:25.600]  是私人的討文
[00:02:25.600 --> 00:02:29.600]  我們一起讀吧
[00:02:29.600 --> 00:02:32.600]  在網上的大英姐妹一起讀
[00:02:32.600 --> 00:02:34.600]  1、2、3
[00:02:34.600 --> 00:02:36.600]  上帝啊 求你監察我
[00:02:36.600 --> 00:02:38.600]  知道我的心思
[00:02:38.600 --> 00:02:39.600]  試煉我
[00:02:39.600 --> 00:02:40.600]  知道我的意念
[00:02:40.600 --> 00:02:43.600]  看在我裡面有什麼是沒有
[00:02:43.600 --> 00:02:46.600]  引導我走永生的道路
[00:02:46.600 --> 00:02:48.600]  好 我們一同低頭祈禱
[00:02:48.600 --> 00:02:50.600]  親愛的天父感謝你
[00:02:50.600 --> 00:02:55.600]  感謝你讓孩子熟悉你的話語
[00:02:55.600 --> 00:02:58.600]  求上帝你的靈囂冠給我
[00:02:58.600 --> 00:03:00.600]  因為孩子有時候說話都很笨拙
[00:03:00.600 --> 00:03:03.600]  但我相信主你的恩典夠我用
[00:03:03.600 --> 00:03:05.600]  更加保守我說的道
[00:03:05.600 --> 00:03:09.600]  能夠進入每一個青少年人的心裡面
[00:03:09.600 --> 00:03:12.600]  讓他們心裡面得到聖靈的根深的時候
[00:03:12.600 --> 00:03:16.600]  讓他們生命得到改變的時候
[00:03:16.600 --> 00:03:17.600]  讓他們去榮耀你
[00:03:17.600 --> 00:03:20.600]  求天父你帶領以上的禱告
[00:03:20.600 --> 00:03:22.600]  奉主耶穌得勝明志祈求
[00:03:22.600 --> 00:03:23.600]  阿們
[00:03:23.600 --> 00:03:28.600]  好 每一代的考驗我當然看第一代
