
[00:00:00.000 --> 00:00:03.000]  各位好 各位姐妹晚安
[00:00:03.000 --> 00:00:07.800]  今天是新的年頭
[00:00:07.800 --> 00:00:12.160]  我們開展了用摩西十誡
[00:00:12.160 --> 00:00:15.160]  作為我們在生活中
[00:00:15.160 --> 00:00:17.520]  彼此鼓勵的時候
[00:00:17.520 --> 00:00:21.920]  確實摩西十誡是很舊弱的事
[00:00:21.920 --> 00:00:24.000]  但今天對我們生命中
[00:00:24.000 --> 00:00:27.720]  如果這個十誡不是死守的誡條
[00:00:27.720 --> 00:00:32.040]  是一個在生活中我們與神關係的約章
[00:00:32.040 --> 00:00:35.440]  我覺得這一點也在幫助我們
[00:00:35.440 --> 00:00:37.040]  信得更加輕散
[00:00:37.040 --> 00:00:39.640]  以及能夠將生命的寶座
[00:00:39.640 --> 00:00:42.480]  給神甘心樂意地坐
[00:00:42.480 --> 00:00:44.440]  今天我們看的時候
[00:00:44.440 --> 00:00:45.840]  我想問問大家
[00:00:45.840 --> 00:00:49.440]  過去有沒有喜歡看金庸小說
[00:00:49.440 --> 00:00:53.240]  又或者你也看過不同的版本
[00:00:53.240 --> 00:00:57.840]  不知道你認為楊過和小龍女這一對的角色
[00:00:57.840 --> 00:01:00.240]  哪一個最全神呢
[00:01:00.240 --> 00:01:04.640]  可能你心裡會有一對的名字出現
[00:01:04.640 --> 00:01:07.440]  每個都不同
[00:01:07.440 --> 00:01:10.040]  我也有
[00:01:10.040 --> 00:01:12.640]  不過如果有人問
[00:01:12.640 --> 00:01:16.440]  是不是劉德華和陳玉蓮最近榜
[00:01:16.440 --> 00:01:20.040]  可能他們也有些神髓是很相似的
[00:01:20.040 --> 00:01:22.440]  也拍檔做得很好
[00:01:22.440 --> 00:01:24.840]  不過如果問他們兩個
[00:01:24.840 --> 00:01:27.840]  多努力去飾演這個角色也好
[00:01:27.840 --> 00:01:29.240]  他們可以告訴你
[00:01:29.240 --> 00:01:31.440]  我是劉德華和陳玉蓮
[00:01:31.440 --> 00:01:36.040]  我不是金庸裡面的一對角色
[00:01:36.040 --> 00:01:40.840]  如果你真的問哪些人最近榜呢
[00:01:40.840 --> 00:01:43.240]  應該是金庸拿著筆
[00:01:43.240 --> 00:01:46.840]  寫這一對主角的時候
[00:01:46.840 --> 00:01:51.240]  他心裡所寫出來的角色最全神
[00:01:51.240 --> 00:01:55.840]  今天我想用這個引子帶大家去看
[00:01:55.840 --> 00:01:59.440]  我們心裡所敬奉的神
[00:01:59.440 --> 00:02:01.840]  確實是很難
[00:02:01.840 --> 00:02:04.040]  在一開始出生之後
[00:02:04.040 --> 00:02:04.840]  我們就說
[00:02:04.840 --> 00:02:07.440]  是的,我們知道這個世界有一位神
[00:02:07.440 --> 00:02:08.440]  找到了
[00:02:08.440 --> 00:02:11.840]  但是這個神是怎樣的形象呢
[00:02:11.840 --> 00:02:14.840]  今天我們要去看的是第二屆
[00:02:14.840 --> 00:02:18.040]  就是《不可雕刻偶像》
[00:02:18.040 --> 00:02:19.440]  在這一屆裡面
[00:02:19.440 --> 00:02:23.640]  神怎麼會將它偶像化呢
[00:02:23.640 --> 00:02:28.440]  但是我們看經文就會慢慢發現一個蹤跡
[00:02:28.440 --> 00:02:32.240]  偶像除了可能是雕塑它出來之外
[00:02:32.240 --> 00:02:34.840]  其實是將它默化了
[00:02:34.840 --> 00:02:37.840]  很想握在手裡有些渣拿
[00:02:37.840 --> 00:02:40.840]  很想將它形象化的時候
[00:02:40.840 --> 00:02:42.040]  原來神說
[00:02:42.040 --> 00:02:47.240]  我不需要被人框在這個架子裡面
