
[00:00:00.000 --> 00:00:09.480]  各位電影姐妹 午安
[00:00:09.480 --> 00:00:14.360]  今天很高興有機會在這樣的場景跟大家分享訊息
[00:00:14.360 --> 00:00:20.080]  在小禮園堂講了十多年 從來未試過在這樣的場景講到
[00:00:20.080 --> 00:00:23.360]  所以今天這個機會很特別
[00:00:23.360 --> 00:00:26.840]  剛才很感謝Ryan帶領我們敬拜
[00:00:26.840 --> 00:00:30.880]  他講了一句話讓我們對我來說很深刻
[00:00:30.880 --> 00:00:35.400]  我們需要信心去突破生命的框框
[00:00:35.400 --> 00:00:37.600]  無論今天我們面對疫情也好
[00:00:37.600 --> 00:00:40.120]  或者面對接下來很多很多的挑戰
[00:00:40.120 --> 00:00:43.000]  甚至乎整個政治的環境也好
[00:00:43.000 --> 00:00:46.800]  或者今天我們需要的是一份信心
[00:00:46.800 --> 00:00:50.960]  我們很多時候被當下的困難或挑戰
[00:00:50.960 --> 00:00:53.600]  讓我們困在一個框框裏面
[00:00:53.600 --> 00:00:56.400]  若然我們能夠再一次回到信仰當中
[00:00:56.400 --> 00:01:02.240]  再一次思想上帝要讓我們帶著一個甚麼信心去面對當前的情況
[00:01:02.240 --> 00:01:06.960]  我相信我們更懂得如何去面對我們的明天
[00:01:06.960 --> 00:01:09.400]  正如今天跟大家分享的訊息
[00:01:09.400 --> 00:01:12.680]  題目是「你的信救了你」
[00:01:12.680 --> 00:01:16.800]  經文是來自希伯來書第十一章一至到第六節
[00:01:16.800 --> 00:01:20.320]  讓我先為大家讀出當中的經文
[00:01:20.320 --> 00:01:22.800]  經文裏是這樣說的
[00:01:22.800 --> 00:01:26.760]  信就是所盼望之事有把握
[00:01:26.760 --> 00:01:29.000]  對未見之事有確具
[00:01:29.000 --> 00:01:33.040]  古人因著信獲得了讚許
[00:01:33.040 --> 00:01:37.200]  因著信我們知道這宇宙是藉上帝的話造成的
[00:01:37.200 --> 00:01:41.560]  這讓看得見的是從看不見的做出來的
[00:01:41.560 --> 00:01:47.440]  因著信阿伯獻祭給上帝比該人所獻的更美
[00:01:47.440 --> 00:01:50.800]  因此獲得了讚許為二人
[00:01:50.800 --> 00:01:53.600]  上帝親自預納了他的禮物
[00:01:53.600 --> 00:01:55.040]  他雖然死了
[00:01:55.040 --> 00:01:57.520]  他因這信仍舊在說話
[00:01:57.520 --> 00:02:00.480]  因著信已落被接去
[00:02:00.480 --> 00:02:03.560]  得已不見死人也找不著他
[00:02:03.560 --> 00:02:06.160]  因為上帝已經把他接去了
[00:02:06.160 --> 00:02:11.800]  只是他被接去以前已討得上帝喜悅而蒙讚許
[00:02:11.800 --> 00:02:15.480]  沒有信就不能討上帝的喜悅
[00:02:15.480 --> 00:02:20.520]  因為到上帝面前來的人必須信有上帝
[00:02:20.520 --> 00:02:23.600]  並且信他會賞賜尋求他的人
[00:02:23.600 --> 00:02:25.600]  讓我們一同禱告
[00:02:26.200 --> 00:02:28.880]  秋元恩主 多謝您讓我們今天有生命有氣息
[00:02:28.880 --> 00:02:32.040]  雖然未能實體聚會
[00:02:32.040 --> 00:02:34.040]  但我們能夠透過網上科技
[00:02:34.040 --> 00:02:37.000]  一同敬拜 一同聆聽您的話語
[00:02:37.000 --> 00:02:39.720]  是上帝您給我們的恩典和福氣
[00:02:39.720 --> 00:02:40.920]  求主幫助我們
[00:02:40.920 --> 00:02:42.320]  當我們面對前路
[00:02:42.320 --> 00:02:44.920]  特別面對疫情仍未完全受控
[00:02:44.920 --> 00:02:47.080]  或者在政治環境中
[00:02:47.080 --> 00:02:49.360]  或者未來更多的挑戰中
[00:02:49.360 --> 00:02:51.960]  求主您賜更大的信心給我們
[00:02:51.960 --> 00:02:54.600]  讓我們這份信心不是憑眼見
[00:02:54.600 --> 00:02:56.720]  不是一定要看得見 摸得到
[00:02:56.720 --> 00:02:58.400]  而是信心的仰望
[00:02:58.400 --> 00:03:00.400]  是建基於上帝您自己當中
[00:03:00.400 --> 00:03:02.040]  求主繼續幫助
[00:03:02.040 --> 00:03:03.680]  多謝主我們的禱告交託
[00:03:03.680 --> 00:03:05.680]  奉耶穌基督明治祈求
[00:03:05.680 --> 00:03:06.680]  阿門
[00:03:06.680 --> 00:03:09.280]  當我們今天要講信心的時候
[00:03:09.280 --> 00:03:11.600]  我們經常都會覺得信心是什麼呢?
[00:03:11.600 --> 00:03:15.400]  信心是要看得見 要摸得到
[00:03:15.400 --> 00:03:18.880]  我們能夠掌握得到的那些就是信心
[00:03:18.880 --> 00:03:22.800]  但有時候讓你看得見 讓你摸得到
[00:03:22.800 --> 00:03:26.000]  是不是就代表真的在當中
[00:03:26.000 --> 00:03:28.480]  按著你的心意能夠去發生呢?
[00:03:28.480 --> 00:03:29.800]  我相信不是
[00:03:29.800 --> 00:03:31.760]  以下有兩幅圖給你看看
[00:03:31.760 --> 00:03:34.920]  究竟你在這幅圖裡面看到什麼
[00:03:34.920 --> 00:03:39.800]  第一幅圖你在這個圖案裡面看到什麼
[00:03:39.800 --> 00:03:43.120]  可能有不同的人看到不同的東西
