
[00:00:00.000 --> 00:00:03.040]  大型智慧平安
[00:00:03.040 --> 00:00:06.780]  平安 吾安 大家好
[00:00:06.780 --> 00:00:09.980]  我們這幾個星期
[00:00:09.980 --> 00:00:13.620]  在這裡聽的訊息系列
[00:00:13.620 --> 00:00:15.780]  叫做「發言恩典」
[00:00:15.780 --> 00:00:19.220]  我看過一下
[00:00:19.220 --> 00:00:21.420]  應該如無意外
[00:00:21.420 --> 00:00:24.000]  這些主題是取材自一本書
[00:00:24.000 --> 00:00:26.880]  叫做「凡事借恩」 我真的覺得很難
[00:00:26.880 --> 00:00:29.800]  由一位叫做梁柏堅先生寫的
[00:00:30.180 --> 00:00:32.760]  在預備今天這篇訊息之前
[00:00:32.760 --> 00:00:36.320]  我沒有特別跟相關的同工溝通過
[00:00:36.320 --> 00:00:38.720]  問他為何選擇這個系列
[00:00:38.720 --> 00:00:40.480]  為何這樣設計
[00:00:40.480 --> 00:00:41.960]  但我這樣猜測
[00:00:41.960 --> 00:00:44.600]  當同工這樣選擇
[00:00:44.600 --> 00:00:47.540]  這本書這個系列的時候
[00:00:47.540 --> 00:00:50.320]  可能同工們都是想回應
[00:00:50.320 --> 00:00:52.040]  群體裏面的一個狀況
[00:00:52.040 --> 00:00:54.440]  就是覺得要感恩很難
[00:00:54.440 --> 00:00:58.120]  或者覺得要發言恩典這件事很難
[00:01:00.000 --> 00:01:02.120]  於是我就想起一個遊戲
[00:01:02.120 --> 00:01:04.720]  有沒有人不認識
[00:01:04.720 --> 00:01:06.720]  有沒有人沒有玩過
[00:01:06.720 --> 00:01:08.720]  Where is Wall-E
[00:01:08.720 --> 00:01:12.080]  這個遊戲其實是一本書
[00:01:12.080 --> 00:01:13.360]  叫做「Where is Wall-E」
[00:01:13.360 --> 00:01:14.640]  簡單來說就是
[00:01:14.640 --> 00:01:17.560]  它有很多不同的圖畫
[00:01:17.560 --> 00:01:22.000]  每一個遊戲你都要在圖畫裏面找到
[00:01:22.000 --> 00:01:24.520]  穿著紅白色間條的衣服
[00:01:24.520 --> 00:01:27.240]  那個叫做Wall-E的遊戲
[00:01:27.240 --> 00:01:29.240]  但這個遊戲不容易
