
[00:00:00.000 --> 00:00:04.160]  各位大兄姊妹 經常漏了姊妹
[00:00:04.160 --> 00:00:06.160]  平安
[00:00:06.160 --> 00:00:11.440]  直播看的大兄姊妹都平安
[00:00:11.440 --> 00:00:13.840]  我想在座的都認識我
[00:00:13.840 --> 00:00:16.640]  但網上的人都未認識我
[00:00:16.640 --> 00:00:17.920]  我先自我介紹
[00:00:17.920 --> 00:00:20.320]  我是小力園堂的區務
[00:00:20.320 --> 00:00:21.920]  叫盧光榮傳道
[00:00:21.920 --> 00:00:23.520]  你叫我阿榮也可以
[00:00:23.520 --> 00:00:25.280]  你叫我盧傳道也可以
[00:00:25.280 --> 00:00:26.560]  你叫我麻甩榮也可以
[00:00:26.560 --> 00:00:28.320]  因為我都頗麻甩的
[00:00:28.320 --> 00:00:30.560]  好 明天是什麼日子
[00:00:30.560 --> 00:00:31.760]  父親節
[00:00:31.760 --> 00:00:36.000]  對 父親節我當然要祝每一個父親
[00:00:36.000 --> 00:00:38.000]  開開心心快快樂樂
[00:00:38.000 --> 00:00:41.120]  夢上帝喜悅的父親
[00:00:41.120 --> 00:00:44.720]  今天我的講題就是背影
[00:00:44.720 --> 00:00:46.320]  為什麼要拿背影呢
[00:00:46.320 --> 00:00:48.400]  因為我初中只記得這貨
[00:00:48.400 --> 00:00:50.400]  什麼都不記得
[00:00:50.400 --> 00:00:51.600]  為什麼
[00:00:51.600 --> 00:00:53.120]  因為我經常記住這貨
[00:00:53.120 --> 00:00:54.480]  他就懷念他爸爸
[00:00:54.480 --> 00:00:56.480]  我就懷念我爸爸就拿著一根棍子
[00:00:56.480 --> 00:00:58.480]  嘔我的情景
[00:00:58.480 --> 00:01:00.480]  所以我很記得
[00:01:00.480 --> 00:01:04.800]  其實朱志清是記述他在讀書期間
[00:01:04.800 --> 00:01:06.800]  回憶往事
[00:01:06.800 --> 00:01:13.520]  他爸爸在車站離別時的情景
[00:01:13.520 --> 00:01:17.760]  可以看到父親愛子的心切和感情
[00:01:17.760 --> 00:01:20.160]  更加看到父親
[00:01:20.160 --> 00:01:27.840]  朱志清對父親的懷念
[00:01:27.840 --> 00:01:32.320]  今天我講經典的記載
[00:01:32.320 --> 00:01:34.320]  獻耳殺
[00:01:34.320 --> 00:01:37.120]  你猜獻耳殺的事件
[00:01:37.120 --> 00:01:40.640]  對耳殺是背影還是陰影呢
[00:01:40.640 --> 00:01:44.640]  讓我讀一段經文給大家
[00:01:44.640 --> 00:01:48.880]  因為太長我抽錄了重點那幾樣東西
[00:01:48.880 --> 00:01:50.880]  讓我讀就好
[00:01:50.880 --> 00:01:52.880]  我怕我亂了
[00:01:53.200 --> 00:01:56.560]  「這些事以後上帝考驗阿伯拉罕
[00:01:56.560 --> 00:02:01.920]  阿伯拉罕把樊祭的柴放在他兒子耳殺身上
