
[00:00:00.000 --> 00:00:04.000]  歡迎大家來到UFES
[00:00:04.000 --> 00:00:11.000]  話說剛才的敬拜是一個鋪排
[00:00:11.000 --> 00:00:23.000]  因為今天看的經文是由回顧耶穌如何拯救我們開始
[00:00:23.000 --> 00:00:30.000]  今天的題目是為主瘋狂系列
[00:00:30.000 --> 00:00:33.000]  題目是依靠神的大能
[00:00:33.000 --> 00:00:36.000]  我一開始看到這個題目的時候
[00:00:36.000 --> 00:00:39.000]  我就想起我其實是一個弟弟
[00:00:39.000 --> 00:00:45.000]  作為一個弟弟我從小到大都很懂得依靠別人
[00:00:45.000 --> 00:00:50.000]  我就在想原來想著想著又不對勁
[00:00:50.000 --> 00:00:54.000]  不是叫依靠那些叫依賴
[00:00:54.000 --> 00:00:59.000]  我記得小學有一次我走上學校的頒獎台
[00:00:59.000 --> 00:01:02.000]  我在台上拿到兩個獎
[00:01:02.000 --> 00:01:05.000]  第一個是做燈籠比賽
[00:01:05.000 --> 00:01:10.000]  我哥哥在深夜幫我做了一隻3D的亞古獸
[00:01:10.000 --> 00:01:15.000]  因為難度太高了整個過程我完全沒有插手的餘地
[00:01:15.000 --> 00:01:18.000]  所以我只可以很努力地看著他忍住不睡覺
[00:01:18.000 --> 00:01:20.000]  等他的作品完成
[00:01:20.000 --> 00:01:22.000]  沒有幫忙就拿了這個獎
[00:01:22.000 --> 00:01:27.000]  第二個就是同學要預備一個常識課的功課
[00:01:27.000 --> 00:01:29.000]  常識課很久沒有聽過這個詞了
[00:01:29.000 --> 00:01:34.000]  我們唯一被分派的工作就是要預備一個設置筒帶回學校
[00:01:34.000 --> 00:01:37.000]  但是我完全忘記了有這件事
[00:01:37.000 --> 00:01:40.000]  所以最後還是沒有我的設置筒
[00:01:40.000 --> 00:01:42.000]  所以我又是沒有幫忙
[00:01:42.000 --> 00:01:46.000]  但是我就上台連續拿了兩個獎
[00:01:46.000 --> 00:01:49.000]  我當時的內心分得很清楚
[00:01:49.000 --> 00:01:51.000]  這個是我哥哥的獎
[00:01:51.000 --> 00:01:53.000]  這個是我的同學的獎
[00:01:53.000 --> 00:01:55.000]  跟我完全沒有分別
[00:01:55.000 --> 00:01:57.000]  完全跟我無關
[00:01:57.000 --> 00:01:59.000]  我只是假手於人
[00:01:59.000 --> 00:02:04.000]  所以我又再細想究竟依靠是什麼一回事
[00:02:04.000 --> 00:02:09.000]  我自己的經歷裡依靠好像分了三個層次
[00:02:09.000 --> 00:02:12.000]  第一個就是假手於神
[00:02:12.000 --> 00:02:14.000]  我們會顧著去看神蹟
[00:02:14.000 --> 00:02:16.000]  我們會集中點在神蹟
[00:02:16.000 --> 00:02:18.000]  是不是血漏病婦人
[00:02:18.000 --> 00:02:21.000]  一醫好了 拍一拍手指就醫好了
[00:02:21.000 --> 00:02:23.000]  就好像我拿了兩個獎一樣
[00:02:23.000 --> 00:02:26.000]  我完全沒有參加的成份
[00:02:26.000 --> 00:02:28.000]  無端端得到那個成果
[00:02:28.000 --> 00:02:31.000]  這個可能是一個初訊的時候的誤解
[00:02:31.000 --> 00:02:35.000]  覺得依靠就等於假手於神
[00:02:35.000 --> 00:02:38.000]  祈禱某些事情就會被解決
[00:02:38.000 --> 00:02:40.000]  神蹟臨到就解決了
[00:02:40.000 --> 00:02:46.000]  假手於神的假手法就像這個無限手套一樣
[00:02:46.000 --> 00:02:48.000]  拍一拍手指就有了
[00:02:48.000 --> 00:02:52.000]  現實中我們知道沒有可能
[00:02:52.000 --> 00:02:54.000]  怎麼會什麼都不用做
[00:02:54.000 --> 00:02:56.000]  依靠神就得到呢
[00:02:56.000 --> 00:02:58.000]  但我們一開始就不太懂得怎樣依靠神
[00:02:58.000 --> 00:03:00.000]  所以我們就一直等待
[00:03:00.000 --> 00:03:02.000]  整件事就變成了
[00:03:02.000 --> 00:03:05.000]  經歷神就變成了一件很被動的事
[00:03:05.000 --> 00:03:07.000]  我們經常說依靠神
[00:03:07.000 --> 00:03:12.000]  沒理由只有一個時間一個事件經歷
[00:03:12.000 --> 00:03:15.000]  究竟我們怎樣才能真正經歷上帝呢
[00:03:15.000 --> 00:03:17.000]  所以我們就進入了第二個層次
[00:03:17.000 --> 00:03:19.000]  半依靠的
[00:03:19.000 --> 00:03:22.000]  我們會看什麼 我們會看事情的結果
[00:03:22.000 --> 00:03:27.000]  我形容第二層的信仰上開始變得有些靈活
[00:03:27.000 --> 00:03:29.000]  我們知道自己的生命要承擔
[00:03:29.000 --> 00:03:32.000]  要負責一些事情
