
[00:00:00.000 --> 00:00:05.680]  我是葉華天傳道的助唐團隊
[00:00:05.680 --> 00:00:08.360]  今天有機會和大家分享訊息
[00:00:08.360 --> 00:00:11.600]  我的講題是「突破與限制」
[00:00:11.600 --> 00:00:14.600]  這是作門徒代價的第五講
[00:00:14.600 --> 00:00:17.400]  頭四講是蘇牧師講的
[00:00:17.400 --> 00:00:20.840]  我接著在第五講分享
[00:00:20.840 --> 00:00:24.080]  我們今天會和肥力這個門徒身上
[00:00:24.080 --> 00:00:25.640]  看看什麼叫限制
[00:00:25.640 --> 00:00:28.440]  亦看看如何去突破
[00:00:28.440 --> 00:00:32.920]  經文是《約翰福音》14章7-11節
[00:00:32.920 --> 00:00:34.920]  請大家聽我讀出來
[00:00:35.080 --> 00:00:38.400]  「你們若認識我也就認識我的父
[00:00:38.400 --> 00:00:40.880]  從今以後你們認識他
[00:00:40.880 --> 00:00:42.880]  並且已經看見他
[00:00:42.880 --> 00:00:44.240]  肥力對他說
[00:00:44.240 --> 00:00:46.760]  求主將父顯給我們看
[00:00:46.760 --> 00:00:48.480]  我們就知足了
[00:00:48.480 --> 00:00:49.920]  耶穌對他說
[00:00:49.920 --> 00:00:50.720]  肥力
[00:00:50.720 --> 00:00:53.760]  我與你們同在這樣長久
[00:00:53.760 --> 00:00:55.760]  你還不認識我嗎
[00:00:55.760 --> 00:00:57.200]  因看見了我
[00:00:57.200 --> 00:00:59.040]  就是看見了父
[00:00:59.040 --> 00:01:00.160]  你怎麼說
[00:01:00.160 --> 00:01:02.880]  將父顯給我們看呢
[00:01:02.880 --> 00:01:04.440]  我在父裡面
[00:01:04.440 --> 00:01:05.800]  父在我裡面
[00:01:05.800 --> 00:01:06.800]  你不信嗎
[00:01:06.800 --> 00:01:08.600]  我對你們所說的話
[00:01:08.600 --> 00:01:10.480]  不是憑著自己說的
[00:01:10.480 --> 00:01:12.960]  乃是住在我裡面的父
[00:01:12.960 --> 00:01:14.680]  做他自己的事
[00:01:14.680 --> 00:01:16.280]  你們當信我
[00:01:16.280 --> 00:01:18.000]  我在父裡面
[00:01:18.000 --> 00:01:19.760]  父在我裡面
[00:01:19.760 --> 00:01:20.840]  即說不信
[00:01:20.840 --> 00:01:24.040]  也當因我所做的事信我」
[00:01:24.040 --> 00:01:27.160]  好幾年的時間
[00:01:27.160 --> 00:01:28.280]  我們經常說
[00:01:28.280 --> 00:01:29.960]  這個世界在變
[00:01:29.960 --> 00:01:31.040]  這個世界在變的
[00:01:31.040 --> 00:01:32.280]  幾時都是
[00:01:32.280 --> 00:01:34.760]  也看見各與各的紛爭
[00:01:34.760 --> 00:01:37.200]  香港經濟也一般般
[00:01:37.200 --> 00:01:40.680]  而且仍然為家庭生計努力
[00:01:40.680 --> 00:01:41.840]  每個人都要
[00:01:41.840 --> 00:01:43.760]  也不知道是否容易
[00:01:43.760 --> 00:01:46.560]  繼續追求個人理想
[00:01:46.560 --> 00:01:49.880]  我和你都是活在大氣候裡面
[00:01:49.880 --> 00:01:51.360]  無論世界怎樣變
[00:01:51.360 --> 00:01:52.680]  我們都要生活
[00:01:52.680 --> 00:01:54.080]  這是事實
[00:01:54.080 --> 00:01:56.160]  但我們也不想隨波逐流
[00:01:56.160 --> 00:01:58.360]  也不想不談理想
[00:01:58.360 --> 00:02:00.240]  所以我們好好地
[00:02:00.240 --> 00:02:01.840]  繼續有初心
[00:02:01.840 --> 00:02:03.840]  讓我們的初心繼續燃燒
[00:02:03.840 --> 00:02:06.480]  好好為自己的理想而活
[00:02:06.480 --> 00:02:08.480]  但今天所提的不是理想
[00:02:08.480 --> 00:02:11.280]  今天所提的是大使命
[00:02:11.280 --> 00:02:15.240]  我們也許下這個承諾
[00:02:15.240 --> 00:02:16.520]  為主而活
[00:02:16.520 --> 00:02:18.520]  不知道你們有沒有這樣跟耶穌說過
[00:02:18.520 --> 00:02:21.040]  或者我們敬拜裡面也會這樣說
[00:02:21.040 --> 00:02:22.640]  我們願意呈現我們的生命
[00:02:22.640 --> 00:02:24.360]  我們願意為你而活
[00:02:24.360 --> 00:02:27.040]  我們不單止嘴唇敬拜你
[00:02:27.040 --> 00:02:30.920]  我們願意心尊主為大
[00:02:30.920 --> 00:02:32.640]  好好地為主而活
[00:02:32.640 --> 00:02:36.000]  所以我們願意活在福音使命裡面
[00:02:36.000 --> 00:02:38.000]  我們縱使世界怎樣變
[00:02:38.000 --> 00:02:40.000]  福音使命有沒有變?
[00:02:40.000 --> 00:02:42.000]  福音使命沒有
[00:02:42.000 --> 00:02:43.720]  耶穌交給我們大使命
[00:02:43.720 --> 00:02:45.560]  託付我們是沒有變的
[00:02:45.560 --> 00:02:47.760]  簡單溫習這句經文
[00:02:47.760 --> 00:02:48.920]  這個大家都熟悉
[00:02:48.920 --> 00:02:51.920]  《馬特福音》28章19節上
[00:02:51.920 --> 00:02:53.280]  聖經怎樣說
[00:02:53.280 --> 00:02:58.040]  「所以你們要去使萬民作我的門徒」
[00:02:58.040 --> 00:03:00.040]  這是大使命的確很大
[00:03:00.040 --> 00:03:02.840]  萬民、萬族、萬邦、萬國
[00:03:02.840 --> 00:03:04.840]  都來到成為耶穌的門徒
[00:03:04.840 --> 00:03:06.840]  因為耶穌把使命教給我們
[00:03:06.840 --> 00:03:08.840]  的確不簡單
[00:03:08.840 --> 00:03:12.360]  還有一句可能大家比較少讀
[00:03:12.360 --> 00:03:14.360]  但這個也是重要的
[00:03:14.360 --> 00:03:16.360]  《約翰福音》14章12節
[00:03:16.360 --> 00:03:18.360]  請大家一起讀這句經文
[00:03:18.360 --> 00:03:21.360]  「我實實在在地告訴你們
[00:03:21.360 --> 00:03:22.840]  我所做的工作
[00:03:22.840 --> 00:03:24.840]  信我的人也要做
[00:03:24.840 --> 00:03:28.360]  並且要做得比這些更大」
[00:03:28.360 --> 00:03:31.360]  耶穌行神跡其事
[00:03:31.360 --> 00:03:33.360]  當然耶穌死裡復活
[00:03:33.360 --> 00:03:35.360]  彰顯祂的大能
[00:03:35.360 --> 00:03:37.360]  耶穌亦帶領很多人信著
[00:03:37.360 --> 00:03:40.360]  我們要做祂要做的事
