
[00:00:00.000 --> 00:00:02.000]  我都醒不起如虎騎
[00:00:02.000 --> 00:00:06.560]  雖然我們沒有守節旗的習慣
[00:00:06.560 --> 00:00:09.720]  但我都鼓勵大家在復活節之前
[00:00:09.720 --> 00:00:14.560]  這段時間好好默想基督為我們受苦的意義
[00:00:14.560 --> 00:00:17.560]  不知道有沒有人發現
[00:00:17.560 --> 00:00:22.560]  我的題目其實是抄韓劇
[00:00:22.560 --> 00:00:26.560]  因為我自己是韓劇的導演
[00:00:26.560 --> 00:00:30.560]  抄韓劇呢?
[00:00:30.560 --> 00:00:33.560]  沒有呀?算了
[00:00:33.560 --> 00:00:35.560]  數數吧
[00:00:35.560 --> 00:00:41.560]  有沒有人記得上星期
[00:00:41.560 --> 00:00:45.560]  盧光榮傳道都是在說彼得前書
[00:00:45.560 --> 00:00:49.560]  他是說三章十五至十六節
[00:00:49.560 --> 00:00:53.560]  跟他的經文沒有太大的關聯
[00:00:53.560 --> 00:00:55.560]  但我們都是藉著一個系列
[00:00:55.560 --> 00:00:57.560]  讀一下經文
[00:00:57.560 --> 00:00:59.560]  不要以惡報惡
[00:00:59.560 --> 00:01:01.560]  以辱罵還辱罵
[00:01:01.560 --> 00:01:02.560]  都要祝福
[00:01:02.560 --> 00:01:06.560]  因為你們正是為此蒙照的
[00:01:06.560 --> 00:01:09.560]  好使你們承受福氣
[00:01:09.560 --> 00:01:11.560]  一個很好的教導
[00:01:11.560 --> 00:01:15.560]  很典型、很新潤、很舒適的
[00:01:15.560 --> 00:01:18.560]  就是我有一個命令或建議
[00:01:18.560 --> 00:01:22.560]  然後我有一個遊說來做的事
[00:01:22.560 --> 00:01:25.560]  之後有一個理居支持我的
[00:01:25.560 --> 00:01:28.560]  這是很正常的
[00:01:28.560 --> 00:01:29.560]  我遊說
[00:01:29.560 --> 00:01:33.560]  我哲學的命題就是
[00:01:33.560 --> 00:01:35.560]  不要以惡報惡
[00:01:35.560 --> 00:01:37.560]  以辱罵還辱罵
[00:01:37.560 --> 00:01:38.560]  我遊說你
[00:01:38.560 --> 00:01:40.560]  你要去祝福
[00:01:40.560 --> 00:01:45.560]  理居就是因為你們為此蒙照承受福氣
[00:01:45.560 --> 00:01:49.560]  如果你們很聽話、很受福氣
[00:01:49.560 --> 00:01:50.560]  其實已經可以了
[00:01:50.560 --> 00:01:51.560]  照樣去做吧
[00:01:51.560 --> 00:01:53.560]  不要以惡報惡
[00:01:53.560 --> 00:01:54.560]  要去祝福
[00:01:54.560 --> 00:01:56.560]  因為你們可以得到福氣
[00:01:56.560 --> 00:01:57.560]  這樣便完結了
[00:01:57.560 --> 00:01:59.560]  我不知道你們是否接受
[00:01:59.560 --> 00:02:00.560]  我不是很接受
[00:02:00.560 --> 00:02:07.560]  我以前都是看每天靈修的材料
