
[00:00:00.000 --> 00:00:07.600]  我們今天繼續要在神的話語裏面一起去看一件事
[00:00:07.600 --> 00:00:12.400]  就是在聖殿或者說一個本來已經有的聖殿
[00:00:12.400 --> 00:00:15.760]  現在在一個爛熔融的狀況裏面
[00:00:15.760 --> 00:00:18.080]  要逐樣逐樣地打石仔
[00:00:18.080 --> 00:00:19.760]  需要很多的決心
[00:00:19.760 --> 00:00:22.000]  所以今天來到這個第六講
[00:00:22.000 --> 00:00:24.240]  就是重新啟動的聖殿
[00:00:24.240 --> 00:00:26.720]  我們會看到以色列記第六章
[00:00:26.720 --> 00:00:29.440]  在這裏先問一下大家
[00:00:29.440 --> 00:00:34.720]  有沒有一些你以前會很熱情做的事情
[00:00:34.720 --> 00:00:37.120]  其實今天慢慢都放涼了
[00:00:37.120 --> 00:00:38.400]  不會這麼持續
[00:00:38.400 --> 00:00:40.960]  不會這麼熱情去做的
[00:00:40.960 --> 00:00:42.880]  但我不想去問你
[00:00:42.880 --> 00:00:45.600]  為什麼有什麼困難
[00:00:45.600 --> 00:00:48.880]  因為我們在一些事情裏面知道
[00:00:48.880 --> 00:00:51.600]  如果你在一些崗位裏面
[00:00:51.600 --> 00:00:53.600]  在一些事情裏面
[00:00:53.600 --> 00:00:56.320]  你知道那件事一定要交給你去做
[00:00:56.320 --> 00:00:58.000]  無論多辛苦
[00:00:58.000 --> 00:01:01.440]  你都會花時間和心思去完成
[00:01:01.440 --> 00:01:04.000]  所以我不問你困不困難
[00:01:04.000 --> 00:01:07.440]  反而我今天很想你問自己
[00:01:07.440 --> 00:01:09.600]  如果是一些放涼了
[00:01:09.600 --> 00:01:11.120]  本來是很有熱情
[00:01:11.120 --> 00:01:12.240]  亦都是你需要
[00:01:12.240 --> 00:01:14.000]  只有你做到的事情裏面
[00:01:14.000 --> 00:01:15.760]  你怎樣重拾呢
[00:01:15.760 --> 00:01:18.480]  有沒有什麼關鍵是幫助到你
[00:01:18.480 --> 00:01:21.440]  可以持之而行一點呢
[00:01:21.440 --> 00:01:25.120]  剛剛這個暑假有機會和家人去了一個旅行
[00:01:25.120 --> 00:01:31.520]  都是很偶然被一套人物的電影所感動
[00:01:31.520 --> 00:01:34.560]  我很想回來和大家分享
[00:01:34.560 --> 00:01:39.440]  在日本有一個建鐵路的靈魂人物
[00:01:39.440 --> 00:01:41.760]  他叫做十賀信義
[00:01:41.760 --> 00:01:43.680]  這個人發生什麼事呢
[00:01:43.680 --> 00:01:47.200]  在1923年東京大地震的時候
[00:01:47.200 --> 00:01:52.400]  他就被差派去了政府最中央核心的地方
[00:01:52.400 --> 00:01:54.400]  要去做重建的工作
[00:01:54.400 --> 00:01:56.960]  我想在他做的過程裏面
[00:01:56.960 --> 00:02:00.800]  再打後就是遇到第二次世界大戰
[00:02:00.800 --> 00:02:06.160]  在這兩個對國民來說很艱難的時刻
[00:02:06.160 --> 00:02:07.920]  他有一份感動
[00:02:07.920 --> 00:02:10.800]  他很想重建鐵路
[00:02:10.800 --> 00:02:14.960]  當時在大地震之後
[00:02:14.960 --> 00:02:17.680]  甚至在第二次世界大戰之後
[00:02:17.680 --> 00:02:20.240]  其實很多藍丁都知道
[00:02:20.240 --> 00:02:24.080]  是拿了出去為國捐軀
[00:02:24.080 --> 00:02:28.240]  留下來的婦孺甚至在他們的國民裏面
[00:02:28.240 --> 00:02:31.120]  他們熟悉的居住環境
[00:02:31.120 --> 00:02:34.200]  全部都是亂了
[00:02:34.200 --> 00:02:37.520]  他的心願就是如果鐵路可以幫助人
[00:02:37.520 --> 00:02:39.520]  在經濟慢慢復甦之後
[00:02:39.520 --> 00:02:41.520]  叫人重燃希望
[00:02:41.520 --> 00:02:43.760]  人和人之間可以黏在一起
[00:02:43.760 --> 00:02:46.480]  有更多的聯繫就好了
[00:02:46.480 --> 00:02:49.840]  所以他找了一些很關鍵的人
[00:02:49.840 --> 00:02:53.680]  他邀請了一個人物成為他的副手
[00:02:53.680 --> 00:02:55.920]  就是一個工程師
[00:02:55.920 --> 00:02:59.440]  看上去的原因就是工程師的爸爸
[00:02:59.440 --> 00:03:02.000]  是倡議子彈火車的
[00:03:02.000 --> 00:03:06.480]  你可以想像兩個熱情的人一拍即合
[00:03:06.480 --> 00:03:08.720]  他們就去政府申請
[00:03:08.720 --> 00:03:14.880]  很想重建東京去到大阪這一段火車路軌
[00:03:14.880 --> 00:03:18.960]  當在政府裏面拿到這個申請的時候
[00:03:18.960 --> 00:03:21.200]  不是所有事情都順利的
[00:03:21.200 --> 00:03:24.080]  他們在議會裏面聽了很多人
[00:03:24.080 --> 00:03:26.080]  給了很多的想法
[00:03:26.080 --> 00:03:27.600]  什麼年代
[00:03:27.600 --> 00:03:31.680]  現在已經是飛機都在用了
[00:03:31.680 --> 00:03:33.680]  汽車都在用了
[00:03:33.680 --> 00:03:36.560]  還用回火車鐵路
[00:03:36.560 --> 00:03:39.360]  不過在他心目中
[00:03:39.360 --> 00:03:42.400]  他覺得熱情的事情就應該努力去做
[00:03:42.400 --> 00:03:44.400]  而且還要是帶著希望
[00:03:44.400 --> 00:03:49.360]  他認為全國的人民有多少人有本事會坐飛機
[00:03:49.360 --> 00:03:51.920]  還有在那個年代會開汽車
[00:03:51.920 --> 00:03:54.640]  平民百姓要用的
[00:03:54.640 --> 00:03:58.800]  是當時能夠縣與縣之間
[00:03:58.800 --> 00:04:01.680]  可以有些最基礎的交通工具
[00:04:01.680 --> 00:04:03.680]  給他們連接起來
[00:04:03.680 --> 00:04:08.080]  於是雖然是很多人的反對
[00:04:08.080 --> 00:04:12.720]  但是仍然批了很大筆錢出來給他們興建
[00:04:12.720 --> 00:04:16.000]  四年的時間
[00:04:16.000 --> 00:04:19.040]  他們差不多把政府本來批給他們的錢
[00:04:19.040 --> 00:04:21.040]  用清光
[00:04:21.040 --> 00:04:23.040]  過程我不去詳談
[00:04:23.040 --> 00:04:25.040]  因為我沒有研究過
[00:04:25.040 --> 00:04:28.640]  不過在裏面說他們的毅力就是
[00:04:28.640 --> 00:04:30.640]  既然政府都洗濕了頭
[00:04:30.640 --> 00:04:32.640]  借錢給他們
[00:04:32.640 --> 00:04:34.640]  亦都批他們東京大阪
