
[00:00:00.000 --> 00:00:05.400]  各位小叻園堂的弟兄姊妹平安
[00:00:05.400 --> 00:00:09.400]  Hello 我是Ling Mook
[00:00:09.400 --> 00:00:11.400]  我也很想叫早晨
[00:00:11.400 --> 00:00:14.400]  因為很久沒有在大家當中
[00:00:14.400 --> 00:00:17.400]  很感恩新的一年
[00:00:17.400 --> 00:00:21.400]  很快在2026年可以在大家當中分享訊息
[00:00:21.400 --> 00:00:25.400]  今天沒有了制服穿
[00:00:25.400 --> 00:00:27.400]  沒有了舊木同工的制服穿
[00:00:27.400 --> 00:00:30.400]  我也很簡單介紹一下自己
[00:00:30.400 --> 00:00:31.400]  大家知道我是Ling Mook
[00:00:31.400 --> 00:00:33.400]  其實在今年8月開始
[00:00:33.400 --> 00:00:38.400]  我開始在中國宣導神學院全時間侍奉
[00:00:38.400 --> 00:00:41.400]  我主要是教靈修科
[00:00:41.400 --> 00:00:45.400]  人去了神學院侍奉
[00:00:45.400 --> 00:00:48.400]  週末我主要在座堂崇拜
[00:00:48.400 --> 00:00:55.400]  仍然在大家庭當中一同敬拜和侍奉
[00:00:55.400 --> 00:00:58.400]  今年很感恩
[00:00:58.400 --> 00:01:03.400]  回來在大家當中可以分享訊息
[00:01:03.400 --> 00:01:06.400]  上半年會有一個訊息
[00:01:06.400 --> 00:01:08.400]  下半年又會有另一個訊息
[00:01:08.400 --> 00:01:11.400]  雖然只是上下集
[00:01:11.400 --> 00:01:14.400]  兩篇講章
[00:01:14.400 --> 00:01:16.400]  我真而重之
[00:01:16.400 --> 00:01:19.400]  所以我訂了一個系列的名稱給他
[00:01:19.400 --> 00:01:24.400]  就是一個靈命塑造的系列
[00:01:24.400 --> 00:01:28.400]  主題是「禱告相愛的群體」
[00:01:28.400 --> 00:01:31.400]  上集是「生命重塑」
[00:01:31.400 --> 00:01:33.400]  下集是「活在天國」
[00:01:33.400 --> 00:01:35.400]  在這個系列的訊息中
[00:01:35.400 --> 00:01:41.400]  會跟大家一起看主統文
