
[00:00:00.000 --> 00:00:03.000]  大家知不知道今天是甚麼節日?
[00:00:03.000 --> 00:00:06.000]  端午節,端午節快樂嗎?
[00:00:06.000 --> 00:00:09.000]  很慘,大家吃到肚子痛
[00:00:09.000 --> 00:00:14.000]  我很快樂,因為今天在城門河上又可以見證上帝
[00:00:14.000 --> 00:00:17.000]  今早一早去參加龍舟比賽
[00:00:17.000 --> 00:00:19.000]  我不是爬龍舟的那位
[00:00:19.000 --> 00:00:21.000]  參加,有很多種形式的參加
[00:00:21.000 --> 00:00:26.000]  我負責去拿獎,真的很感恩
[00:00:26.000 --> 00:00:28.000]  我負責去拿獎
[00:00:28.000 --> 00:00:31.000]  因為你爬完龍舟上船的位置
[00:00:31.000 --> 00:00:33.000]  就會知道你爬了多少
[00:00:33.000 --> 00:00:35.000]  當然要等一會
[00:00:35.000 --> 00:00:39.000]  然後拿到那個牌就要走走走到那個起點
[00:00:39.000 --> 00:00:42.000]  走走走到終點要等那裡去拿獎
[00:00:42.000 --> 00:00:44.000]  知不知道我走了多少步?
[00:00:44.000 --> 00:00:45.000]  我剛才看了手機
[00:00:45.000 --> 00:00:47.000]  我今天走了多少步?
[00:00:47.000 --> 00:00:49.000]  我走了一萬三千多步
[00:00:49.000 --> 00:00:52.000]  即是走了一天多的步數
[00:00:52.000 --> 00:00:55.000]  那一萬三千多步真的很感謝主
[00:00:55.000 --> 00:00:57.000]  我們拿了七個獎
[00:00:58.000 --> 00:01:01.000]  超出我們所想所求
[00:01:01.000 --> 00:01:06.000]  三個冠軍,兩個亞軍和兩個田軍
[00:01:06.000 --> 00:01:09.000]  為什麼不拿到貴軍,走齊一套
[00:01:09.000 --> 00:01:13.000]  很感恩,在電視台的大型節目看到
[00:01:13.000 --> 00:01:16.000]  很多人,不是很多人,是MC
[00:01:16.000 --> 00:01:20.000]  電視台的主持,沙浸是我們的常客
[00:01:20.000 --> 00:01:22.000]  經常拿獎,不斷說沙浸
[00:01:22.000 --> 00:01:23.000]  每場都有沙浸
[00:01:23.000 --> 00:01:25.000]  很感謝上帝給我們
[00:01:25.000 --> 00:01:28.000]  在電視台分享到我們一班健兒
[00:01:28.000 --> 00:01:31.000]  有微信在我們的隊伍裡
[00:01:31.000 --> 00:01:34.000]  一起去見證上帝,一起去榮耀上帝
[00:01:34.000 --> 00:01:35.000]  很感謝上帝
[00:01:35.000 --> 00:01:38.000]  所以這個端午節我十分開心
[00:01:38.000 --> 00:01:39.000]  雖然不是我去爬
[00:01:39.000 --> 00:01:41.000]  但我去替他們開心
[00:01:41.000 --> 00:01:43.000]  然後一起歡慶
[00:01:43.000 --> 00:01:45.000]  有慶祝會在座堂那邊
[00:01:45.000 --> 00:01:48.000]  今天我繼續分享開心之餘
[00:01:48.000 --> 00:01:53.000]  分享這個「濟與唔濟之間」的系列三
[00:01:53.000 --> 00:01:55.000]  不再解釋「濟與唔濟」
[00:01:55.000 --> 00:01:56.000]  就是基督徒的掙扎
[00:01:56.000 --> 00:01:58.000]  濟與唔濟之間的東西
[00:01:58.000 --> 00:02:02.000]  今天題目叫做到盡,何時才盡
[00:02:02.000 --> 00:02:04.000]  經常說正向,要做到盡
[00:02:04.000 --> 00:02:05.000]  何時才盡
[00:02:05.000 --> 00:02:08.000]  是否做到死,做到枯乾
[00:02:08.000 --> 00:02:10.000]  那叫做盡呢?
[00:02:10.000 --> 00:02:13.000]  我之前參加了一個導賞
[00:02:13.000 --> 00:02:15.000]  就是一些鳥仔導賞
[00:02:15.000 --> 00:02:18.000]  有沒有人,應該沒有吧
[00:02:18.000 --> 00:02:20.000]  開過鳥籠去喝茶嗎?
[00:02:20.000 --> 00:02:21.000]  這裡沒有
[00:02:21.000 --> 00:02:23.000]  星期四有,有一個人舉手
[00:02:23.000 --> 00:02:24.000]  開過鳥籠去喝茶
[00:02:24.000 --> 00:02:26.000]  之外就是鳥仔導賞
[00:02:26.000 --> 00:02:28.000]  包括有些鳥籠、鳥仔街
[00:02:28.000 --> 00:02:30.000]  鳥仔街我上次說
[00:02:30.000 --> 00:02:33.000]  鳥仔街就是現在的朗豪坊
[00:02:33.000 --> 00:02:34.000]  是否叫朗豪坊
