
[00:00:00.000 --> 00:00:02.440]  先讀經文
[00:00:02.440 --> 00:00:04.160]  今日題目是《光明的世代》
[00:00:04.160 --> 00:00:06.240]  《光明子女所記的果子》
[00:00:06.240 --> 00:00:08.880]  二分所書五章一至十四節
[00:00:08.880 --> 00:00:10.040]  請聽我讀出
[00:00:10.040 --> 00:00:12.800]  所以作為蒙慈愛的兒女
[00:00:12.800 --> 00:00:14.400]  你們該下佛神
[00:00:14.400 --> 00:00:16.200]  要憑愛心行事
[00:00:16.200 --> 00:00:17.760]  正如基督愛我們
[00:00:17.760 --> 00:00:19.640]  為我們捨了自己
[00:00:19.640 --> 00:00:23.440]  當作輕香的供物和祭物獻給神
[00:00:23.440 --> 00:00:26.400]  至於淫亂和一切污穢或是貪妄
[00:00:26.400 --> 00:00:29.240]  在你們中間連提都不可
[00:00:29.240 --> 00:00:31.960]  這才合乎聖徒的體統
[00:00:31.960 --> 00:00:35.680]  任持妄語和操續的俏皮話都不合宜
[00:00:35.680 --> 00:00:38.720]  總要說感謝的話
[00:00:38.720 --> 00:00:40.080]  要確實知道
[00:00:40.080 --> 00:00:41.280]  無論是淫亂的
[00:00:41.280 --> 00:00:42.480]  是污穢的
[00:00:42.480 --> 00:00:43.840]  是貪心的
[00:00:43.840 --> 00:00:46.360]  貪心的就是拜偶像的
[00:00:46.360 --> 00:00:48.760]  在基督和神的國裡
[00:00:48.760 --> 00:00:51.000]  都得不到基業
[00:00:51.000 --> 00:00:54.040]  不要被人虛浮的話欺騙了
[00:00:54.040 --> 00:00:55.080]  因這些事
[00:00:55.080 --> 00:00:58.760]  神的憤怒必臨到那背逆的人
[00:00:58.760 --> 00:01:01.800]  所以不要與他們同火
[00:01:01.800 --> 00:01:03.800]  從前你們是暗昧的
[00:01:03.800 --> 00:01:07.040]  但如今在主裡面是光明的
[00:01:07.040 --> 00:01:08.320]  行事為人
[00:01:08.320 --> 00:01:10.760]  要像光明的子女
[00:01:10.760 --> 00:01:12.600]  光明所結的果子
[00:01:12.600 --> 00:01:16.840]  就是一切良善、公義、誠實
[00:01:16.840 --> 00:01:18.160]  總要察驗
[00:01:18.160 --> 00:01:21.240]  甚麼是主所喜悅的事
[00:01:21.240 --> 00:01:24.040]  那暗昧無益的事不可參與
[00:01:24.040 --> 00:01:26.880]  都要把這種事揭發出來
[00:01:26.880 --> 00:01:30.200]  因為他們暗中所做的
[00:01:30.200 --> 00:01:34.760]  就是連提起來都是可恥的
[00:01:34.760 --> 00:01:36.240]  還有
[00:01:36.240 --> 00:01:38.560]  凡被光所照明的
[00:01:38.560 --> 00:01:39.720]  都顯露出來
[00:01:39.720 --> 00:01:43.720]  因為是一切顯露出來的就是光
